Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9073,,,,INO,Rehabilitation of Coral Reef and Mangrove Resources in the Special Province of Nanggroe Aceh Darussalam,SERD,EMS,09/06/2005,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2005,2005,9073,9073,,,,INO,Rehabilitation of Coral Reef and Mangrove Resources in the Special Province of Nanggroe Aceh Darussalam,SERD,EMS,09/06/2005,,,,,0.00,1.50,,,1.50,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,07/11/2005,,,No,,09/06/2005,12/14/2005,06/15/2011,03/06/2012,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9074,,,,INO,Seismically Upgraded Housing in Nanggroe Aceh Darussalam and North Sumatera,SERD,EMS,09/06/2005,,,,,0.00,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,Partially Satisfactory,,,,
JFPR,Japan,,2005,2005,9074,9074,,,,INO,Seismically Upgraded Housing in Nanggroe Aceh Darussalam and North Sumatera,SERD,EMS,09/06/2005,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,07/11/2005,,,No,,09/06/2005,12/14/2005,07/14/2009,03/16/2011,Closed/Completed,Sovereign,Partially Satisfactory,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9076,,,,SRI,Public Works Restoration and Rehabilitation of Line Drainage Systems of Tsunami-Affected Local Government Roads,SARD,SLRM,10/04/2005,,,,,0.00,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,Successful,,,,"DR 2011. box on JFPR, pp 38."
JFPR,Japan,,2005,2005,9076,9076,,,,SRI,Public Works Restoration and Rehabilitation of Line Drainage Systems of Tsunami-Affected Local Government Roads,SARD,SLRM,10/04/2005,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,07/25/2005,,,No,,10/04/2005,11/02/2005,09/30/2007,10/31/2008,Closed/Completed,Sovereign,Successful,,,,"DR 2011. box on JFPR, pp 38."
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9077,,,,SRI,Post-Tsunami Utility Connections for the Poor,SARD,SLRM,10/14/2005,,,,,0.00,,,,,,,,,,,3200,Energy,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2005,2005,9077,9077,,,,SRI,Post-Tsunami Utility Connections for the Poor,SARD,SLRM,10/14/2005,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,07/25/2005,,,No,,10/14/2005,11/02/2005,02/29/2008,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,1.80,0.00,0.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9078,,,,TAJ,Community-Based Rural Road Maintenance,CWRD,CWTC,11/04/2005,,,,,0.00,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,Highly Successful,,,,"DR 2012. para in CWRD section, pp 9."
JFPR,Japan,,2005,2005,9078,9078,,,,TAJ,Community-Based Rural Road Maintenance,CWRD,CWTC,11/04/2005,,,,,0.00,1.80,,,1.80,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,10/13/2005,,,No,,11/04/2005,11/08/2005,09/21/2009,04/30/2010,Closed/Completed,Sovereign,Highly Successful,,,,"DR 2012. para in CWRD section, pp 9."
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9079,,,,INO,Restoration of Microenterprise and Microfinance in Aceh,SERD,EMS,11/28/2005,,,,,0.00,,,,,,,,,,,3300,Finance,,,,,,,,,,,,,,Satisfactory,,,,
JFPR,Japan,,2005,2005,9079,9079,,,,INO,Restoration of Microenterprise and Microfinance in Aceh,SERD,EMS,11/28/2005,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,10/13/2005,,,No,,11/28/2005,05/31/2006,12/31/2009,02/28/2011,Closed/Completed,Sovereign,Satisfactory,,,,
0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9080,,,,BAN,Social Development for Erosion-Affected Poor in the Jamuna-Meghna Floodplains,SARD,BRM,12/05/2005,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2005,2005,9080,9080,,,,BAN,Social Development for Erosion-Affected Poor in the Jamuna-Meghna Floodplains,SARD,BRM,12/05/2005,,,,,0.00,0.79,,,0.79,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,11/13/2002,,,No,,12/05/2005,06/07/2006,08/06/2010,07/22/2011,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.80,0.00,0.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,,9081,,,,CAM,Women's Development Centers,SERD,CARM,12/21/2005,,,,,0.00,,,,,,,,,,,3400,Health and Social Protection,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2005,2005,9081,9081,,,,CAM,Women's Development Centers,SERD,CARM,12/21/2005,,,,,0.00,1.80,,,1.80,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/13/2005,,,No,,12/21/2005,03/13/2006,06/30/2010,01/25/2011,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2005,2005,9082,9082,,,,INO,Support for the Local Government Performance Measurement System,SERD,,12/22/2005,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3600,Public Sector Management,,,,,,,,,,,,,,Highly Successful,,,,
JFICT,Japan,,2005,2005,9082,9082,,,,INO,Support for the Local Government Performance Measurement System,SERD,,12/22/2005,,,,,0.00,0.73,,,0.73,DVA,,Full Administration,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,12/22/2005,,,,,Sovereign,Highly Successful,,,,
0.00,0.00,0.00,0.00,1.99,0.00,0.00,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9083,,,,VIE,Nutritious Food for 6-24 Month Old Children Vulnerable to Malnutrition in Poor Areas,SERD,VRM,01/17/2006,,,,,0.00,,,,,,,,,,,3400,Health and Social Protection,,,,,,,,,,,,,,Satisfactory,,,,
JFPR,Japan,,2006,2006,9083,9083,,,,VIE,Nutritious Food for 6-24 Month Old Children Vulnerable to Malnutrition in Poor Areas,SERD,VRM,01/17/2006,,,,,0.00,1.99,,,1.99,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/13/2005,,,No,,01/17/2006,12/06/2006,12/31/2010,09/09/2011,Closed/Completed,Sovereign,Satisfactory,,,,
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9085,,,,MON,Nonformal Skills Training for Unemployed Youth and Adults,EARD,EASS,02/20/2006,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9085,9085,,,,MON,Nonformal Skills Training for Unemployed Youth and Adults,EARD,EASS,02/20/2006,,,,,0.00,1.00,,,1.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,12/28/2005,,,No,,02/20/2006,03/31/2006,11/30/2009,10/08/2010,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,9087,9087,,,,PHI,Supporting Information Sharing and Exchange among Civil Servants,SERD,,03/14/2006,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3100,Education,,,,,,,,,,,,,,Partly Successful,,,,
JFICT,Japan,,2006,2006,9087,9087,,,,PHI,Supporting Information Sharing and Exchange among Civil Servants,SERD,,03/14/2006,,,,,0.00,0.50,,,0.50,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,03/14/2006,,,,,Sovereign,Partly Successful,,,,
0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9088,39481,,,PHI,Developing Financial Cooperatives,SERD,SEPF,03/14/2006,,,,,0.00,,,,,,,,,,,3300,Finance,3304,Inclusive Finance,,,,,,,,,,,,Highly Satisfactory,,,,
JFPR,Japan,,2006,2006,9088,9088,39481,,,PHI,Developing Financial Cooperatives,SERD,SEPF,03/14/2006,,,,,0.00,0.90,,,0.90,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,12/28/2005,,,No,,03/14/2006,05/25/2006,09/30/2010,06/30/2011,Closed/Completed,Sovereign,Highly Satisfactory,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9089,,,,TAJ,Community-Based Rural Power Supply,CWRD,CWEN,03/15/2006,,,,,0.00,,,,,,,,,,,3200,Energy,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9089,9089,,,,TAJ,Community-Based Rural Power Supply,CWRD,CWEN,03/15/2006,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,12/28/2005,,,No,,03/15/2006,05/23/2006,11/30/2009,05/31/2011,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9090,,,,PAK,"Iron and Folic Acid Fortification in Small-Scale Milling to Improve the Lives of the Poor, Especially Women and Children",CWRD,CWUW,03/17/2006,,,,,0.00,,,,,,,,,,,3400,Health and Social Protection,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9090,9090,,,,PAK,"Iron and Folic Acid Fortification in Small-Scale Milling to Improve the Lives of the Poor, Especially Women and Children",CWRD,CWUW,03/17/2006,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,12/28/2005,,,No,,03/17/2006,06/13/2006,01/17/2007,01/17/2007,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9091,,,,UZB,Basic Education for Children with Special Needs,CWRD,URM,03/17/2006,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9091,9091,,,,UZB,Basic Education for Children with Special Needs,CWRD,URM,03/17/2006,,,,,0.00,1.50,,,1.50,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,12/28/2005,,,No,,03/17/2006,05/26/2006,03/31/2009,04/25/2011,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9092,,,,PAK,Immediate Support to Poor and Vulnerable Households in Inaccessible Areas Devastated by the 2005 Earthquake,CWRD,PRM,03/27/2006,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2006,2006,9092,9092,,,,PAK,Immediate Support to Poor and Vulnerable Households in Inaccessible Areas Devastated by the 2005 Earthquake,CWRD,PRM,03/27/2006,,,,,0.00,5.00,,,5.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,02/01/2006,,,No,,03/27/2006,06/13/2006,08/31/2008,08/18/2010,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9093,,,,BHU,Rural Electricians Training Program,SARD,SAEN,05/25/2006,,,,,0.00,,,,,,,,,,,3200,Energy,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2006,2006,9093,9093,,,,BHU,Rural Electricians Training Program,SARD,SAEN,05/25/2006,,,,,0.00,1.00,,,1.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,12/28/2005,,,No,,05/25/2006,07/14/2006,10/30/2009,03/31/2011,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9094,,,,IND,Restoration and Diversification of Livelihoods for Tsunami-Affected Poor and Marginalized People in the States of Tamil Nadu and Kerala,SARD,INRM,06/21/2006,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9094,9094,,,,IND,Restoration and Diversification of Livelihoods for Tsunami-Affected Poor and Marginalized People in the States of Tamil Nadu and Kerala,SARD,INRM,06/21/2006,,,,,0.00,5.00,,,5.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,11/21/2005,,,No,,06/21/2006,10/07/2006,10/06/2010,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,1.98,0.00,0.00,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9095,,,,LAO,Catalyzing Microfinance for the Poor,SERD,SEPF,08/17/2006,,,,,0.00,,,,,,,,,,,3300,Finance,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2006,2006,9095,9095,,,,LAO,Catalyzing Microfinance for the Poor,SERD,SEPF,08/17/2006,,,,,0.00,1.98,,,1.98,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,05/20/2004,,,No,,08/17/2006,03/06/2007,12/31/2010,,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,9096,9096,33357,,,LAO,Upgrading of ICT and MIS at the Agriculture Promotion Bank,SERD,,08/17/2006,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3300,Finance,,,,,,,,,,,,,,,,,With LNs 2252-2253,
JFICT,Japan,,2006,2006,9096,9096,33357,,,LAO,Upgrading of ICT and MIS at the Agriculture Promotion Bank,SERD,,08/17/2006,,,,,0.00,0.47,,,0.47,DVA,FW,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,,,,,,08/17/2006,03/12/2007,,07/29/2010,,Sovereign,,,,,
0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9097,9097/2257/0054,,,,,North-South Corridor,CWRD,CWTC,09/26/2006,,,,,0.00,20.00,,,20.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,07/05/2006,,,No,,09/26/2006,12/17/2006,12/31/2010,06/25/2010,Closed/Completed,Sovereign,Successful,,,,
78.20,40.00,0.00,118.20,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9097/2257/0054,,,,AFG,North-South Corridor,CWRD,CWTC,09/26/2006,,78.20,40.00,,118.20,,,,,,,,,,,3700,Transport and ICT,,,,,,,,,,,,,,Successful,,,,
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9098,,,,VIE,Improving Vitamin A Nutrition and Deworming for Poor and Vulnerable Children,SERD,VRM,11/17/2006,,,,,0.00,,,,,,,,,,,3400,Health and Social Protection,,,,,,,,,,,,,,Satisfactory,,,,
JFPR,Japan,,2006,2006,9098,9098,,,,VIE,Improving Vitamin A Nutrition and Deworming for Poor and Vulnerable Children,SERD,VRM,11/17/2006,,,,,0.00,1.00,,,1.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400,Health and Social Protection,,,10/17/2006,,,No,,11/17/2006,09/18/2007,11/30/2010,09/09/2011,Closed/Completed,Sovereign,Satisfactory,,,,
0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9099,,,,VIE,Expansion of Learning Opportunities for Ethnic Minority Youth,SERD,VRM,11/29/2006,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9099,9099,,,,VIE,Expansion of Learning Opportunities for Ethnic Minority Youth,SERD,VRM,11/29/2006,,,,,0.00,1.50,,,1.50,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,10/17/2006,,,No,,11/29/2006,10/18/2007,10/18/2011,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9100,,,,AFG,Rural Business Support,CWRD,AFRM,12/12/2006,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2006,2006,9100,9100,,,,AFG,Rural Business Support,CWRD,AFRM,12/12/2006,,,,,0.00,18.00,,,18.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,10/17/2006,,,No,,12/12/2006,12/17/2006,12/31/2010,,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9101,,,,NEP,Improving the Livelihoods of Poor Farmers and Disadvantaged Groups in the Eastern Development Region,SARD,SAER,12/13/2006,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2006,2006,9101,9101,,,,NEP,Improving the Livelihoods of Poor Farmers and Disadvantaged Groups in the Eastern Development Region,SARD,SAER,12/13/2006,,,,,0.00,1.00,,,1.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,10/17/2006,,,No,,12/13/2006,02/23/2007,07/15/2011,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2006,2006,,9102,40217,,,PHI,Southern Leyte Landslide,SERD,PHCO,12/15/2006,,,,,0.00,,,,,,,,,,,3900,Multisector,3900,Multisector,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2006,2006,9102,9102,40217,,,PHI,Southern Leyte Landslide,SERD,PHCO,12/15/2006,,,,,0.00,3.00,,,3.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900,Multisector,3900,Multisector,11/15/2006,,,No,,12/15/2006,12/15/2006,07/31/2009,12/08/2009,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.99,0.00,0.00,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9103,,,,BHU,Rural Skills Development,SARD,SAHS,01/15/2007,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2007,2007,9103,9103,,,,BHU,Rural Skills Development,SARD,SAHS,01/15/2007,,,,,0.00,1.99,,,1.99,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,10/17/2006,,,No,,01/15/2007,02/27/2007,12/31/2010,,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9104,,,,KGZ,Improving Livelihoods of Rural Women through Development of Handicrafts Industry,CWRD,KYRM,01/17/2007,,,,,0.00,,,,,,,,,,,3500,Industry and Trade,,,,,,,,,,,,,,Successful,,,,"DR 2012. line on big Development Partnership Results, pp1; para in CWRD section, pp 8."
JFPR,Japan,,2007,2007,9104,9104,,,,KGZ,Improving Livelihoods of Rural Women through Development of Handicrafts Industry,CWRD,KYRM,01/17/2007,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3500,Industry and Trade,,,11/16/2006,,,No,,01/17/2007,05/31/2007,11/15/2010,11/15/2010,Closed/Completed,Sovereign,Successful,,,,"DR 2012. line on big Development Partnership Results, pp1; para in CWRD section, pp 8."
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9105,,,,PAK,Microfinance for the Poorest,CWRD,CWPF,01/30/2007,,,,,0.00,,,,,,,,,,,3300,Finance,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2007,2007,9105,9105,,,,PAK,Microfinance for the Poorest,CWRD,CWPF,01/30/2007,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3300,Finance,,,12/21/2006,,,No,,01/30/2007,04/04/2007,09/15/2008,09/15/2008,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9106,,,,MON,Community-Driven Development for Urban Poor in Ger Areas,EARD,MNRM,03/02/2007,,,,,0.00,,,,,,,,,,,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2007,2007,9106,9106,,,,MON,Community-Driven Development for Urban Poor in Ger Areas,EARD,MNRM,03/02/2007,,,,,0.00,1.50,,,1.50,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,,12/21/2006,,,No,,03/02/2007,05/14/2007,09/30/2011,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9107,,,,LAO,Enhancing Capacity of Local Government Agencies and Lao Women's Union for Sustainable Poverty Reduction in Northern Lao PDR,SERD,LRM,05/11/2007,,,,,0.00,,,,,,,,,,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2007,2007,9107,9107,,,,LAO,Enhancing Capacity of Local Government Agencies and Lao Women's Union for Sustainable Poverty Reduction in Northern Lao PDR,SERD,LRM,05/11/2007,,,,,0.00,0.53,,,0.53,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,,01/29/2007,,,No,,05/11/2007,10/15/2007,10/14/2011,,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9108,,,,KGZ,Improving Access to Quality Basic Education for Children with Special Needs,CWRD,KYRM,05/28/2007,,,,,0.00,,,,,,,,,,,3100,Education,,,,,,,,,,,,,,Successful,,,,
JFPR,Japan,,2007,2007,9108,9108,,,,KGZ,Improving Access to Quality Basic Education for Children with Special Needs,CWRD,KYRM,05/28/2007,,,,,0.00,1.00,,,1.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100,Education,,,04/11/2007,,,No,,05/28/2007,09/21/2007,09/21/2011,12/14/2011,Closed/Completed,Sovereign,Successful,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9109,,,,MON,Community-Based Heating Supply in Rural Remote Areas,EARD,EAEN,06/29/2007,,,,,0.00,,,,,,,,,,,3200,Energy,,,,,,,,,,,,,,,,,,
JFPR,Japan,,2007,2007,9109,9109,,,,MON,Community-Based Heating Supply in Rural Remote Areas,EARD,EAEN,06/29/2007,,,,,0.00,2.00,,,2.00,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200,Energy,,,04/11/2007,,,No,,06/29/2007,08/23/2007,12/31/2011,,Closed/Completed,Sovereign,,,,,
0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,Japan,,2007,2007,,9110,,,,NEP,Strengthening Decentralized Support for Vulnerable and Conflict-Affected Families and Children,SARD,SAHS,10/10/2007,,,,,0.00,,,,,,,,,,,3400,Health and Social Protection,,,,,,,,,,,,,,,,,,
