proj_no,project_title,approval_number,Type,status
39144-013,TSUNAMI AFFECTED AREAS REBUILDING (NETHERLANDS),0045,GRNT,FINANCIALLY CLOSED
31137-032,DECENTRALIZED BASIC EDUCATION,0047,GRNT,FINANCIALLY CLOSED
39581-012,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS),0049,GRNT,FINANCIALLY CLOSED
39581-012,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ),0050,GRNT,FINANCIALLY CLOSED
36252-013,WESTERN BASINS WATER RESOURCES MANAGEMENT (CANADA),0052,GRNT,ACTIVE
36224-013,SECOND RURAL INFRASTRUCTURE IMPROVEMENT,0053,GRNT,FINANCIALLY CLOSED
35297-013,NORTHERN REGION SUSTAINABLE LIVELIHOODS THRU LIVES,0056,GRNT,FINANCIALLY CLOSED
34341-013,FORESTS FOR LIVELIHOOD IMPROVEMENT IN THE CENTRAL,0060,GRNT,FINANCIALLY CLOSED
37245-013,CONFLICT AFFECTED AREA REHABILITATION,0062,GRNT,FINANCIALLY CLOSED
40009-013,INFRASTRUCTURE PROJECT DEVELOPMENT FACILITY,0064,GRNT,FINANCIALLY CLOSED
35376-033,INSTITUTIONAL STRENGTHENING FOR CUSTOMS MODERNIZAT,0070,GRNT,FINANCIALLY CLOSED
33276-013,INTEGRATED COASTAL RESOURCES MANAGEMENT,0071,GRNT,ACTIVE
34442-032,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P,0075,GRNT,FINANCIALLY CLOSED
36587-032,RD EMPLYMNT PJT FOR STTLMNT & INTGRTN OF RETURNING,0076,GRNT,FINANCIALLY CLOSED
41105-012,EMERGENCY ASSISTANCE PROJECT,0078,GRNT,FINANCIALLY CLOSED
37536-013,LAND IMPROVEMENT PROJECT  (GEF),0080,GRNT,FINANCIALLY CLOSED
41656-012,NORTHERN GREATER MEKONG SUBREGION TRANSPORT NEWTWO,0082,GRNT,ACTIVE
40554-022,PART ADMIN(UK PORTION ONLY)RURAL RECNSTCTN&REHAB S,0093,GRNT,FINANCIALLY CLOSED
36353-013,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM),0095,GRNT,ACTIVE
36353-013,GMS SOUTHERN COASTAL CORRIDOR PROJECT (CAMBODIA),0096,GRNT,ACTIVE
38183-013,POWER SECTOR EXPANSION PROJECT (GOA),0101,GRNT,ACTIVE
40037-013,LAE PORT DEVELOPMENT PROJECT,0102,GRNT,FINANCIALLY CLOSED
37097-013,PART ADMIN: INTEGRATED RURAL DEVT SECTOR PROJ IN T,0103,GRNT,FINANCIALLY CLOSED
41123-013,ROAD ASSET MANAGEMENT PROJECT,0104,GRNT,FINANCIALLY CLOSED
39653-013,MFF:CAPACITY BUILDING FOR ENERGY EFFICIENCY,0109,GRNT,FINANCIALLY CLOSED
41657-013,EMERGENCY DISASTER DAMAGE REHABILITATION (SECTOR),0110,GRNT,FINANCIALLY CLOSED
37530-013,RURAL DEVELOPMENT PROJECT,0111,GRNT,FINANCIALLY CLOSED
31196-013,SOUTHERN AGRICLTURE AREA DEVELOPMENT PROJECT,0112,GRNT,CANCELLED
38660-023,NINGXIA INTEGRATED ECOSYSTEM & AGRICULTURAL DEVELO,0113,GRNT,ACTIVE
40263-022,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,0127,GRNT,ACTIVE
38301-013,DRYLAND SUSTAINABLE AGRICULTURE PROJECT,0128,GRNT,CANCELLED
37381-013,DRY ZONE URBAN WATER AND SANITATION PROJECT,0130,GRNT,ACTIVE
40007-013,SURKHANDARYA WATER SUPPLY & SANITATION PROJECT,0131,GRNT,FINANCIALLY CLOSED
39408-013,SKILLS DEVELOPMENT PROJECT,0140,GRNT,ACTIVE
37399-013,GREEN POWER DEVELOPMENT PROJECT,0141,GRNT,FINANCIALLY CLOSED
42001-013,PHILIPPINE ENERGY EFFICIENCY PROJECT,0142,GRNT,FINANCIALLY CLOSED
36339-022,SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PRO,0143,GRNT,ACTIVE
37579-032,PART-ADMIN GRANT:SUS NAT RSRCES MGMNT&PRODTVTY ENH,0145,GRNT,ACTIVE
41657-013,EMERGENCY DISASTER DAMAGE REHABILITATION(SECTOR) P,0146,GRNT,FINANCIALLY CLOSED
41013-013,THANH HOA CITY COMPREHENSIVE SOCIOECONOMIC DEVELOP,0147,GRNT,FINANCIALLY CLOSED
41664-013,ENHANCING MIDWIVES' ENTREPRENEURIAL AND FINANCIAL,0148,GRNT,FINANCIALLY CLOSED
39419-013,CLEAN ENERGY AND ACCESS IMPROVEMENT PROJECT,0149,GRNT,FINANCIALLY CLOSED
37644-013,REGL CUSTOMS MODERNIZATION&INFRASTRUCTURE DEVT PRO,0155,GRNT,FINANCIALLY CLOSED
42382-013,LIAONING SMALL CITIES&TOWNS DEVT DEMONSTRATION SEC,0159,GRNT,FINANCIALLY CLOSED
43437-012,TYPHOON KETSANA (ONDOY) PROJECT,0162,GRNT,FINANCIALLY CLOSED
43442-012,EARTHQUAKE AND TSUNAMI DISASTER RESPONSE PROJECT,0165,GRNT,FINANCIALLY CLOSED
43457-012,WEST SUMATRA EARTHQUAKE DISASTER PROJECT,0168,GRNT,FINANCIALLY CLOSED
39321-013,SHAANXI QINLING BIODIVERSITY CONSERVATION&DEMONSTR,0169,GRNT,ACTIVE
42091-032,MFF: WATER RESOURCES DEVELOPMENT INVESTMENT PROGRA,0170,GRNT,ACTIVE
40641-013,HEBEI SMALL CITIES & TOWNS DEVELOPMENT DEMONSTRATI,0171,GRNT,FINANCIALLY CLOSED
43381-012,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT,0176,GRNT,FINANCIALLY CLOSED
43381-012,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT,0177,GRNT,FINANCIALLY CLOSED
40553-013,ENERGY ACCESS AND EFFICIENCY IMPROVEMENT PROJECT-C,0182,GRNT,ACTIVE
40553-013,ENERGY ACCESS AND EFFICIENCY IMPROVEMENT PROJECT-C,0183,GRNT,ACTIVE
37269-023,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA PROJ,0187,GRNT,ACTIVE
38662-013,CLIMATE CHANGE ADAPTATION THROUGH GROUNDWATER MANA,0188,GRNT,FINANCIALLY CLOSED
38662-013,WOMEN'S ECONOMIC EMPOWERMENT PILOT PROJECT,0189,GRNT,FINANCIALLY CLOSED
42383-023,SHANXI SMALL CITIES AND TOWNS DEVT DEMONSTRATION S,0190,GRNT,FINANCIALLY CLOSED
41435-013,TONLE SAP POVERTY REDUCTION AND SMALLHOLDERS DEVT,0191,GRNT,FINANCIALLY CLOSED
41435-013,PART ADMIN-TONLE SAP POVERTY REDN & SMALLHOLDER DE,0192,GRNT,ACTIVE
36601-013,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P,0193,GRNT,FINANCIALLY CLOSED
36437-013,INTEGRATED ECOSYSTEM & WATER RESOURCES MGMNT IN TH,0194,GRNT,ACTIVE
42117-013,TIANJIN INTEGRATED GASIFICATION COMBINED CYCLE POW,0196,GRNT,ACTIVE
40061-013,JAVA-BALI ELECTRICITY DISTRIBUTION PERFORMANCE IMP,0198,GRNT,ACTIVE
44178-012,DZUD DISASTER RESPONSE PROJECT,0200,GRNT,FINANCIALLY CLOSED
N/A-N/A,NSP: SOLAR POWER PROJECT,0201,GRNT,CANCELLED
40682-013,INTEGRATED RENEWABLE BIOMASS ENERGY DEVELOPMENT PR,0202,GRNT,ACTIVE
40682-013,INTEGRATED RENEWABLE BIOMASS ENERGY DEVELOPMENT PR,0203,GRNT,ACTIVE
36172-042,GOVERNANCE SUPPORT PROGRAM - SUBPROGRAM 1 (SUPPLEM,0206,GRNT,FINANCIALLY CLOSED
43381-012,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - SUPPLEM,0207,GRNT,FINANCIALLY CLOSED
40354-013,HEALTH HUMAN RESOURCES SECTOR DEVELOPMENT PROJECT,0209,GRNT,ACTIVE
43381-012,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - SUPPLEM,0210,GRNT,FINANCIALLY CLOSED
44356-022,NATIONAL FLOOD EMERGENCY RESPONSE,0214,GRNT,FINANCIALLY CLOSED
37049-023,MFF:CITARUM WATERSHED MANAGEMENT AND BIODIVERSITY,0216,GRNT,ACTIVE
44304-013,MICROFINANCE EXPANSION PROJECT,0226,GRNT,ACTIVE
42022-013,JIANGXI SUSTAINABLE FOREST ECOSYSTEM DEVELOPMENT P,0229,GRNT,ACTIVE
44506-001,MOUNT MERAPI DISASTER RESPONSE,0237,GRNT,CANCELLED
44058-013,KATHMANDU SUSTAINABLE URBAN TRANSPORT PROJECT,0239,GRNT,ACTIVE
44065-013,CONFLICT-AFFECTED REGION EMERGENCY PROJECT,0246,GRNT,FINANCIALLY CLOSED
45043-001,SRI LANKA FLOOD DISASTER,0247,GRNT,FINANCIALLY CLOSED
40287-013,AVATIU PORT DEVELOPMENT PROJECT,0249,GRNT,FINANCIALLY CLOSED
40684-013,FORESTRY & ECOLOGICAL RESTORATION PROJECT IN THREE,0250,GRNT,ACTIVE
40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY,0253,GRNT,FINANCIALLY CLOSED
40517-042,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY,0254,GRNT,FINANCIALLY CLOSED
41509-013,RURAL PRIMARY HEALTH SERVICES DELIVERY PROJECT,0259,GRNT,ACTIVE
44482-022,MFF-TRANSPRT NETWRK DEVL INVSTMENT PROGRM -TRANCHE,0262,GRNT,ACTIVE
43072-013,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT,0263,GRNT,ACTIVE
42394-022,NUKU'ALOFA URBAN DEVELOPMENT SECTOR PROJECT(AUSAID,0265,GRNT,ACTIVE
45356-001,SINDH AND BALOCHISTAN FLOOD EMERGENCY RESPONSE,0266,GRNT,FINANCIALLY CLOSED
45391-001,CAMBODIA FLOODING 2011: HUMANITARIAN ASSISTANCE PR,0268,GRNT,FINANCIALLY CLOSED
45374-001,THAILAND FLOODING 2011,0269,GRNT,FINANCIALLY CLOSED
41155-013,ELECTRICITY TRANSMISSION EXPANSION & SUPPLY IMPROV,0271,GRNT,ACTIVE
42392-013,PART ADMIN-INTERISLAND SHIPPING SUPPORT PROJECT,0273,GRNT,ACTIVE
42391-013,PORT VILA URBAN DEVELOPMENT PROJECT,0275,GRNT,ACTIVE
42391-013,PORT VILA URBAN DEVELOPMENT PROJECT (ATF),0276,GRNT,ACTIVE
38097-012,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT,0277,GRNT,FINANCIALLY CLOSED
43309-013,PROVINCIAL ROADS IMPROVEMENT PROJECT,0278,GRNT,ACTIVE
45431-001,TROPICAL STORM WASHI (SENDONG),0279,GRNT,FINANCIALLY CLOSED
42094-042,MFF:ENERGY SECTOR DEVELOPMNT INVESTMENT PROG-TRNCH,0281,GRNT,ACTIVE
42094-042,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROG-TRNC,0282,GRNT,ACTIVE
46129-001,FLOOD EMERGENCY RESPONSE PROJECT (APDRF),0283,GRNT,FINANCIALLY CLOSED
46009-001,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT,0285,GRNT,ACTIVE
46253-001,FIJI FLOODING REHABILITATION PROJECT,0286,GRNT,FINANCIALLY CLOSED
42169-013,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT,0287,GRNT,ACTIVE
41504-024,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES (NEW,0288,GRNT,ACTIVE
35174-082,SCHOOL SECTOR PROGRAM,0289,GRNT,FINANCIALLY CLOSED
42095-032,MFF:ROAD NETWORK DEVELOPMENT INVESTMENT PROGRAM-TR,0291,GRNT,FINANCIALLY CLOSED
40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-,0292,GRNT,ACTIVE
40263-022,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC,0293,GRNT,ACTIVE
42177-013,URBAN PRIMARY HEALTH CARE SERVICES DELIVERY PROJEC,0298,GRNT,ACTIVE
42186-014,EMERGENCY FOOD ASSISTANCE PROJECT-ADDITIONAL FINAN,0302,GRNT,ACTIVE
43576-013,CLEAN ENERGY AND NETWORK EFFICIENCY IMPROVEMENT PR,0303,GRNT,ACTIVE
36172-063,STRENGTHENING PUBLIC MANAGEMENT PROGRAM,0306,GRNT,ACTIVE
45084-002,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT,0310,GRNT,ACTIVE
40685-013,JINGSU YANCHENG WETLANDS PROTECTION PROJECT,0311,GRNT,ACTIVE
43319-022,GMS EAST-WEST ECONOMIC CORRIDOR TOWNS DEVELOPMENT,0314,GRNT,ACTIVE
39256-024,MFF:URBAN TRANSPORT DEVELOPMENT INVESTMENT PROGRAM,0315,GRNT,ACTIVE
40190-023,GMS FLOOD & DROUGHT RISK MANAGEMENT & MITIGATION P,0317,GRNT,ACTIVE
42378-015,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM,0320,GRNT,CANCELLED
39298-013,CITY REGION DEVELOPMENT PROJECT-ADDITIONAL FINANCI,0323,GRNT,ACTIVE
41220-013,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MAN,0324,GRNT,ACTIVE
41220-013,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MAN,0325,GRNT,ACTIVE
43207-013,MARKET TRANSFORMATION THRU INTRO OF ENERGY-EFFICIE,0326,GRNT,ACTIVE
44482-023,MFF:TRANSPORT NETWORK DEVELOPMENT INVESTMENT PROGR,0328,GRNT,ACTIVE
43319-043,GMS CORRIDOR TOWNS DEVELOPMENT PROJECT,0329,GRNT,ACTIVE
40190-013,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATI,0330,GRNT,ACTIVE
44037-014,SHAANXI WEINAN LUYANG INTEGRATED SALINE LAND MANAG,0331,GRNT,ACTIVE
46544-001,TROPICAL CYCLONE EMERGENCY RESPONSE PROJECT,0333,GRNT,FINANCIALLY CLOSED
43319-033,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P,0334,GRNT,ACTIVE
43319-033,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P,0335,GRNT,ACTIVE
45303-001,RURAL ENERGY PROJECT,0336,GRNT,ACTIVE
41496-014,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F,0337,GRNT,ACTIVE
43524-014,PART ADMIN: KATHMANDU VALLEY WASTEWASTER MANAGEMEN,0342,GRNT,CANCELLED
42099-013,POLYTECHNIC EDUCATION DEVELOPMENT PROJECT,0343,GRNT,ACTIVE
47189-001,DROUGHT DISASTER RESPONSE PROJECT (APDRF),0344,GRNT,ACTIVE
43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT,0348,GRNT,ACTIVE
44321-013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE,0349,GRNT,ACTIVE
44321-013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE,0350,GRNT,ACTIVE
47217-001,SECOND DROUGHT DISASTER RESPONSE PROJECT (APDRF),0351,GRNT,ACTIVE
45354-002,BUILDING CLIMATE RESILIENCE IN THE PYANJ RIVER BAS,0352,GRNT,ACTIVE
40255-033,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT,0353,GRNT,ACTIVE
41074-013,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT,0354,GRNT,ACTIVE
44214-024,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNT,0357,GRNT,ACTIVE
44214-024,PART ADMIN:BLDG CLIMATE RESILIENCE OF WATERSHEDS I,0358,GRNT,ACTIVE
45301-002,WATER SUPPLY AND SANITATION_SECTOR PROJECT,0363,GRNT,ACTIVE
44012-013,HEBEI ENERGY EFFICIENCY IMPROVEMENT&EMISSION REDUC,0364,GRNT,ACTIVE
46265-001,ENERGY EFFICIENCY FOR HO CHI MINH CITY WATER SUPPL,0365,GRNT,ACTIVE
36172-063,STRENGTHENING PUBLIC MANAGEMENT PROGRAM,0368,GRNT,CANCELLED
47333-001,TYPHOON HAIYAN (YOLANDA),0369,GRNT,ACTIVE
46044-002,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,0371,GRNT,ACTIVE
47374-001,CAMBODIA FLOODING 2013: HUMANITARIAN ASSISTANCE (A,0372,GRNT,FINANCIALLY CLOSED
46392-001,NORTH-SOUTH POWER TRANSMISSION ENHANCEMENT PROJECT,0375,GRNT,ACTIVE
46351-002,CLIMATE RESILIENCE SECTOR PROJECT,0378,GRNT,ACTIVE
46421-001,CORAL REEF REHAB&MANAGEMENT PROGRAM-CORAL TRIANGLE,0379,GRNT,ACTIVE
45007-004,MFF:ULAANBAATAR URBAN SERVICES AND GER AREAS DEV'T,0380,GRNT,ACTIVE
47377-001,SUPER TYPHOON HAIYAN RESPONSE PROJECT,0381,GRNT,FINANCIALLY CLOSED
38097-012,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD,0382,GRNT,ACTIVE
39399-013,SOUTH ASIA TOURISM INFRASTRUCTURE DEVELOPMENT PROJ,0383,GRNT,ACTIVE
42182-013,ADDN FIN:RENEW ENERGY DEV&NET EXPANSN&REHAB FR REM,0384,GRNT,ACTIVE
48239-001,SOLOMON ISLANDS FLOOD DISASTER RESPONSE PROJECT (A,0385,GRNT,FINANCIALLY CLOSED
43072-013,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT,0387,GRNT,ACTIVE
44007-013,JIANGXI FUZHOU URBAN INTEGRATED INFRASTRUCTURE IMP,0388,GRNT,ACTIVE
48192-001,CYCLONE IAN RECOVERY PROJECT,0390,GRNT,ACTIVE
42466-015,MFF: SKILLS FOR EMPLOYMENT INVESTMENT PROGRAM-TRAN,0391,GRNT,ACTIVE
44212-013,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT,0394,GRNT,ACTIVE
44212-013,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT,0395,GRNT,ACTIVE
44167-014,MFF:FLOOD&RIVERBANK EROSION RISK MGMT INVESTMENT P,0396,GRNT,ACTIVE
44219-014,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY,0397,GRNT,ACTIVE
44219-014,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY,0398,GRNT,ACTIVE
43253-025,MFF:KARNATAKA INTEGRATED URBAN WATER MNGMT INVESTM,0399,GRNT,ACTIVE
42334-014,RURAL ROADS IMPROVEMENT PROJECT II,0401,GRNT,ACTIVE
42334-014,RURAL ROADS IMPROVEMENT PROJECT II,0402,GRNT,ACTIVE
46260-002,ROAD NETWORK UPGRADING SECTOR PROJECT(ADDITIONAL F,0404,GRNT,ACTIVE
35173-013,THIRD SMALL TOWNS WATER SUPPLY AND SANITATION SECT,0405,GRNT,ACTIVE
38097-012,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS,0406,GRNT,ACTIVE
46122-003,PREPARING OUTER ISLANDS FOR SUSTAINABLE ENERGY DEV,0410,GRNT,ACTIVE
48326-001,NORTHERN FLOOD-DAMAGED INFRASTRUCTURE EMERGENCY RE,0412,GRNT,ACTIVE
42267-026,RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM,0413,GRNT,ACTIVE
46453-002,RENEWABLE ENERGY SECTOR PROJECT,0415,GRNT,ACTIVE
45022-002,JIANGXI JI'AN SUSTAINABLE URBAN TRANSPORT PROJECT,0420,GRNT,ACTIVE
44482-025,MFF:TRANSPORT NETWORK DEVELOPMENT INVESTMENT_PROGR,0423,GRNT,ACTIVE
46455-002,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO,0424,GRNT,ACTIVE
44304-013,MICROFINANCE EXPANSION PROJECT - ADDL FIN,0425,GRNT,ACTIVE
40253-023,GMS BIODIVERSITY CONSERVATION CORRIDORS PROJECT(AD,0426,GRNT,ACTIVE
42392-013,PART ADMIN INTERISLAND SHIPPING SUPPORT PROJECT -,0427,GRNT,ACTIVE
46122-003,POISED PROJ-PREPARING OUTER ISLANDS FOR SUST ENERG,0429,GRNT,ACTIVE
40253-035,GMS BIODIVERSITY CONSERVATION CORRIDORS PROJECT(AD,0433,GRNT,ACTIVE
40075-033,MFF:NATIONAL TRADE CORRIDOR HIGHWAY INVESTMENT PRO,0434,GRNT,ACTIVE
40075-043,MFF:NATIONAL_TRADE CORRIDOR HIGHWAY INVESTMENT PRO,0435,GRNT,ACTIVE
39370-023,AGRICULTURE MARKET INFRASTRUCTURE PROJECT-ADDITION,0437,GRNT,ACTIVE
46346-002,EBEYE WATER SUPPLY AND SANITATION PROJECT,0439,GRNT,ACTIVE
48402-001,NATIONAL MOTORWAY M-4 GOJRA-SHORKOT SECTION PROJEC,0440,GRNT,ACTIVE
34418-023,SW AREA INTEGRATED WATER RESOURCE PLANNING & MNGT,0441,GRNT,ACTIVE
46455-002,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO,0443,GRNT,ACTIVE
43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN,0445,GRNT,ACTIVE
43452-022,OUTER ISLAND RENEWABLE ENERGY PROJECT - ADDL FIN,0446,GRNT,ACTIVE
46495-002,BUILDING RESILIENCE TO CLIMATE CHANGE,0447,GRNT,ACTIVE
41505-012,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTROL,0448,GRNT,ACTIVE
41507-012,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTRL P,0449,GRNT,ACTIVE
41508-014,SECOND GMS REGIONAL COMMUNICABLE DISEASES CONTRL P,0450,GRNT,ACTIVE
N/A-N/A,NATIONAL HIGHWAY NETWORK DEVELOPMENT IN BALOCHISTA,0451,GRNT,ACTIVE
46535-001,STRENGTHENING TECHNICAL AND VOCATIONAL EDUCATION A,0453,GRNT,ACTIVE
42285-013,INTEGRATED URBAN ENVIRONMENTAL MGMT IN THE TONLE S,0454,GRNT,ACTIVE
47127-002,MANDALAY URBAN SERVICES IMPROVEMENT PROJECT,0455,GRNT,ACTIVE
46044-002,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,0456,GRNT,ACTIVE
46044-002,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,0457,GRNT,ACTIVE
49319-001,CYCLONE PAM ROAD RECONSTRUCTION PROJECT,0461,GRNT,ACTIVE
43237-013,URBAN ENVIRONMENT & CLIMATE CHANGE ADAPTATION PR,0462,GRNT,ACTIVE
47282-003,MFF:ENERGY SUPPLY IMPROVEMENT INVESTMENT PROGRAM-T,0465,GRNT,ACTIVE
42334-014,RURAL ROADS IMPROVEMENT PROJECT II (ADDITIONAL FIN,0467,GRNT,ACTIVE
42361-014,MEDIUM-VOLTAGE SUB-TRANSMISSION EXPANSION SECTOR P,0468,GRNT,ACTIVE
41504-026,MFF:TOWN ELECTRIFICATION INVESTMENT PROGRAM - TRAN,0469,GRNT,ACTIVE
N/A-N/A,VIENTIANE SUSTAINABLE URBAN TRANSPORT PROJECT,0471,GRNT,ACTIVE
N/A-N/A,SECONDARY SCIENCE EDUCATION SECTOR PROJECT (UNDP FINANCED),0845,TA,FIN COMPL
N/A-N/A,THIRD NATURAL GAS DEVELOPMENT PROJECT (UNDP FINANCED),0849,TA,FIN COMPL
N/A-N/A,IMPROVING THE PROGRAM BUDGETING & PROJECT MONITORING SYSTEM- UNDP FIN,0851,TA,FIN COMPL
N/A-N/A,LIMESTONE DEVELOPMENT PROGRAM (UNDP FINANCED),0854,TA,FIN COMPL
N/A-N/A,TELANG AND SALEH DRAINAGE IMPROVEMENT,0857,TA,FIN COMPL
N/A-N/A,MONGLA PORT PROJECT (UNDP FINANCED),0885,TA,CANCELLED
N/A-N/A,INSTITUTIONAL STRENGTHENING WITHIN THE MINISTRY OF ENERGY (W/ UNDP),0886,TA,FIN COMPL
N/A-N/A,INSTITUTIONAL SUPPORT FOR ROAD & ROAD TRANSPORT DEV. (UNDP FINANCED),0896,TA,FIN COMPL
N/A-N/A,SECONDARY CROPS DEVELOPMENT PROJECT,0898,TA,FIN COMPL
N/A-N/A,IMPROVING GOVERNMENT FINANCIAL ACCOUNTING AND AUDITING PROCEDURES,0904,TA,FIN COMPL
N/A-N/A,CHINA INVESTMENT BANK (UNDP FINANCED),0905,TA,FIN COMPL
N/A-N/A,SECOND RUBBER DEVELOPMENT PROJECT (CO-FINANCED WITH GOVT OF NORWAY),0908,TA,FIN COMPL
N/A-N/A,XESET HYDROPOWER PROJECT (UNDP/NORWAY),0909,TA,FIN COMPL
N/A-N/A,SWABI SALINITY CONTROL AND RECLAMATION(CO-FIN. GOV'T. OF SWITZERLAND),0916,TA,FIN COMPL
N/A-N/A,HILL FRUIT DEVELOPMENT (UNDP-FINANCED),0919,TA,FIN COMPL
N/A-N/A,IMPLEMENTATION OF THIRD ROAD IMPROVEMENT,0924,TA,FIN COMPL
