,Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
279,Australia,Australia,,2011,2011,2761 (CG1),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,35.00,,,35.00,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
304,Australia,Australia,,2014,2014,3123 (CG),3123/8280,47315,,,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0.00,48.83,,,48.83,DVA,PS,Collaborative,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,03/31/2014,,,,,Sovereign,,,,,,3123
312,Australia,"Australia,Australia",Australia,2016,2016,,3393/0479,48361-001,,,TON,Building Macroeconomic ResilienceﾖSubprogram 1,PARD,PAUS,05/30/2016,,,,,0.00,3.00,,,3.00,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,3602,Public Expenditure and Fiscal Management,,,,No,,05/30/2016,,,,Approved,Sovereign,,,,,,3393
400,CIDA,Canada,,2011,2011,2761 (CG2),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,65.00,,,65.00,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
509,Denmark,Denmark,,2011,2011,0272 (CG2),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,17.90,,,17.90,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,Ministry of Foreign Affairs,,0272
573,EBRD,EBRD,EBRD,2012,2012,2916 (CL),2916,46145-001,,,KAZ,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement,CWRD,CWTC,10/05/2012,,,,,0.00,,196.50,,196.50,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Road Transport,04/27/2012,,,No,,10/05/2012,,,,Approved,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.",2916
576,EBRD,EBRD,EBRD,2014,2014,3150 (CG),3150,46416-002,,,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0.00,10.89,,,10.89,DVA,PS,Collaborative,Multilateral,Grant,,3200.0,Energy,,"Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,,,07/31/2014,,,,,Sovereign,,,,,,3150
577,EBRD,EBRD,EBRD,2014,2014,3150 (CL),3150,46416-002,,,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0.00,,19.11,,19.11,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/31/2014,,,,,Sovereign,,,,,,3150
595,EC,EC,EC,2011,2011,0272 (CG3),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,47.90,,,47.90,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,"Together with DFID, UK",,0272
708,EC,EC,EC,2011,2011,2761 (CG3),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,70.00,,,70.00,DVA,,Collaborative,Multilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
714,EC,EC,EC,2015,2015,3256 (CG3),3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.00,55.48,,,55.48,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,"From $46.5, change in amt per Rudi van Dael memo to OCO 2 Dec 2015",,3256
718,EDB,EDB,EDB,2015,2015,2993 (CL),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,Yes,,04/16/2015,,,,,Sovereign,,,,,,2993
721,EDB,EDB,EDB,2013,2013,3056 (CL),3056/0366,45169-001,,,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,,,,,0.00,,60.00,,60.00,DVA,FW,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,11/05/2013,,,,,Sovereign,,,,,,3056
730,EIB,EIB,EIB,2014,2014,0409 (CL1),0409/0410/0429,46122-003,,,,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.00,,50.00,,50.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,"3201, 3216, 3214",Conventional Energy Generation,,,,No,,09/29/2014,,,,,Sovereign,,,,,,0409
771,EIB,EIB,EIB,2011,2011,2741 (CL),2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.00,,95.00,,95.00,DVA,,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,3711,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,Euro 73 million,"DR 2011. para on FCA and new proj, pp 8,10.",2741
774,EIB,EIB,EIB,2015,2015,2783 (CL),2783/2784,43200-024,,,PNG,Bridge Replacement for Improved Rural Access Sector,PARD,PNRM,08/24/2015,,,,,0.00,,50.00,,50.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,3701,Road Transport (Non-Urban),08/24/2015,,,No,,08/24/2015,,,,Approved,Sovereign,,,,,,2783
777,EIB,EIB,EIB,2012,2012,2956 (CL),2956,39500-033,0052,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0.00,,195.00,,195.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,Joint collaborative cofinancing,"DR 2012. para in SERD section on New Initiatives, pp 25.",2956
780,EIB,EIB,EIB,2012,2012,0320 (CG),2966/0320,42378-015,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.00,7.00,,,7.00,DVA,PS,Collaborative,Multilateral,Grant,,3200.0,Energy,,Energy Efficiency and Conservation,,,,,,11/28/2012,,,,,Sovereign,,,,from ADB-administered to collab following 3Feb2014 memo of SAEN,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
781,EIB,EIB,EIB,2012,2012,2966 (CL),2966/0320,42378-015,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.00,,91.00,,91.00,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
784,EIB,EIB,EIB,2014,2014,2966 (CL),2966/0320,42378-015,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary),SARD,SAEN,02/19/2014,,,,,0.00,,21.00,,21.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,Yes,,02/19/2014,,,,,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
788,EIB,EIB,EIB,2013,2013,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.00,,70.00,,70.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,Joint collaborative cofinancing,,2990
789,EIB,EIB,EIB,2014,2014,2990 (CL),2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,07/18/2014,,,,,0.00,,15.00,,15.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Large Hydropower,07/18/2014,,,Yes,,07/18/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,2990
792,EIB,EIB,EIB,2013,2013,2993 (CL),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0.00,,79.20,,79.20,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,09/27/2013,,,,,Sovereign,,,,,,2993
795,EIB,EIB,EIB,2015,2015,3020 (CL),3020/3021/0404,46260,,,TIM,Road Network Upgrading SectorﾗAdditional Cofinancing,PARD,PATE,11/20/2015,,,,,0.00,,50.00,,50.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,3020
798,EIB,EIB,EIB,2013,2013,3051 (CL),3051/8292,42173-013,,,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0.00,,136.00,,136.00,DVA,PS,Collaborative,Multilateral,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/22/2013,,,,,Sovereign,,,,Revised cofin amount from $100m to $136m (ref. N Saito memo on minor change in project);  Joint collaborative cofinancing,,3051
801,EIB,EIB,EIB,2013,2013,3098 (CL),3098/3099/0380,45007-004,0078,,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,,,,,0.00,,28.38,,28.38,DVA,FW,Collaborative,Multilateral,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,"Water Supply and Sanitation, Slum Upgrading and Housing, Other Municipal Services, Urban Sector Development",,,,No,,12/12/2013,,,,,Sovereign,,,,,,3098
804,EIB,EIB,EIB,2014,2014,3139 (CL),3139/0397/0398,44219-014,,,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,SARD,SAEN,07/04/2014,,,,,0.00,,120.00,,120.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,"Renewable Energy, Electricity Transmission and Distribution",04/22/2014,,,No,,07/04/2014,,,,,Sovereign,,,,,,3139
807,EIB,EIB,EIB,2014,2014,3169 (CL),3169/3170,46168-001,,,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,SARD,SATC,09/30/2014,,,,,0.00,,175.00,,175.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,3703,Rail Transport (Non-Urban),,,,No,,09/30/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,3169
809,EIB,EIB,EIB,2014,2014,3186 (CL),3186,46268-002,,,,Clean Energy Finance Investment Program ﾖ Tranche 1 ,SARD,SAPF,12/10/2014,,,,,0.00,,253.00,,253.00,DVA,PS,Collaborative,Multilateral,Loan,,3300.0,Finance,3312,Infrastructure Finance and Investment Funds,,,,No,,12/10/2014,,,,,Sovereign,,,,,,3186
814,EIB,EIB,EIB,2015,2015,3250 (CL),3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0.00,,20.00,,20.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,,,,,,3250
817,EIB,EIB,EIB,2015,2015,3348 (CL),3348/3349,45148-008,,,SRI,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3,SARD,SAUW,12/08/2015,,,,,0.00,,50.00,,50.00,DVA,PS,Collaborative,Multilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,,3348
819,EIB,EIB,EIB,2015,2015,3363 (CL),3363/3364/8302,40080-025,,,,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,77.00,,77.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
825,EU,EU,EU,2016,2016,,3393/0479,48361-001,,,TON,Building Macroeconomic ResilienceﾖSubprogram 1,PARD,PAUS,05/30/2016,,,,,0.00,2.80,,,2.80,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,3602,Public Expenditure and Fiscal Management,,,,No,,05/30/2016,,,,Approved,Sovereign,,,,,,3393
832,Finland,Finland,,2011,2011,0272 (CG6),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,13.20,,,13.20,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,,0272
919,AFD,France,,2003,2003,2014 (CL),2014,32336,,,PRC,Western Yunnan Roads Development (Baoshan-Longling),EARD,EATC,10/28/2003,,,,,0.00,,38.00,,38.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/28/2003,10/28/2004,,06/22/2009,,Sovereign,Succesful,,,Adj: $35(RRP) (Amt was changed to $38(Euro 35m) AFD approval ref P. Benedic e-mail- 19Dec03). Cofinancing Agreement-10Dec04. No fee,,2014
925,AFD,France,,2011,2011,2025 (CL),2025/2747,29296-013,,,VIE,Phuoc Hoa Water Resources (Supplementary),SERD,SEAE,03/31/2011,,,,,0.00,,25.00,,25.00,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,Yes,,03/31/2011,09/30/2011,,,,Sovereign,,,,SUPPLEMENTARY TO LOAN 2025,,2025
928,AFD,France,,2003,2003,2034 (CL),2034,34355,,,VIE,Central Region Urban Environmental Improvement,SERD,SESS,12/08/2003,,,,,0.00,,33.00,,33.00,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/08/2003,06/23/2004,,04/25/2012,,Sovereign,,,,Adj: $31.8 in RRP (Amount was changed to $33.0 (Euro 30m)  AFD approval ref e-mail from P. Benedic 19Dec03). Cofinancing Agreement signed 24-Jan-05. No fee,,2034
937,AFD,France,,2004,2004,2116 (CL),2116,36432,,,PRC,Dali-Lijiang Railway,EARD,EATC,12/02/2004,,,,,0.00,,40.00,,40.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/02/2004,11/14/2005,,07/09/2012,,Sovereign,Successful,,,33.5 milion Euro. Cofinancing Agreement signed on 18Jul05.  No fee,,2116
943,AFD,France,,2004,2004,2128 (CL),2128,32273,,,VIE,Northern Power Transmission Sector,SERD,SEID,12/13/2004,,,,,0.00,,50.00,,50.00,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/13/2004,12/16/2005,,05/10/2012,,Sovereign,Successful,,,,,2128
968,AFD,France,,2009,2009,2584 (CL),2584,39516,,,PHI,Local Government Financing and Budget Reform Program (Subprogram 2),SERD,,11/26/2009,,,,,0.00,,216.00,,216.00,DVA,PS,Collaborative,Bilateral,Loan,OCR,3600.0,Public Sector Management,,,,,,,,11/26/2009,12/28/2009,,03/31/2010,,Sovereign,Highly successful,,,AFD will cofinance Subprogram 2 in the amount of euro 150m ($216m). MOU signed 9Oct09.,,2584
974,AFD,France,,2010,2010,2636 (CL),2636,42080,,,VIE,Strengthening Water Management and Irrigation Systems Rehabilitation,SERD,,04/20/2010,,,,,0.00,,28.00,,28.00,DVA,Others,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,04/20/2010,01/19/2011,,,,Sovereign,,,,MOU on collaborative cofinancing was signed 12Mar2010.,"DR 2010. para on new proj of the year, pp 15. DR 2011. para on FCA, pp 10.",2636
977,AFD,France,,2010,2010,2710 (CL),2710/2711,37378,,,SRI,Jaffna and Kilinochchi Water Supply and Sanitation,SARD,,11/29/2010,,,,,0.00,,40.00,,40.00,DVA,FW,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,11/29/2010,05/06/2011,,,,Sovereign,,,,Collaborative cofinancing,"DR 2010. para on new proj of the year, pp 14. DR 2011. para on FCA, pp 10.",2710
980,AFD,France,,2011,2011,2741 (CL) -1,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.00,,30.00,,30.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,3711,Urban Transport,,,,,,03/29/2011,,,,,Sovereign,,,,Euro 110.0 million ﾀ 23.1 for joint cofinancing ($30m) ﾀ 86.9 for parallel cofinancing ($113.0m); changed to collab 29 July 2013 per email of Kat Barrameda,"DR 2011. para on FCA and new proj, pp 8,10.",2741
981,AFD,France,,2011,2011,2741 (CL) -3,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.00,,113.00,,113.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,3711,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,,"DR 2011. para on FCA and new proj, pp 8,10.",2741
982,DGT,France,,2011,2011,2741 (CL) -2,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.00,,325.00,,325.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,3711,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,,"DR 2011. para on FCA and new proj, pp 8,10.",2741
991,AFD,France,,2012,2012,2959 (CL),2959,42039-035,0066,,VIE,Power Transmission Investment Program - Tranche 2,SERD,SEEN,12/05/2012,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,11/29/2012,,,No,,12/05/2012,,,,,Sovereign,,,,,,2959
1003,AFD,France,,2013,2013,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
1006,AFD,France,,2013,2013,3087 (CL),3087,42378-016,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0.00,,125.00,,125.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,,,,,,3087
1009,AFD,France,,2014,2014,3111 (CL),3111,44253-013,,,PHI,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,SERD,SEPF,02/13/2014,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Decentralization",,,,No,,02/13/2014,,,,,Sovereign,,,,,,3111
1016,AFD,France,,2015,2015,3303 (CL),3303/8293,49043-001,,,,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,,3303
1020,AFD,"France,AFD",AFD,2015,2015,3316 (CL),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,,46.00,,46.00,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
1025,AFD,"France,AFD",AFD,2015,2015,3363 (CL) -1,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,75.90,,75.90,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1026,DGT,France,,2015,2015,3363 (CL) -2,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,93.50,,93.50,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1033,FTI,FTI,FTI,2011,2011,0272 (CG7),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,70.00,,,70.00,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,Fast Track Inititative administered by WB,,0272
1280,KfW,Germany,,2004,2004,2095 (CL),2095,34344,,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0.00,,17.00,,17.00,DVA,,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,10/21/2004,04/06/2005,,12/11/2006,,Sovereign,Succesful,,,Procedural Arrangement between ADB & KfW was signed on 31May05 (Euro 14million). Dec09 adj. from non DVA to DVA,,2095
1290,KfW,Germany,,2006,2006,2281 (CL),2281,36343,,,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,,,,,0.00,,151.80,,151.80,DVA,,Collaborative,Bilateral,Loan,OCR,3300.0,Finance,,,,,,,,11/23/2006,02/21/2007,,,,Sovereign,Less than Successful,,,"KfW has earmarked at least ﾀ140m for supporting CCS reform. Of this, ﾀ10m will be reserved for TA. KfW's cf will be provided in a parallel financing arrangement. Procedural arrangement was signed 13Mar08.  $186.02 based on Partnership Brief for Germany, not $151.80 million",,2281
