,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
980,AFD,France,2013,2013.0,8273,2920/8273,44507-003,,,VIE,Public-Private Partnership Support - Additional Cofinancing,SERD,SEPF,08/23/2013,,,,,0.0,,10.0,,10.0,DVA,FW,Partial Administration,Bilateral,Loan,,3600.0,Public Sector Management,,Public Administration ,10/25/2012,,,Yes,,08/23/2013,,,,Under Administration,Sovereign,,,,,,2920
986,AFD,France,2013,2013.0,8272,3015/0354/8272,41074-013,,,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,,,,,0.0,,49.5,,49.5,DVA,PS,Partial Administration,Bilateral,Loan,,3200.0,Energy,,,,,,No,,08/27/2013,,,,,Sovereign,,,,,,3015
989,AFD,France,2014,2014.0,8282,3029/3030/8282,45148-007,72,,SRI,Greater Colombo Water and Wastewater Management Improvement Investment Program ﾖ Tranche 2ﾖAdditional Cofinancing,SARD,SAUW,06/09/2014,,,,,0.0,,70.0,,70.0,DVA,FW,Partial Administration,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,,,,,,,,06/09/2014,,,,,Sovereign,,,,"Memo on change in scope approved on November 5, 2014:reduction of AFD cofinancing from $101 million to $70 million",,3029
992,AFD,France,2013,2013.0,8292,3051/8292,42173-013,,,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,,,,,0.0,,64.0,,64.0,DVA,FW,Partial Administration,Bilateral,Loan,,3800.0,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/22/2013,,,,,Sovereign,,,,from collab to partial admin per Kat's email of 15 July 2014;  Revised cofin amount from $100m to $64m; CA signed 25 Feb 2015 (ref. Becky Canoy email of 2 March 2015) ,,3051
1004,AFD,"France,AFD",2014,2014.0,8290,3146/3147/0084/8290,47037-004,,,SRI,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1,SARD,SAEN,07/29/2014,,,,,0.0,,30.0,,30.0,DVA,FW,Partial Administration,Bilateral,Loan,,3200.0,Energy,,"Large Hydropower Generation, Electricity Transmission and Distribution, Energy Efficiency and Conservation",,,,No,,07/29/2014,,,,,Sovereign,,,,,,3146
1006,AFD,"France,AFD",2015,2015.0,8299,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0.0,,40.0,,40.0,DVA,FW,Partial Administration,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/08/2015,,,,,Sovereign,,,,,,3151
1016,AFD,France,2016,2016.0,8305,8305,46064-003,,,CAM,Technical and Vocational Education and Training Sector Development ProgramﾗAdditional Financing,SERD,SEHS,02/29/2016,,,,,0.0,,15.0,,15.0,DVA,PS,Partial Administration,Bilateral,Loan,,3100.0,Education,,"Technical and Vocational Education and Training, Education Sector Development",02/29/2016,,,Yes,,02/29/2016,03/01/2016,,,Under Processing,Sovereign,,,,,,8305
1355,IFAD,IFAD,2009,2009.0,145,0144-0145,,,,LAO,Sustainable Natural Resource Management and Productivity Enhancement,SERD,,02/23/2009,,,,,0.0,15.0,,,15.0,DVA,,Partial Administration,Multilateral,Grant,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,02/23/2009,01/31/1974,,01/13/1982,,Sovereign,,,,,,0144-0145
1379,IFAD,IFAD,1980,1980.0,,496,13045,,,SRI,Anuradhapura Dry Zone Agriculture,SARD,SAAE,12/15/1980,,,,,0.0,,14.5,,14.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/15/1980,05/22/1981,,09/24/1990,,Sovereign,,,,,,496
1424,IFAD,IFAD,1996,1996.0,,1381/2564,,,,BAN,Beneficiary Participation and Project Management,SARD,AWAR,05/02/1996,,,,,0.0,,10.4,,10.4,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,05/02/1996,04/08/1996,,01/15/2003,,Sovereign,S,,,"YL: PCR was sent to IFAD on 01Aug05.  Adj Dec05 from $10.4 to $8.801 ($8.80) ref PCR. MBT: Anchor loan was approved on 26 Sep 1995, Board doc on admin of IFAD loan and NET grant was approved on 2 May 1996 per MF and LTAA.  Change in Title based on PPER, MF and LTAA, amount based on RRP and subsequent board doc. Amount reverted to $10.40m.",,1381
1439,IFAD,IFAD,2000,2000.0,,1787/8195,29586,,,PAK,North West Frontier Province Barani Area Development - Phase II,CWRD,SAAE,11/28/2000,,,,,0.0,,14.8,,14.8,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/28/2000,02/04/2002,,06/30/2010,,Sovereign,Succesful,,,Joint cf. Actual IFAD cf $9.3 ref PCR Dec. 2010. Not adjusted.,,1787
1442,IFAD,IFAD,2006,2006.0,8229,2259/0056/8229,35297,,,LAO,Northern Region Sustainable Livelihoods through Livestock Development,SERD,SEAE,09/29/2006,,,,,0.0,,3.0,,3.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/29/2006,06/28/2007,,,,Sovereign,,,,,,2259
1445,IFAD,IFAD,2009,2009.0,8248,2542,39432,,,BAN,Participatory Small-Scale Water Resources Sector,SARD,SANS,09/04/2009,,,,,0.0,,22.0,,22.0,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/04/2009,11/12/2009,,,,Sovereign,,,,IFAD loan signing scheduled for 6Nov09.,,2542
1448,IFAD,IFAD,2010,2010.0,,2542,39432,,,BAN,Participatory Small-Scale Water Resources Sector (Supplementary),SARD,SANS,07/29/2010,,,,,0.0,,10.0,,10.0,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,Yes,,07/29/2010,11/12/2001,,,,Sovereign,,,,IFAD approved on 22Apr10.  Paper on ADB administration of cofinancing approved 29Jul2010.  #8250-BAN,,2542
1451,IFAD,IFAD,2009,2009.0,8243,2599/0186/0191/0192/8243,41435,,,CAM,Tonle Sap Poverty Reduction and Smallholder Development,SERD,,12/08/2009,,,,,0.0,,6.69,,6.69,DVA,,Partial Administration,Multilateral,Loan,,3000.0,Agriculture and Natural Resources,,,,,,,,12/08/2009,03/31/2010,,,,Sovereign,,,,,,2599
1458,IFAD,IFAD,2012,2012.0,8266,2957/0324-0325/8266,41220-013,,,PHI,Integrated Natural Resources and Environmental Management,SERD,SEER,12/03/2012,,,,,0.0,,20.0,,20.0,DVA,PS,Partial Administration,Multilateral,Loan,,3000.0,Agriculture and Natural Resources,,Land-Based Natural Resources Management,,,,No,,12/03/2012,,,,,Sovereign,,,,,,2957
1504,IsDB,IsDB,1978,1978.0,8030,0389/8030,48192,,,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,,,,,0.0,,10.01,,10.01,DVA,,Partial Administration,Multilateral,Loan,OCR,3900.0,Multisector,3900,,,,,,,12/22/1978,,,,,Sovereign,,,,"Adj Dec 06 from $10 to $7.5, ref PCR",,0389
1728,JBIC (non-ODA),Japan,1992,1992.0,8135,1164/8135/8137,22138,,,FIJ,Second Road Upgrading,PARD,,06/18/1992,,,,,0.0,,6.5,,6.5,DVA,,Partial Administration,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,06/18/1992,06/07/1993,,03/09/1999,,Sovereign,GS,,,COLA 4Jun 1993 with admin fee. PCR Dec99.,,1164
1852,JBIC (non-ODA),Japan,1999,1999.0,,1673,31604,,,INO,Power Sector Restructuring Program,SERD,,03/26/1999,,,,,0.0,,400.0,,400.0,DVA,,Partial Administration,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,03/26/1999,03/23/1999,,12/11/2002,,Sovereign,PS,,,,,1673
1887,JBIC (non-ODA),Japan,2002,2002.0,,1984,36018,,,PHI,Electricity Market and Transmission Development,SERD,SEID,12/09/2002,,,,,0.0,,40.0,,40.0,DVA,,Partial Administration,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/09/2002,03/09/2004,,08/03/2009,,Sovereign,Successful,,,"COLA 19May2004. Adj. from $45.5 to $40m. Admin fee $40,000. Now JBIC. At appraisal, JBICﾒs commitment was $45.5 million. However, JBICﾒs board of directors only approved a loan amount of $40 million.",,1984
1929,JICA (ACFA),Japan,2007,2007.0,8232,2368/0087/0101/8232,38183,,,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,,,,,0.0,,38.0,,38.0,DVA,FW,Partial Administration,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,11/21/2007,06/19/2008,,,,Sovereign,,,,JBIC Joint conditional Acceptance dated 4Oct07(JPY 4.598m) was received.  JICA (ACFA). Admin fees received 28Jul09.,"DR 2009. para on loan buy-down from AUS, pp16. para on FCA on JICA, pp 29. DR 2010. para on ""increasingly sophisticated cof arrangements"", pp 12.",2368
1932,JICA (ACFA),Japan,2008,2008.0,8233,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,,,,,0.0,,60.0,,60.0,DVA,PS,Partial Administration,Bilateral,Loan,ADF,3900.0,Multisector,3900,,,,,,,01/31/2008,02/19/2008,,04/20/2011,,Sovereign,Highly Successful,,,JBIC (ODA) Cofinancing Scheme Agreement between ADB and JBIC(ODA) (now JICA)  was signed on 27Feb07.,"DR 2009. para on NET cof, pp. 36.",2409
1966,JICA (ACFA),Japan,2010,2010.0,8244,2629/2630/8244,43151,,,UZB,Talimarjan Power,CWRD,CWEN,04/20/2010,,,,,0.0,,300.0,,300.0,DVA,,Partial Administration,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,04/20/2010,07/23/2010,,,,Sovereign,,,,,DR 2009. para on FCA pp 29.,2629
1969,JICA (ACFA),Japan,2010,2010.0,8251,2697/8251,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People's Republic of China International Transit Corridor] Investment Program - Tranche 3 ,CWRD,,11/15/2010,,,,,0.0,,68.0,,68.0,DVA,,Partial Administration,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/15/2010,06/15/2011,,,,Sovereign,,,,,"DR 2010. para on RCI-cross border infra and on new proj, pp 28; para in CWRD section, pp 8.",2697
2730,Kuwait Fund for Arab Economic Development,Kuwait,2003,2003.0,9024 (PG),9024/0076,,,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,05/26/2003,,,,,0.0,15.0,,,15.0,DVA,,Partial Administration,Bilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,Yes,,05/26/2003,,,,,Sovereign,,,,,,9024
2763,NDF,NDF,2013,2013.0,358,0357/0358,44214-024,,,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,,,,,0.0,4.63,,,4.63,DVA,FW,Partial Administration,Multilateral,Grant,,3000.0,Agriculture and Natural Resources,,"Land-Based Natural Resources Management, Water-Based Natural Resources Management",,,,No,,09/23/2013,,,,,Sovereign,,,,Euro3.6 million,,0357
2817,NDF,NDF,2000,2000.0,8235,1820/8235,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,,,,,0.0,,10.5,,10.5,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/21/2000,11/28/2001,,,,Sovereign,,,,NDF Credit No. 265.  NDF approval 17 January 2001. Adj Dec08 -non DVA to DVA ref major change paper 7Feb08.,,1820
3052,NZAID,New Zealand,2005,2005.0,32,2220/0031/0032,34285,,,SAM,Education Sector II,PARD,PAHQ,12/16/2005,,,,,0.0,8.6,,,8.6,DVA,PS,Partial Administration,Bilateral,Grant,ADF,3100.0,Education,,,,,,,,12/16/2005,08/14/2006,,,,Sovereign,,,,ADB admin grants (partial admin),,2220
3055,New Zealand,New Zealand,2011,2011.0,273,2820/3249/0273/0427,42392-013,,,VAN,Interisland Shipping Support,PARD,,11/30/2011,,,,,0.0,12.6,,,12.6,DVA,,Partial Administration,Bilateral,Grant,,3700.0,Transport and ICT,,,,,,No,,11/30/2011,,,,,Sovereign,,,,,,2820
3058,New Zealand,New Zealand,2015,2015.0,427,2820/3249/0273/0427,42392-013,,,VAN,Interisland Shipping SupportﾗAdditional Financing,PARD,PLCO,02/27/2015,,,,,0.0,4.65,,,4.65,DVA,PS,Partial Administration,Bilateral,Grant,,3700.0,Transport,,Water Transport (Non-Urban),11/05/2014,,,Yes,,02/27/2015,,,,,Sovereign,,,,L2820/GR0273/TA7938; NZ$6 million,,2820
3196,OFID,OFID,2005,2005.0,,0016/8219,,,,LAO,Northern and Central Regions Water Supply and Sanitation Sector,SERD,SESS,08/25/2005,,,,,0.0,,9.0,,9.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,08/25/2005,02/10/1970,,05/31/1976,,Sovereign,,,,,,0016
3199,OFID,OFID,1978,1978.0,8008,0048/8008,,,,VIE,Fisheries Development,SERD,SEER,04/26/1978,,,,,0.0,,7.0,,7.0,DVA,,Partial Administration,Multilateral,Loan,,3000.0,Agriculture and Natural Resources,,,,,,,,04/26/1978,,,,,Sovereign,,,,,,0048
3202,OFID,OFID,2006,2006.0,8231,0051/8231,,,,NEP,Road Connectivity Sector I,SARD,,08/10/2006,,,,,0.0,,10.0,,10.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,08/10/2006,05/12/1971,,06/09/1976,,Sovereign,,,,,,0051
3205,OFID,OFID,1977,1977.0,8003,0056/8003,35297,,,PHI,Cotabato-General Santos Road,SERD,,08/03/1977,,,,,0.0,,8.25,,8.25,DVA,,Partial Administration,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,08/03/1977,03/26/1971,,10/12/1978,,Sovereign,,,,,,0056
3208,OFID,OFID,2007,2007.0,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0.0,,11.0,,11.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,,0082
3211,OFID,OFID,2007,2007.0,8234,0093/8234,,,,NEP,Rural Reconstruction and Rehabilitation Sector Development Program,SARD,,12/12/2007,,,,,0.0,,10.0,,10.0,DVA,,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/12/2007,,,,,Sovereign,Successful,,,OFID will jointly finance rural road civil works.  Revised proj cost 106.8 ref R 242-08.,,0093
3214,OFID,OFID,1972,1972.0,8002,0118/8002,,,,SRI,Bowatenna Power,SARD,SAID,12/19/1972,,,,,0.0,,3.15,,3.15,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/19/1972,03/26/1973,,08/29/1979,,Sovereign,,,,,,0118
3217,OFID,OFID,1973,1973.0,0127 (PL),127,6006,,,AFG,Helmand Valley Development Road,CWRD,,04/18/1973,,,,,0.0,,3.55,,3.55,DVA,PS,Partial Administration,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,04/18/1973,08/24/1973,,08/30/1993,,Sovereign,,,,,,127
3220,OFID,OFID,1973,1973.0,8001,0162/8001,,,,MYA,Rangoon Water Supply,SERD,SESS,12/11/1973,,,,,0.0,,1.28,,1.28,DVA,,Partial Administration,Multilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/11/1973,02/26/1974,,09/08/1989,,Sovereign,,,,,,0162
3223,OFID,OFID,1973,1973.0,171,0171-0172,,,,PAK,Multan Fertilizer,CWRD,,12/19/1973,,,,,0.0,,11.0,,11.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,12/19/1973,07/24/1974,,09/29/1978,,Sovereign,,,,,,0171-0172
3226,OFID,OFID,2010,2010.0,8255,0234/8255,,,,LAO,Second Northern Greater Mekong Subregion Transport Network Improvement,SERD,,11/25/2010,,,,,0.0,,12.0,,12.0,DVA,PS,Partial Administration,Multilateral,Loan,ADF Grant,3700.0,Transport and ICT,,,01/26/2012,,,,,11/25/2010,04/14/1976,,06/30/1982,,Sovereign,,,,,"DR 2010. para on RCI and on new proj, pp 27.",0234
3229,OFID,OFID,2012,2012.0,8259,0301/8259,45432-002,,,TAJ,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement,CWRD,CWTC,09/11/2012,,,,,0.0,,14.0,,14.0,DVA,FW,Partial Administration,Multilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,09/11/2012,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.",0301
3232,OFID,OFID,1977,1977.0,8010,0332/8010,,,,PAK,Tarbela Hydropower (Supplementary & Extension),CWRD,SAEN,12/15/1977,,,,,0.0,,13.0,,13.0,DVA,,Partial Administration,Multilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/15/1977,03/01/1979,,08/15/1985,,Sovereign,,,,,,0332
3235,OFID,OFID,1977,1977.0,8009,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,,,,,0.0,,3.0,,3.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/20/1977,09/14/1978,,02/23/1987,,Sovereign,,,,,,0334
3238,OFID,OFID,1978,1978.0,,349,,,,MYA,Pyinmana Integrated Sugar,SERD,SEFN,08/22/1978,,,,,0.0,,6.5,,6.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,08/22/1978,11/10/1978,,12/08/1988,,Sovereign,,,,,,349
3241,OFID,OFID,1978,1978.0,,371,13016,,,PHI,Laguna de Bay Fish Pen Development,SERD,SEAE,12/01/1978,,,,,0.0,,4.5,,4.5,DVA,,Partial Administration,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/01/1978,05/24/1979,,06/20/1988,,Sovereign,,,,,,371
3244,OFID,OFID,1978,1978.0,,388,18194,,,NEP,Second Tribhuvan International Airport,SARD,,12/22/1978,,,,,0.0,,5.0,,5.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/22/1978,03/26/1979,,04/24/1991,,Sovereign,GS,,,,,388
3247,OFID,OFID,1978,1978.0,,0390-0391,,,,PAK,Pipri Thermal Generation,CWRD,,12/22/1978,,,,,0.0,,15.7,,15.7,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/22/1978,10/26/1979,,03/12/1985,,Sovereign,,,,,,0390-0391
3250,OFID,OFID,1979,1979.0,,395,,,,MYA,Sedawgyi Hydropower,SERD,SEID,04/24/1979,,,,,0.0,,2.0,,2.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,04/24/1979,10/02/1979,,07/11/1988,,Sovereign,,,,,,395
3253,OFID,OFID,1979,1979.0,,396,,,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,,,,,0.0,,10.0,,10.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,04/26/1979,09/14/1979,,02/02/1983,,Sovereign,,,,,,396
3256,OFID,OFID,1979,1979.0,,406,,,,PHI,Bukidnon Irrigation,SERD,,07/26/1979,,,,,0.0,,3.5,,3.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,07/26/1979,11/26/1979,,05/04/1989,,Sovereign,,,,,,406
3259,OFID,OFID,1979,1979.0,,436,,,,SRI,Rural Electrification,SARD,SAID,12/10/1979,,,,,0.0,,6.0,,6.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/10/1979,06/30/1980,,04/26/1989,,Sovereign,,,,,,436
3262,OFID,OFID,1979,1979.0,,440,,,,THA,Mae Moh (Unit 4) Power,SERD,SEID,12/14/1979,,,,,0.0,,7.0,,7.0,DVA,,Partial Administration,Multilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/14/1979,10/23/1980,,12/23/1986,,Sovereign,,,,,,440
3265,OFID,OFID,1979,1979.0,,447,46495-002,,,NEP,Third Power,SARD,,12/21/1979,,,,,0.0,,1.3,,1.3,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/21/1979,11/01/1980,,07/28/1987,,Sovereign,,,,,,447
3268,OFID,OFID,1980,1980.0,,456,13007,,,MYA,Outports,SERD,,06/10/1980,,,,,0.0,,6.32,,6.32,DVA,,Partial Administration,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,06/10/1980,10/28/1980,,10/04/1990,,Sovereign,,,,,,456
3271,OFID,OFID,1980,1980.0,,466,13016,,,PHI,Second Laguna de Bay Irrigation,SERD,,09/25/1980,,,,,0.0,,7.5,,7.5,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/25/1980,04/28/1981,,10/31/1991,,Sovereign,,,,,,466
3274,OFID,OFID,1980,1980.0,,472,13012,,,SRI,Third Tea Development,SARD,AWAR,10/07/1980,,,,,0.0,,5.0,,5.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/07/1980,03/06/1981,,04/27/1990,,Sovereign,,,,,,472
3277,OFID,OFID,1981,1981.0,,512,14004,,,NEP,Mini Hydropower,SARD,SAID,04/21/1981,,,,,0.0,,4.0,,4.0,DVA,,Partial Administration,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,04/21/1981,04/07/1982,,11/26/1991,,Sovereign,,,,,,512
3280,OFID,OFID,1981,1981.0,,513,,,,MLD,Inter-Island Transport,SARD,,08/18/1981,,,,,0.0,,0.88,,0.88,DVA,,Partial Administration,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,08/18/1981,10/08/1981,,12/07/1987,,Sovereign,,,,,,513
