,,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Cofinance Amount/ Total CF,Approved Cofin Amt,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,Proc Arrangement,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
,AITF,2011,2011,262,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,,,189,,0,33,,,33,,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,10/12/2011,10/31/2011,,,,Sovereign,,,,,Afghanistan Infrastructure Trust Fund,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
,AITF,2012,2012,291,0244/0291,42095-033,MFF0025,,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,,,310,,0,30,,,30,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,05/29/2012,,,,,Sovereign,,,,,"RRP Financial table mentions $30 million excluding admin charges of $600,000","DR 2012. line in CWRD section on New Joint Initiatives, pp 10; para for AITF pp49-50."
,AITF,2012,2012,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,,,176,,0,60,,,60,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,12/10/2012,,,,,Sovereign,,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
,AITF,2013,2013,328,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,,,,,0,27,,,27,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,06/20/2013,,,,,Sovereign,Joint,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
,AITF,2013,2013,375,0374/0375,46392-001,,,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,,,99,,0,117,,,117,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,11/25/2013,,,,,Sovereign,Joint,,,,from $57 million to $117 million as additional commitment of $60 million from USAID to AITF was received ref: new coding form issued 10 Dec 2013,
,AITF,2014,2014,412,0411/0412,48326-001,,,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,,,40,,0,16.66,,,16.66,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Irrigation,,,,No,,10/16/2014,,,,,Sovereign,Joint,,,,,
,AITF,2015,2015,262,0261-0262,44482,,,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,,,,,0,1,,,1,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,ADF Grant,3700,Transport,,,,,,No,,12/08/2015,,,,Approved,Sovereign,Joint,,,,,"DR 2011. para on AITF, pp 28. DR 2012. DR 2012. line in CWRD section, pp 8; para for AITF, pp49-50."
,AITF,2015,2015,437,0126/0437,39370-023,,,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,0,0,0,0,0,11,,,11,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Livestock,,,,Yes,,09/25/2015,,,,,Sovereign,Joint,,,,,
,AITF,2015,2015,465,0464/0465,47282-003,,,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,,200,,,200,75,,,75,,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,No,,12/08/2015,,,,Approved,Sovereign,Joint,,,,,
AsIF,AsIF,,,,,,,,,,,,,0,95,0,0,95,13.7,0,0,13.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AsIF,2015,2015,3250,3250/0471/8303,45041-002,,,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,35,,,35,6.9,,,6.9,,DVA,PS,Collaborative,Multilateral,Grant,,3700,Transport,,Urban Public Transport,,,,No,,03/10/2015,,,,,Sovereign,Parallel,,,,"Asian Investment Facility of the European Union, this grant managed by EIB; ﾀ5million",
,AsIF,2015,2015,,3316/0455,47127-002,,,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,60,,,60,6.8,,,6.8,6.8,DVA,PS,Collaborative,Multilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,Parallel,,,,,
Australia,Australia,,,,,,,,,,,,,1573.2,1204.9,214.8,0,2778.1,690.67,1013.63,0,1704.3,128.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,1973,1973,,146,41657,,,TON,Telecommunications,PARD,PARD,11/08/1973,0,1.3,0,,1.3,0.78,,,0.78,,Non-DVA,,,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/08/1973,,,,,Sovereign,,,,,,
,Australia,1976,1976,,289,,,,SOL,Beef Cattle Development,PARD,,12/21/1976,0,3.57,0,,3.57,,1.54,,1.54,,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/21/1976,,,,,Sovereign,,,,,,
,Australia,1977,1977,,0334/8009,,,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,0,4.9,0,,4.9,0.46,,,0.46,,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/20/1977,,,,,Sovereign,,,,,,
,Australia,1978,1978,,372,,,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,45.4,0,0,,45.4,,4.5,,4.5,,Non-DVA,,,Bilateral,Loan,OCR,3200,Energy,,,,,,,,12/05/1978,,,,,Sovereign,,,,,,
,Australia,1979,1979,,445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0,12.28,0,,12.28,,0.89,,0.89,,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/19/1979,,,,,Sovereign,,,,,,
,Australia,1980,1980,,485,,,,SAM,Agricultural Development,PARD,,11/27/1980,0,3,0,,3,,2,,2,,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/27/1980,,,,,Sovereign,,,,,,
,Australia,1983,1983,,646,,,,SOL,Agricultural Development,PARD,,10/29/1983,0,7.75,0,,7.75,,2,,2,,Non-DVA,,,Bilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,10/29/1983,,,,,Sovereign,,,,,,
,Australia,1986,1986,,786,,,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,0,0.7,0,,0.7,0.16,,,0.16,,Non-DVA,,,Bilateral,Grant,ADF,3200,Energy,,,,,,,,08/21/1986,,,,,Sovereign,,,,,,
,Australia,1990,1990,,1031,,,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,0,4.9,0,,4.9,,2.7,,2.7,,Non-DVA,,,Bilateral,Loan,ADF,3700,Transport and ICT,,,,,,,,09/20/1990,,,,,Sovereign,,,,,,
,Australia,1992,1992,,1183,,,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,0,10.5,0,,10.5,3.87,,,3.87,,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/05/1992,,,,,Sovereign,,,,,"PCR IN 265-01, 29Nov01. Adj  from $5.8 was changed to $3.868 ref PCR. Adj Dec03",
,Australia,1993,1993,,1225,,,,PNG,Population and Family Planning,PARD,,04/01/1993,0,7.11,0,,7.11,10,,,10,,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,04/01/1993,,,,,Sovereign,,,,,Parallel cf ref pg 6 PCR.  Sent to OAS Feb08,
,Australia,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0,54,0,,54,10.55,,,10.55,,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,,
,Australia,1995,1995,,1367,,,,PHI,Regional Municipal Development,SERD,,08/30/1995,12,0,0,,12,11.77,,,11.77,,Non-DVA,,,Bilateral,Grant,OCR,3900,Multisector,3900,,,,,,,08/30/1995,,,,,Sovereign,,,,,PCR 15Jun06. ADB $30 to $12. Parallel grant cf - AUS from $11.5m to $11.77 - adj Dec06. Sent to OAS Feb08,
,Australia,1995,1995,,1396,,,,PHI,Integrated Community Health,SERD,,10/17/1995,0,17.6,0,,17.6,13.7,,,13.7,,Non-DVA,,,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,10/17/1995,,,,,Sovereign,,,,,"Adj Dec06 ref PCR Nov06.  ADB loan from $25.9 to $17.6, AUS from $15.2 to 13.7. Sent for storage Jan08.",
,Australia,1996,1996,,1448,,,,VAN,Urban Infrastructure,PARD,PARD,06/27/1996,0,10,0,,10,0.32,,,0.32,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,06/27/1996,,,,,Sovereign,,,,,,
,Australia,1998,1998,,1621,,,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,0,20.6,0,,20.6,5,,,5,,Non-DVA,,,Bilateral,Grant,ADF,3100,Education,,,,,,,,06/25/1998,,,,,Sovereign,,,,,Grant parallel (RRP). Adj Dec08 from $4.3 to $5.0m.,
,Australia,1999,1999,3398,1697/3398(L),28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,0,68,0,,68,0.86,,,0.86,,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,09/21/1999,06/30/2000,,08/04/2006,,Sovereign,,S,,,,
,Australia,1999,1999,,1703,,,,PNG,Financial Management,PARD,,10/21/1999,25.8,0,0,,25.8,12,,,12,,Non-DVA,,,Bilateral,Grant,OCR,3600,Public Sector Management,,,,,,,,10/21/1999,,,,,Sovereign,,,,,"AusAID will provide parallel cf for: (i) the training of provincial, district & local level govt personnel & for diagnostic studies in selected areas ($11.2M); and (ii) United Nations Volunteer subcomponent ($0.79M). File to OAS Aug10.",
,Australia,2000,2000,3520(L),1768/3520(L),32472,,,PNG,Microfinance and Employment,PARD,,10/19/2000,0,9.6,0,,9.6,0.91,,,0.91,,DVA,,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,,,,,,10/19/2000,09/20/2001,,11/18/2010,,Sovereign,,Succesful,,,,
,Australia,2000,2000,,1812,,,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,0,15.3,0,,15.3,1.8,,,1.8,,Non-DVA,,,Bilateral,Grant,ADF,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,12/15/2000,,,,,Sovereign,,,,,,
,Australia,2001,2001,3632(L),1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,0,20,0,,20,5.49,,,5.49,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,02/20/2001,06/26/2000,,09/25/2008,,Sovereign,,Partly successful,,,Adj: in Dec01 previous amt is $2.49 now  $5.490. ADB admin 3632(L).,
,Australia,2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0,100,0,,100,12,,,12,,Non-DVA,,,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,,,,,Sovereign,,Successful,,,Through UNICEF.,"DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
,Australia,2005,2005,31,2220/0031/0032,34285,,,SAM,Education Sector II,PARD,PAHQ,12/16/2005,0,8.06,0,,8.06,8.6,,,8.6,,DVA,PS,Partial Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,12/16/2005,08/14/2006,,,,Sovereign,,,,,ADB admin grants (partial admin),
,Australia,2006,2006,42,42,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,0,0,15,,0,3.5,,,3.5,,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,,,,,,,,04/25/2006,03/09/1971,,06/20/1974,,Sovereign,,,,,ADB admin grant,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
,Australia,2006,2006,43,1823/G0043/G0044,34513,,,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,0,11.56,0,,11.56,2,,,2,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,02/08/2006,03/19/2001,,06/23/2008,,Sovereign,,Succesful,Successful,,Anchor loan app in 2000. Grant 0043 - addl grant cf of $2.0 m from Australia (7May06- change in scope). Adj Dec09 ADB amt from $10 to $11.56 (ref PCR 8Oct09).,
,Australia,2006,2006,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,0,0,0.35,,0,6.1,,,6.1,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,08/08/2006,12/20/1972,,09/30/1993,,Sovereign,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
,Australia,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0,15,0,,15,7.4,,,7.4,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,,"AUS $10 million (US$7.4, to be confirmed) ref final RRP.",
,Australia,2007,2007,82,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,0,0,27,,0,14.5,,,14.5,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,,
,Australia,2007,2007,95,2372/0095/2988/0337,36353-013,,,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,0,75,0,,75,25.5,,,25.5,,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/28/2007,05/29/2008,,,,Sovereign,,,,,,"DR 2010. para on RCI and on new proj, pp 27. DR 2011. para on FCA, pp 10."
,Australia,2007,2007,96,2373/0096,36353,,,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,0,7,0,,7,8,,,8,,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/28/2007,08/12/2008,,,,Sovereign,,,,,,
,Australia,2007,2007,101,2368/0087/0101/8232,38183,,,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,0,26.61,15.39,,26.61,8,,,8,,DVA,PS,Full Administration,Bilateral,Grant,ADF,3200,Energy,,,,,,,,11/21/2007,06/19/2008,,,,Sovereign,,,,,ADF grant #0087.,"DR 2009. para on loan buy-down from AUS, pp16. para on FCA on JICA, pp 29. DR 2010. para on ""increasingly sophisticated cof arrangements"", pp 12."
,Australia,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,8,,,8,,Non-DVA,,,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,,A$10m.,
,Australia,2008,2008,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,0,0,0,,0,0.47,,,0.47,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,Yes,,04/30/2008,12/20/1972,,09/30/1993,,Sovereign,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
,Australia,2008,2008,104,2406/0104,41123,,,CAM,Road Asset Management,SERD,SEID,01/21/2008,0,6,0,,6,4.8,,,4.8,,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,01/21/2008,12/18/2008,,,,Sovereign,,,,,,
,Australia,2009,2006,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,0,0,0,,0,0.21,,,0.21,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,01/19/2009,12/20/1972,,09/30/1993,,Sovereign,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
,Australia,2009,2009,0049(L),0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,0,0,0,,0,1.87,,,1.87,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2009,,,,,Sovereign,,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
,Australia,2009,2009,143,143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,0,0,23,,0,5.3,,,5.3,,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/02/2009,,,,,Sovereign,,,,,Grant cancelled by AusAID in 24 August 2009,
,Australia,2009,2009,177,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,0,0,15,,0,4.5,,,4.5,,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/12/2009,03/10/2010,,,,Sovereign,,,,,,
,Australia,2009,2009,187,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),SERD,,12/15/2009,0,0,0,,0,21.5,,,21.5,,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,12/15/2009,04/21/2010,,,,Sovereign,,,,,,
,Australia,2009,2009,193,2168/7/13/75/0193,36601-013,,,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,0,0,0,,0,7.28,,,7.28,,DVA,,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,12/17/2009,09/02/2010,,,,Sovereign,,Successful,,,,
,Australia,2009,2009,,2521,43009,,,INO,Public Expenditure Support Facility Program,SERD,SEFM,06/03/2009,1000,0,0,,1000,,1000,,1000,,Non-DVA,,,Bilateral,Loan,OCR,3600,Public Sector Management,,,,,,,,06/03/2009,,,,,Sovereign,,,,,"Ref final RRP (para 56, 58, 64).",
,Australia,2010,2010,209,2642/2643/0209,40354,,,VIE,Health Human Resources Sector Development Program,SERD,,06/22/2010,0,60,0,,60,11,,,11,,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,06/22/2010,01/06/2011,,,,Sovereign,,,,,,"DR 2010. para on health, new project pp 41."
,Australia,2010,2010,210,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0,0,0,,0,0.28,,,0.28,0.28,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2010,,,,,Sovereign,,,,," A$300,000; THIS SUPPL GRANT IS FUNDED JOINTLY BY AUS AND NZ WITH DIFFERENT APPROVAL NUMBERS = NZL GRANT 0207 FOR $358,012 ",
,Australia,2010,2010,226,2686/0226/0425,44304-014,,,PNG,Microfinance Expansion,PARD,,10/28/2010,0,13,0,,13,6,,,6,6,DVA,,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,,,,,,10/28/2010,03/07/2011,,,,Sovereign,,,,,,
,Australia,2010,2010,,243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,0,0,12,,0,30,,,30,,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,12/15/2010,02/25/1976,,07/17/1976,,Sovereign,,,,,,
,Australia,2011,2011,177,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0,4.04,,,4.04,,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,Road Transport,,,,,,06/08/2011,03/10/2010,,,,Sovereign,,,,,AUS-PRIF,
,Australia,2011,2011,259,2785/0259/8274,41509,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,20,,,20,40,,,40,,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,Health Systems,,,,,,09/30/2011,06/18/2012,,,,Sovereign,,,,,,"DR 2011. new proj pp 15, 17."
,Australia,2011,2011,263,2795/0263/0387,43072-013,,,KIR,South Tarawa Sanitation Improvement Sector,PARD,PAUS,10/17/2011,,7.56,,,7.56,13.95,,,13.95,,DVA,,Full Administration,Bilateral,Grant,ADF,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,,,10/17/2011,06/01/2012,,,,Sovereign,,,,,,
