Donor,Cofinancier/ Source,Approval Year,Approval Numbers,Product Approval Number,Proj No,Country Mnemonic,Project Title,Source,TA-Type,CF Mode,Bank,JSF,CF Amnt,Approval Date CF,Approval Date Bank,Date of Agreement Letter,Approval Date Bank.1,Approval Date CF.1,DMC,Department,Division,Donor Type,TA-Type.1,Type of Cofinancing,AgreementType,Source Type,Sector Code,Sector,Sub Sector Code,Sub Sector,Date of Agreement Letter.1,Theme 1,Theme 2,Theme 3,Theme 4,SubTheme 1,SubTheme 2,SubTheme 3,SubTheme 4,Publications,TCR Rating,Validation Rating,TPER Rating
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2009,7272,,4316201,REG,Enhancing Gender Equality Results in South Asia Developing Member Countries,2nd Danish Cooperation Fund for Technical Assistance,,E,,,120,06 Apr 2009,, ,04/28/2009,04/06/2009,REG,SARD,SAOD,Single Donor,RE,E,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Gender Equity,Social Development,,,,,,,,Successful,,
2nd Danish Cooperation Fund for Technical Assistance,2nd Danish Cooperation Fund for Technical Assistance,2012,8229,,46189-001,BHU,Enhancing Development Management for Sustainable and Inclusive Growth,2nd Danish Cooperation Fund for Technical Assistance,,,475,,250, ,,,11/28/2012,,BHU,SARD,SARC,Single Donor,CD,,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Capacity Development,Economic Growth,Social Development,Governance,"Institutional Development,Organizational Development",Promoting macroeconomic stability,Human Development,Economic and Financial governance,,,,
ACEF,ACEF,2009,7444,,4351901,THA,Small-Scale TA- Lamthakong Wind Farm Development Project,ACEF,,E,,,160,21 Oct 2009,, ,12/08/2009,10/21/2009,THA,PSOD,PSIF,Single Donor,S-PP,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
ACEF,ACEF,2009,7445,,4351801,THA,Small-Scale TA-Chaiyapun Wind Farm Development Project,ACEF,,E,,,160,21 Oct 2009,, ,12/08/2009,10/21/2009,THA,PSOD,PSIF,Single Donor,S-PP,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
ACEF,ACEF,2009,7462,,4317701,MON,Ulaanbaatar Clean Air,ACEF,,E,,,500,02 Jul 2009,, ,12/14/2009,07/02/2009,MON,EARD,MNRM,Single Donor,PA,E,C,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,Successful,,
ACEF,ACEF,2010,7394,,4307101,REG,Strengthening the Capacity of Pacific Developing Member Countries to Respond to Climate Change (Phase 1),ACEF,,E,,,1500,19 Feb 2010,,,08/30/2010,02/19/2010,REG,PARD,PAHQ,Single Donor,R-CD,E,C,,3900,Multisector,3900,Multisector,,Economic Growth,Environmental Sustainability,,,Promoting macroeconomic stability,Urban Environmental Improvement,,,,Successful,,
ACEF,ACEF,2010,7510,,4410201,REG,Needs Assessment and Development of the Solar Energy Program,ACEF,,E,,,1000,03 Feb 2010,, ,03/17/2010,02/03/2010,REG,SDCC,SDAS,Single Donor,R-CD,E,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,Private Sector Development,Capacity Development,"Promoting Economic Efficiency and Enabling Business environment,Widening Access To Markets and Economic Opportunities","Natural Resources Conservation,Eco-Efficiency,Global And Regional Transboundary Environmental Issues",Public Private Partnerships,"Client Relations,Network,And Partnership Development",,Successful,,
ACEF,ACEF,2010,7512,,43385-022,REG,Empowering the Poor through Increasing Access to Energy,ACEF,,E,,,2000,10 Feb 2010,, ,04/09/2010,02/10/2010,REG,SDCC,SDAS,Single Donor,R-PP,E,C,,3200,Energy,,,,Economic Growth,Social Development,Environmental Sustainability,,Widening Access To Markets and Economic Opportunities,Human Development,Natural Resources Conservation,,,,,
ACEF,ACEF,2010,7569,,4429501,PHI,Three Wind Farm Projects in Luzon,ACEF,,E,,,630,25 Jun 2010,,,07/30/2010,06/25/2010,PHI,PSOD,PSIF2,Single Donor,PP,E,C,,3200,Energy,3203,Renewable Energy,,Environmental Sustainability,Private Sector Development,,,Urban Environmental Improvement,Private Sector Investment,,,"DR 2010. para on climate change and energy efficiency, pp 22.",Successful,,
ACEF,ACEF,2010,7613,,4423301,REG,Knowledge Platform Development for the Asia Solar Energy Initiative,ACEF,,E,,,2000,14 Jul 2010,,,10/01/2010,07/14/2010,REG,SDCC,SDAS,Single Donor,R-CD,E,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,Private Sector Development,,"Promoting Economic Efficiency and Enabling Business environment,Widening Access To Markets and Economic Opportunities","Natural Resources Conservation,Eco-Efficiency,Global And Regional Transboundary Environmental Issues",Public Private Partnerships,,,,,
ACEF,ACEF,2010,7642,,3929803,BAN,Energy Efficiency Improvement,ACEF,,E,,,1500,15 Sep 2010,,,11/10/2010,09/15/2010,BAN,SARD,SAUD,Single Donor,CD,E,C,,3900,Multisector,3900,Multisector,,Economic Growth,Social Development,Environmental Sustainability,Capacity Development,Developing urban areas,Human Development,Urban Environmental Improvement,Institutional Development,,,,
ACEF,ACEF,2010,7645,,44158-092,REG,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4),ACEF,,J,500,,700,27 Jul 2010,,,11/15/2010,07/27/2010,REG,ERD,EREA,Single Donor,R-RD,J,C,,3900,Multisector,3900,Multisector,,Economic Growth,Environmental Sustainability,,,,,,,,,,
ACEF,ACEF,2010,7679,,4330101,REG,"Promoting Renewable Energy, Clean Fuels, and Energy Efficiency in the Greater Mekong Subregion",ACEF,,J,,,800,15 Sep 2010,,,11/18/2010,09/15/2010,REG,SERD,SEEW,Single Donor,R-CD,J,C,,3200,Energy,3203,Renewable Energy,,Economic Growth,Environmental Sustainability,Regional Cooperation and Integration,Capacity Development,Promoting Economic Efficiency and Enabling Business environment,Global And Regional Transboundary Environmental Issues,Trade and Investments,"Client Relations,Network,And Partnership Development",,,,
ACEF,ACEF,2011,7778,,3941503,SRI,Implementation of Energy Efficiency Policy Initiatives,ACEF,,E,,,1850,15 Sep 2010,,,01/27/2011,09/15/2010,SRI,SARD,SAEN,Single Donor,CD,E,C,,3200,Energy,3211,Electricity Transmission and Distribution,,Economic Growth,,,,Widening Access To Markets and Economic Opportunities,,,,,,,
ACEF,ACEF,2011,7781,,4413201,PHI,Rural Community-Based Renewable Energy Development in Mindanao,ACEF,,E,,,2000,24 Jun 2010,,,02/16/2011,06/24/2010,PHI,SERD,SEEN,Single Donor,PA,E,C,,3200,Energy,3203,Renewable Energy,,Capacity Development,Gender Equity,,,Organizational Development,Gender Equity In (Economic) Opportunities,,,,,,
ACEF,ACEF,2011,7793,,44133-012,INO,Institutional Capacity Building of Indonesia Eximbank,ACEF,,E,,,1100,15 Sep 2010,,,03/25/2011,09/15/2010,INO,SERD,SEPF,Single Donor,CD,E,C,,3300,Finance,3314,Trade Finance,,Economic Growth,Private Sector Development,Capacity Development,Environmental Sustainability,Promoting Economic Efficiency and Enabling Business environment,Private Sector Investment,Institutional Development,Eco-Efficiency,,,,
ACEF,ACEF,2011,7798,,4409901,REG,Promoting Energy Efficiency in the Pacific (Phase 2),ACEF,,J,1000,,1500,04 Apr 2011,,,03/31/2011,04/04/2011,REG,PARD,PATE,Single Donor,R-CD,J,C,,3200,Energy,3214,Energy Efficiency and Conservation,,Economic Growth,Environmental Sustainability,Capacity Development,,Promoting Economic Efficiency and Enabling Business environment,"Eco-Efficiency,Environmental Policy And Legislation",Institutional Development,,,,,
ACEF,ACEF,2011,7802,,4447501,IND,Capacity Building for Commercial Bank Lending for Solar Energy Projects,ACEF,,J,500,,750,04 Mar 2011,,,04/08/2011,03/04/2011,IND,PSOD,PSIF1,Single Donor,CD,J,C,,3200,Energy,3203,Renewable Energy,,Capacity Development,Economic Growth,Environmental Sustainability,Private Sector Development,,,,,,,,
ACEF,ACEF,2011,7842,,45113-001,REG,Enhancing Knowledge on Climate Technology and Financing Mechanisms,ACEF,,E,,,1500,17 Jun 2011,,,08/01/2011,06/17/2011,REG,SDCC,SDAS,Single Donor,R-CD,E,C,,3900,Multisector,3900,Multisector,,Environmental Sustainability,Economic Growth,Private Sector Development,Capacity Development,"Urban Environmental Improvement,Eco-Efficiency,Global And Regional Transboundary Environmental Issues","Widening Access To Markets and Economic Opportunities,Knowledge,Science,And Technological Capacities","Private Sector Investment,Public Private Partnerships","Institutional Development,Organizational Development,Client Relations,Network,And Partnership Development",,,,
ACEF,ACEF,2011,7990,,4448901,REG,Quantum Leap in Wind Power Development in Asia and the Pacific,ACEF,,E,,,2000, ,,,12/09/2011,,REG,SDCC,SDAS,Single Donor,CD,E,C,,3200,Energy,3203,Renewable Energy,,,,,,,,,,,,,
ACEF,ACEF,2011,8018,,45134-004,REG,Establishing a Pilot Center to Facilitate Climate Technology Investment in Asia and the Pacific - Promotion of Investment in Climate Technology Products through Venture Capital Funds (Subproject 1),ACEF,,J,842,,1500, ,,,12/20/2011,,REG,SDCC,RSDD-CC,Single Donor,R-PA,J,C,,3900,Multisector,3900,Multisector,,,,,,,,,,,,,
ACEF,ACEF,2012,8105,,4513413,REG,Establishing a Pilot Center to Facilitate Climate Technology Investments in Asia and the Pacific - Demonstration of an Assisted Broker Model for Transfer of Low-Carbon technologies to Asia and the Pacific (Subproject 2),ACEF,,,,,2000, ,,,06/15/2012,,REG,SDCC,SDAS,Single Donor,R-CD,,C,,3900,Multisector,3900,Multisector,,Environmental Sustainability,Economic Growth,Private Sector Development,Capacity Development,"Urban Environmental Improvement,Eco-Efficiency,Global And Regional Transboundary Environmental Issues","Widening Access To Markets and Economic Opportunities,Knowledge,Science,And Technological Capacities","Private Sector Investment,Public Private Partnerships","Institutional Development,Organizational Development,Client Relations,Network,And Partnership Development",,,,
ACEF,ACEF,2012,8119,,4406802,REG,Economics of Climate Change in Central and West Asia,ACEF,,,,,2000,17 Jun 2011,,,07/18/2012,06/17/2011,REG,CWRD,CWER,Single Donor,R-RD,,C,,3900,Multisector,3900,Multisector,,Environmental Sustainability,,,,"Natural Resources Conservation,Global And Regional Transboundary Environmental Issues",,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.",,,
ACEF,ACEF,2015,8897,,48409-001,REG,Climate-Friendly Agribusiness Value Chains Sector,ACEF,,J,,,1500, ,,,05/12/2015,,REG,SERD,SEER,Single Donor,PP,J,C,,3000,"Agriculture, Natural Resources and Rural Development","3012,3014,3022,3023","Land-Based Natural Resources Management,Agricultural Policy, Institutional and Capacity Development,Agricultural Production,Agro-Industry, Marketing, and Trade",,,,,,,,,,,,,
ACEF,ACEF,2015,8937,,48222-001,IND,Capacity Building of the Indian Renewable Energy Development Agency,ACEF,,E,,,750,09 Jun 2015,,,08/06/2015,06/09/2015,IND,SARD,SAPF,Single Donor,CD,E,C,,3300,Finance,3312,Infrastructure Finance and Investment Funds,,,,,,,,,,,,,
ACEF,ACEF,2015,8979,,49214-001,IND,Solar Park Development and Transmission Sector Project,ACEF,,E,,,1000,04 Sep 2015,,,10/23/2015,09/04/2015,IND,SARD,SAEN,Single Donor,PP,E,C,,3200,Energy,,,,,,,,,,,,,,,
ACEF,ACEF,2016,9082,,49203,INO,Eastern Indonesia Sustainable Energy Access Sector,ACEF,,E,,,1400,06 Nov 2015,,,03/02/2016,11/06/2015,INO,SERD,SEEN,Single Donor,PP,E,C,,3200,Energy,,,,,,,,,,,,,,,
ADBI,ADBI,1998,5764,,,REG,Enhancing Municipal Service Delivery Capability in Selected DMCs,ADBI,,E,,,50,27 Oct 1998,, ,10/29/1998,10/27/1998,REG,SDCC,RSGR,ADB,RE,E,PS,,3600,Public Sector Management,3604,Decentralization,,,,,,,,,,,GS,,
ADBI,ADBI,2007,6278,,3903501,REG,Innovative Info & Comm Technology in Educ & Its Potential for Reducing Poverty in Asia & Pacific,ADBI,,E,,,120, ,, ,08/30/2007,,REG,SDCC,RSCG,ADB,RE,E,PS,,3100,Education,3101,Pre-Primary and Basic Education,,Social Development,Regional Cooperation and Integration,,,,,,,,HS,,
AFD,AFD,2006,6304,,3959401,REG,GMS Power Trade Coordination & Development,AFD,,E,,,1200,28 Dec 2005,,08 May 2006,01/16/2006,12/28/2005,REG,SERD,SEEW,Single Donor,RE,E,PS,,3200,Energy,3215,Energy Sector Development,,Regional Cooperation and Integration,,,,,,,,,Successful,,
AFD,AFD,2009,6407,,3955801,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management III,AFD,,E,,,900,30 Apr 2009,, ,02/10/2009,04/30/2009,REG,SERD,SEOD,Single Donor,CD,E,PS,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Regional Cooperation and Integration,Governance,,,,,,,,Highly Successful,,
AFD,AFD,2010,7764,,4329301,REG,Ensuring Sustainability of Greater Mekong Subregion Regional Power Development,AFD,,E,,,1350,23 Dec 2009,,,11/12/2010,12/23/2009,REG,SERD,SEEW,Single Donor,R-CD,E,PS,,3200,Energy,3211,Electricity Transmission and Distribution,,Economic Growth,Environmental Sustainability,Regional Cooperation and Integration,Capacity Development,,Global And Regional Transboundary Environmental Issues,,,,,,
AFD,AFD,2015,9003,,49208-001,REG,Integrated Resource Planning with Strategic Environmental Assessment for Sustainable Power Sector Development in the Greater Mekong Subregion,AFD,,E,,,1100, ,,,11/27/2015,,REG,SERD,SEEN,Single Donor,CD,E,PS,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,,,,,,,,,,,,
AFD,AFD,2016,8826,,48323-001,INO,Sustainable and Inclusive Energy Program (Supplementary),AFD,,E,,,537.38, ,,,01/28/2016,,INO,SERD,SEEN,Single Donor,PA,E,PS,,3200,Energy,,,,,,,,,,,,,,,
AITF,AITF,2013,8328,,46347-001,AFG,Supporting the Inter-Ministerial Commission for Energy,AITF,,E,,,1500, ,,,02/22/2013,,AFG,CWRD,CWEN,Multidonor,PA,E,C,,3200,Energy,3215,Energy Sector Development,,Capacity Development,Economic Growth,Regional Cooperation and Integration,Private Sector Development,Institutional Development,Promoting Economic Efficiency and Enabling Business environment,Crossborder Infrastructure,Policy reforms,,,,
AITF,AITF,2013,8401,,47018-001,AFG,Gas Development Master Plan,AITF,,J,700,,800, ,,,07/11/2013,,AFG,CWRD,CWEN,Multidonor,PA,J,C,,3200,Energy,3215,Energy Sector Development,,Capacity Development,Economic Growth,Private Sector Development,Regional Cooperation and Integration,Institutional Development,Promoting Economic Efficiency and Enabling Business environment,Policy reforms,Crossborder Infrastructure,,,,
AITF,AITF,2014,8665,,48107-001,REG,Improving the Capacity and Integrity of Procurement Processes in Central and West Asia,AITF,,J,,,90,21 Oct 2014,,,10/28/2014,10/21/2014,REG,CWRD,CWOD-PSS,Multidonor,CD,J,C,,3600,Public Sector Management,3601,Public Administration,,,,,,,,,,,,,
AITF,AITF,2015,8401,,47018-001,AFG,Gas Development Master Plan (Supplementary),AITF,,J,,,200,27 May 2015,,,06/08/2015,05/27/2015,AFG,CWRD,CWEN,Multidonor,PA,J,C,,3200,Energy,3215,Energy Sector Development and Institutional Reform,,Capacity Development,Economic Growth,Private Sector Development,Regional Cooperation and Integration,Institutional Development,Promoting Economic Efficiency and Enabling Business environment,Policy reforms,Crossborder Infrastructure,,,,
AITF,AITF,2015,8955,,48258-001,AFG,Building Resilience to Fragility in ADB-Supported Projects,AITF,,J,50,,1450,19 May 2015,,,09/14/2015,05/19/2015,AFG,CWRD,AFRM,Multidonor,CD,J,C,,3600,Public Sector Management,3601,Public Administration,,,,,,,,,,,,,
AITF,AITF,2015,8969,,48440-002,AFG,Preparing the Kabul Managed Aquifer Recharge,AITF,,E,,,7600, ,,,10/01/2015,,AFG,CWRD,CWER,Multidonor,PP,E,C,,3000,"Agriculture, Natural Resources and Rural Development",3012,Land-Based Natural Resources Management,,,,,,,,,,,,,
AUS-ADB South Asia Development Partnership Facility,AUS-ADB South Asia Development Partnership Facility,2006,6337,,40124-012,REG,Development Partnership Program for South Asia,AUS-ADB South Asia Development Partnership Facility,,J,,,8500, ,, ,08/18/2006,,REG,SARD,NRM,Single Donor,R-CD,J,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,Economic Growth,Regional Cooperation and Integration,Governance,,,,,,,,,
AUS-ADB South Asia Development Partnership Facility,AUS-ADB South Asia Development Partnership Facility,2012,6337,,40124-012,REG,Development Partnership Program for South Asia (Supplementary),AUS-ADB South Asia Development Partnership Facility,,,,,3155, ,,,06/29/2012,,REG,SARD,SARC,Single Donor,R-CD,,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
AUS-ADB South Asia Development Partnership Facility,AUS-ADB South Asia Development Partnership Facility,2014,6337,,40124-012,REG,Development Partnership Program for South Asia (Supplementary),AUS-ADB South Asia Development Partnership Facility,,J,,,453,27 Mar 2014,,,04/10/2014,03/27/2014,REG,SARD,SARC,Single Donor,R-CD,J,C,,3600,Public Sector Management,3603,Economic and Public Affairs Management,,,,,,,,,,,,,
AUS-PRIF,AUS-PRIF,2009,7301,,4121301,SAM,"Water Supply, Sanitation and Drainage Project",AUS-PRIF,,J,600,,500,09 Apr 2009,, ,06/23/2009,04/09/2009,SAM,PARD,PAHQ,Single Donor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Capacity Development,Environmental Sustainability,Social Development,,,,,,,,,
AUS-PRIF,AUS-PRIF,2009,7335,,4117107,SOL,Transport Sector Development Project,AUS-PRIF,,J,400,,250,05 Jun 2009,, ,08/21/2009,06/05/2009,SOL,PARD,PAHQ,Single Donor,PP,J,C,,3700,Transport and ICT,3701,Road Transport,,Capacity Development,Economic growth,,,,,,,,,,
AUS-PRIF,AUS-PRIF,2009,7345,,42391-012,VAN,Port Vila Urban Development Project,AUS-PRIF,,J,600,,750,05 Jun 2009,,05 Jun 2009,09/10/2009,06/05/2009,VAN,PARD,PAHQ,Single Donor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Capacity Development,Economic growth,Environmental Sustainability,Social Development,,,,,,,,
AUS-PRIF,AUS-PRIF,2009,7359,,43072-012,KIR,Tarawa Sanitation Improvement Project,AUS-PRIF,,J,350,,500,08 Apr 2009,, ,10/01/2009,04/08/2009,KIR,PARD,PAUS,Single Donor,PP,J,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Capacity Development,Environmental Sustainability,Social Development,,,,,,,,,
AUS-PRIF,AUS-PRIF,2010,7359,,43072-012,KIR,Tarawa Sanitation Improvement Project,AUS-PRIF,,E,,,200,11 Feb 2010,,,12/23/2010,02/11/2010,KIR,PARD,PAUS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Capacity Development,Environmental Sustainability,Social Development,,,,,,,,,
AUS-PRIF,AUS-PRIF,2011,7359,,43072-012,KIR,Tarawa Sanitation Improvement (Supplementary),AUS-PRIF,,E,,,125,11 Feb 2010,,,02/14/2011,02/11/2010,KIR,PARD,PAUS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Environmental Sustainability,Capacity Development,,Human Development,Natural Resources Conservation,Institutional Development,,,,,
AUS-PRIF,AUS-PRIF,2011,7798,,4409901,REG,Promoting Energy Efficiency in the Pacific (Phase 2),AUS-PRIF,,J,1000,,1000,23 Feb 2011,,,03/31/2011,02/23/2011,REG,PARD,PATE,Single Donor,R-CD,J,C,,3200,Energy,3214,Energy Efficiency and Conservation,,Economic Growth,Environmental Sustainability,Capacity Development,,Promoting Economic Efficiency and Enabling Business environment,"Eco-Efficiency,Environmental Policy And Legislation",Institutional Development,,,,,
AUS-PRIF,AUS-PRIF,2012,6498,,42384-012,REG,Knowledge and Innovation Support for ADB's Water Financing Program (4th Supplementary),AUS-PRIF,,,,,444.88, ,,,06/07/2012,,REG,SDCC,SDAS,Single Donor,R-CD,,C,,3000,Agriculture and Natural Resources,3013,Water-Based Natural Resources Management,,,,,,,,,,,,,
AUS-PRIF,AUS-PRIF,2012,7345,,42391-012,VAN,Port Vila Urban Development (2nd Supplementary),AUS-PRIF,,E,,,360,11 Jan 2012,,,01/11/2012,01/11/2012,VAN,PARD,PAUS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3813,Urban Sector Development,,Economic Growth,Social Development,Environmental Sustainability,Capacity Development,Widening Access To Markets and Economic Opportunities,Disaster Risk Management,Urban Environmental Improvement,Institutional Development,,,,
AUS-PRIF,AUS-PRIF,2012,7359,,43072-012,KIR,Tarawa Sanitation Improvement (3rd Supplementary),AUS-PRIF,,E,,,85,19 Jan 2012,,,02/02/2012,01/19/2012,KIR,PARD,PAUS,Single Donor,PP,E,C,,3800,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,,Social Development,Environmental Sustainability,Capacity Development,,,,,,,,,
Australia,,1991,5463,,,REG,Regional Study on Global Environmental Issues,AUS,,J,600,,390,02 Nov 1990,,19 Jul 1993,10/02/1991,11/02/1990,REG,OESD,ENVD,Single Donor,RE,J,PS,,3000,Agriculture and Natural Resources,3012,Land-Based Natural Resources Management,,,,,,,,,,,,,
Australia,,1994,2139,,2834501,SAM,Agriculture Sector Strategy Study (ACFF),AUS,,E,,,75,11 Jul 1994,,08 Oct 1993,08/18/1994,07/11/1994,SAM,OPO,SPRM1,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Australia,,1994,2172,,2841201,TON,Economic Management Study (ACFF),AUS,,E,,,74,12 Sep 1994,,08 Oct 1993,09/28/1994,09/12/1994,TON,OPO,SPRM1,Single Donor,AD,E,C,,3600,Public Sector Management,,,,,,,,,,,,,,,
Australia,,1995,2360,,2926501,KIR,Marine Export Development (ACFF),AUS,,E,,,100,10 Apr 1995,,08 Oct 1993,07/13/1995,04/10/1995,KIR,OPO,POHQ,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Australia,,1995,2387,,2932201,FIJ,Agriculture Sector Study (ACFF),AUS,,E,,,100,10 Apr 1995,,08 Oct 1993,08/31/1995,04/10/1995,FIJ,OPO,POHQ,Single Donor,AD,E,C,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
Australia,,1995,5645,,2957001,REG,Meeting of Telecommunications Officials - Greater Mekong Subregion,AUS,,E,,,30,14 Sep 1995,, ,10/02/1995,09/14/1995,REG,IWD,IWTC,Single Donor,RE,E,C,,3700,Transport and ICT,3706,ICT,,,,,,,,,,,,,
Australia,,1996,2617,,3011901,NAU,National Reform Program (ACFF),AUS,,E,,,100,24 Apr 1996,,08 Oct 1993,07/25/1996,04/24/1996,NAU,OPO,POHQ,Single Donor,AD,E,C,,3600,Public Sector Management,,,,,,,,,,,,,,,
Australia,,1997,2851,,3156801,NEP,Third Livestock Development ,AUS,,E,,,750,25 Jun 1997,, ,08/18/1997,06/25/1997,NEP,SARD,NRM,Single Donor,PP,E,C,,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,
