Product Approval Number,Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
328,0327-0328,AITF,AITF,2012,2012,,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,,,,,0,60,,,60,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
328,0327-0328,AITF,AITF,2013,2013,,0327-0328,44482-023,63,,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,,,,,0,27,,,27,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,06/20/2013,,,,,Sovereign,,,,,"DR 2012. line in CWRD section on New Joint Initiatives, pp 10.para for AITF pp49-50."
375,374,AITF,AITF,2013,2013,,0374/0375,46392-001,,,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,,,,,0,117,,,117,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,11/25/2013,,,,,Sovereign,,,,from $57 million to $117 million as additional commitment of $60 million from USAID to AITF was received ref: new coding form issued 10 Dec 2013,
412,411,AITF,AITF,2014,2014,,0411/0412,48326-001,,,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,,,,,0,16.66,,,16.66,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,Irrigation,,,,No,,10/16/2014,,,,,Sovereign,,,,,
465,464,AITF,AITF,2015,2015,,0464/0465,47282-003,,,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,,,,,0,75,,,75,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3200,Energy,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
42,42,Australia,Australia,2006,2006,,42,,,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,,,,,0,3.5,,,3.5,DVA,PS,Full Administration,Bilateral,Grant,ADF Grant,3400,Health and Social Protection,,,,,,,,04/25/2006,03/09/1971,,06/20/1974,,Sovereign,,,,ADB admin grant,"DR 2009. para on project-specific cofinancing, pp 9. Case Study: Combating HIV/AIDS in Papua New Guinea, pp 34-35. DR 2011. Case Study Brief on grant cof, pp 16."
0049(L),49,Australia,Australia,2006,2006,,0049/50,39581-012,,,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,,,,,0,6.1,,,6.1,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,08/08/2006,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049(L),49,Australia,Australia,2009,2006,,0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,,,,,0,0.21,,,0.21,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,01/19/2009,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049(L),49,Australia,Australia,2009,2009,,0049/50,39581-012,,,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,,,,,0,1.87,,,1.87,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2009,,,,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
0049(L),49,Australia,"Australia,Australia",2012,2012,,0049/50,39581-012,,,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0,0.74,,,0.74,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,Yes,,11/27/2012,,,,,Sovereign,Successful,,,"$743,331.01 actual amount","DR 2011. Case Study Brief on grant cof, pp 16."
0049(L),49,Australia,Australia,2008,2008,,0049/50,39581-012,,,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,,,,,0,0.47,,,0.47,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,Yes,,04/30/2008,12/20/1972,,09/30/1993,,Sovereign,Successful,,,,"DR 2011. Case Study Brief on grant cof, pp 16."
82,82,Australia,Australia,2007,2007,,0082/8241,,,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0,14.5,,,14.5,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,09/27/2007,02/25/1972,,07/09/1975,,Sovereign,,,,,
292,127,Australia,Australia,2012,2012,,0127/0292/0293,40263-033,,,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0,4.3,,,4.3,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,Yes,,05/23/2012,,,,,Sovereign,,,,A$4 million,"DR 2012. para in PARD section on New Joint Initiatives, pp 16."
143,143,Australia,Australia,2009,2009,,143,,,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0,5.3,,,5.3,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,02/02/2009,,,,,Sovereign,,,,Grant cancelled by AusAID in 24 August 2009,
177,175,AUS-PRIF,Australia,2009,2009,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0,4.5,,,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,11/12/2009,03/10/2010,,,,Sovereign,,,,,
177,175,AUS-PRIF,Australia,2011,2011,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0,4.04,,,4.04,DVA,CFA/TF,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,Road Transport,,,,,,06/08/2011,03/10/2010,,,,Sovereign,,,,AUS-PRIF,
210,175,Australia,Australia,2012,2012,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0,2.14,,,2.14,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,,,,,Yes,,03/15/2012,,,,,Sovereign,,,,,
210,175,Australia,Australia,2010,2010,,0175/0176/0177/0207/0210,43381,,,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,,,,,0,0.28,,,0.28,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3700,Transport and ICT,,,,,,,,05/20/2010,,,,,Sovereign,,,," A$300,000; THIS SUPPL GRANT IS FUNDED JOINTLY BY AUS AND NZ WITH DIFFERENT APPROVAL NUMBERS = NZL GRANT 0207 FOR $358,012 ",
336,336,Australia,Australia,2013,2013,,336,45303-001,,,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0,6.11,,,6.11,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,No,,01/15/2013,,,,,Sovereign,,,,"from AusAID; $4.11 million is denominated in US$, A$2 million assumes exchange rate of A$1 = US$1",
336,336,Australia,"Australia,Australia",2015,2015,,336,45303-001,,,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0,0.36,,,0.36,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Electricity Transmission and Distribution,,,,Yes,,08/07/2015,,,,,Sovereign,,,,"$363,645 actual grant mount",
348,347,Australia,Australia,2013,2013,,0347/0348/0444/0445/0446,43452-023,,,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,,,0,4.5,,,4.5,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,Renewable Energy,,,,No,,06/27/2013,,,,,Sovereign,,,,,
443,414,Australia,Australia,2015,2015,,0414/0424/0443,46455-004,,,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0,4.74,,,4.74,DVA,PS,Full Administration,Bilateral,Grant,,3200,Energy,,,,,,Yes,,10/16/2015,,,,,Sovereign,,,,,
439,438,Australia,Australia,2015,2015,,0438/0439,46346-002,,,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,,,0,4,,,4,DVA,PS,Full Administration,Bilateral,Grant,,3800,Water and Other Urban Infrastructure and Services,,"Urban Sewerage, Urban Water Supply",07/09/2015,,,No,,09/28/2015,,,,,Sovereign,,,,,
,473,Australia,"Australia,Australia",2016,2016,,0473/0474,48478,,,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,,,,,0,1.8,,,1.8,DVA,PS,Full Administration,Bilateral,Grant,,3600,Public Sector Management,,,05/25/2015,,,No,,03/21/2016,,,,Approved,Sovereign,,,,,
3398,1697,Australia,Australia,1999,1999,,1697/3398(L),28338,,,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,,,,,0,0.86,,,0.86,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,09/21/1999,06/30/2000,,08/04/2006,,Sovereign,S,,,,
3632(L),1706,Australia,Australia,2001,2001,,1706/3632(L),29637,,,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,,,,,0,5.49,,,5.49,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,02/20/2001,06/26/2000,,09/25/2008,,Sovereign,Partly successful,,,Adj: in Dec01 previous amt is $2.49 now  $5.490. ADB admin 3632(L).,
3520(L),1768,Australia,Australia,2000,2000,,1768/3520(L),32472,,,PNG,Microfinance and Employment,PARD,,10/19/2000,,,,,0,0.91,,,0.91,DVA,,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,,,,,,10/19/2000,09/20/2001,,11/18/2010,,Sovereign,Succesful,,,,
43,1823,Australia,Australia,2006,2006,,1823/G0043/G0044,34513,,,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,,,,,0,2,,,2,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,02/08/2006,03/19/2001,,06/23/2008,,Sovereign,Succesful,Successful,,Anchor loan app in 2000. Grant 0043 - addl grant cf of $2.0 m from Australia (7May06- change in scope). Adj Dec09 ADB amt from $10 to $11.56 (ref PCR 8Oct09).,
193,2168,Australia,Australia,2009,2009,,2168/7/13/75/0193,36601-013,,,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,,,,,0,7.28,,,7.28,DVA,,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,12/17/2009,09/02/2010,,,,Sovereign,Successful,,,,
187,2288,Australia,Australia,2012,2012,,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,,,,,0,0.96,,,0.96,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Rail Transport,,,,Yes,,01/12/2012,09/10/1974,,06/30/1979,,Sovereign,,,,,
187,2288,Australia,Australia,2009,2009,,2288/2602/0187,37269-023,,,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),SERD,,12/15/2009,,,,,0,21.5,,,21.5,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,12/15/2009,04/21/2010,,,,Sovereign,,,,,
101,2368,Australia,Australia,2007,2007,,2368/0087/0101/8232,38183,,,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,,,,,0,8,,,8,DVA,PS,Full Administration,Bilateral,Grant,ADF,3200,Energy,,,,,,,,11/21/2007,06/19/2008,,,,Sovereign,,,,ADF grant #0087.,"DR 2009. para on loan buy-down from AUS, pp16. para on FCA on JICA, pp 29. DR 2010. para on ""increasingly sophisticated cof arrangements"", pp 12."
337,2372,Australia,Australia,2013,2013,,2372/0095/2988/0337,36353-013,,,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,SERD,SETC,02/11/2013,,,,,0,12.43,,,12.43,DVA,PS,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,Road Transport,,,,,,02/11/2013,,,,Under Administration,Sovereign,,,,,"DR 2010. para on RCI and on new proj, pp 27. DR 2011. para on FCA, pp 10."
95,2372,Australia,Australia,2007,2007,,2372/0095/2988/0337,36353-013,,,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,,,,,0,25.5,,,25.5,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/28/2007,05/29/2008,,,,Sovereign,,,,,"DR 2010. para on RCI and on new proj, pp 27. DR 2011. para on FCA, pp 10."
96,2373,Australia,Australia,2007,2007,,2373/0096,36353,,,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,,,,,0,8,,,8,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,11/28/2007,08/12/2008,,,,Sovereign,,,,,
104,2406,Australia,Australia,2008,2008,,2406/0104,41123,,,CAM,Road Asset Management,SERD,SEID,01/21/2008,,,,,0,4.8,,,4.8,DVA,,Full Administration,Bilateral,Grant,ADF,3700,Transport and ICT,,,,,,,,01/21/2008,12/18/2008,,,,Sovereign,,,,,
209,2642,Australia,Australia,2010,2010,,2642/2643/0209,40354,,,VIE,Health Human Resources Sector Development Program,SERD,,06/22/2010,,,,,0,11,,,11,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,06/22/2010,01/06/2011,,,,Sovereign,,,,,"DR 2010. para on health, new project pp 41."
226,2686,Australia,Australia,2010,2010,,2686/0226/0425,44304-014,,,PNG,Microfinance Expansion,PARD,,10/28/2010,,,,,0,6,,,6,DVA,,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,,,,,,10/28/2010,03/07/2011,,,,Sovereign,,,,,
425,2686,Australia,"Australia,Australia",2015,2015,,2686/0226/0425,44304-014,,,PNG,Microfinance Expansion ﾗ Additional Financing,PARD,PLCO,02/09/2015,,,,,0,2.85,,,2.85,DVA,PS,Full Administration,Bilateral,Grant,ADF,3300,Finance,,,11/26/2014,,,Yes,,02/09/2015,,,,,Sovereign,,,,,
259,2785,Australia,Australia,2011,2011,,2785/0259/8274,41509,,,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,,,,0,40,,,40,DVA,,Full Administration,Bilateral,Grant,ADF,3400,Health and Social Protection,,Health Systems,,,,,,09/30/2011,06/18/2012,,,,Sovereign,,,,,"DR 2011. new proj pp 15, 17."
263,2795,Australia,Australia,2011,2011,,2795/0263/0387,43072-013,,,KIR,South Tarawa Sanitation Improvement Sector,PARD,PAUS,10/17/2011,,,,,0,13.95,,,13.95,DVA,,Full Administration,Bilateral,Grant,ADF,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,,,10/17/2011,06/01/2012,,,,Sovereign,,,,,
276,2832,AUS-PRIF,Australia,2011,2011,,2832/G0275-76,42391,,,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,,,,0,4.5,,,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Urban Sector Development,,,,,,12/13/2011,,,,,Sovereign,,,,"was recorded as $5.40, should be 5,389k.  adjusted in 20 Feb 2012, decrease of 889k",DR 2011. new proj pp 15.
275,2832,Australia,Australia,2011,2011,,2832/G0275-76,42391,,,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,,,,0,26.5,,,26.5,DVA,,Full Administration,Bilateral,Grant,,3800,Water and Other Municipal Infrastructure and Services,,Urban Sector Development,,,,,,12/13/2011,,,,,Sovereign,,,,"PIGGYBACKED TO L2832; RELATED TO G0276/AUS; EARLIER APPROVED AMT IS $25.611M - MINOR CHANGE IN SCOPE(REVISED COFIN ARRANGEMENTS DTD 20FEB12) INCREASED THIS AMT BY $889,000 ",DR 2011. new proj pp 15.
285,2852,Australia,Australia,2012,2012,,2852/3125/0285,46009-003,,,CAM,Flood Damage Emergency Reconstruction,SERD,CARM,03/27/2012,,,,,0,5.25,,,5.25,DVA,PS,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,,,,No,,03/27/2012,,,,,Sovereign,,,,,
285,2852,Australia,"Australia,Australia",2014,2014,,2852/3125/0285,46009-003,,,CAM,Flood Damage Emergency Reconstruction ﾖ Additional Financing,SERD,CARM,04/11/2014,,,,,0,6.68,,,6.68,DVA,PS,Full Administration,Bilateral,Grant,,3000,"Agriculture, Natural Resources and Rural Development",,,,,,Yes,,04/11/2014,,,,,Sovereign,,,,,
317,2936-2937,Australia,"Australia,Australia",2012,2012,,2936-2937/G0316-0317,40190-023,,,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,11/06/2012,,,,,0,5.89,,,5.89,DVA,,Full Administration,Bilateral,Grant,,3000,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,11/06/2012,,,,Approved,Sovereign,,,,Through AusAID 5.8874,
353,3013,Australia,Australia,2013,2013,,3013/0353,40255-033,,,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,,,,,0,134,,,134,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport and ICT,,Road Transport,,,,No,,08/05/2013,,,,,Sovereign,,,,,
466,3151,Australia,"Australia,Australia",2015,2015,,3151/401-2/466-7/8299-300,42334-014,,,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,11.85,,,11.85,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,,,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,
402,3151,Australia,"Australia,Australia",2014,2014,,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,,,,0,6.67,,,6.67,DVA,PS,Full Administration,Bilateral,Grant,,3700,Transport,,Road Transport,05/16/2014,,,No,,08/08/2014,,,,,Sovereign,,,,A$7.6 million,
265,G0264-0265,Australia,Australia,2011,2011,,G0264-0265,4239402,,,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,,,0,6.44,,,6.44,DVA,,Full Administration,Bilateral,Grant,ADF Grant,3800,Water and Other Municipal Infrastructure and Services,,Water Supply and Sanitation,,,,No,,10/17/2011,04/10/2012,,,,Sovereign,,,,,
289,G0272,Australia,Australia,2012,2012,,G0272/0289,35174-082,,,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0,3.47,,,3.47,DVA,PS,Full Administration,Bilateral,Grant,,3100,Education,,,11/03/2011,,,Yes,,03/28/2012,,,,,Sovereign,,,,$3.465,
206,118,CIDA,Canada,2010,2010,,0118/0206,,,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,,,,,0,8.8,,,8.8,DVA,,Full Administration,Bilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,04/12/2010,,,,,Sovereign,Successful,,, THIS GRANT IS SUPPL TO G-0118 ,DR 2010. para on governance pp 41.
4209(L),2015,CIDA,Canada,2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0,20,,,20,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,04/19/2004,,07/19/2012,,Sovereign,Successful,,,"ADB admin. CAD30,600,000","DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
4209(L),2015,CIDA,Canada,2009,2009,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Supplementary),SARD,SASS,01/30/2009,,,,,0,30,,,30,DVA,,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,01/30/2009,04/19/2004,,07/19/2012,,Sovereign,Successful,,, PIGGYBACKED TO LOAN 2015 APPROVED 3 NOV 2003. ,"DR 2009, Case Study: Improving Primary Education in Bangladesh, pp 14-15"
4559,2101,CIDA,Canada,2004,2004,,2101/4559 (L),26061,,,BAN,Teaching Quality Improvement for Secondary Education,SARD,SASS,11/09/2004,,,,,0,18,,,18,DVA,PS,Full Administration,Bilateral,Grant,ADF,3100,Education,,,,,,,,11/09/2004,04/28/2005,,,,Sovereign,,,,Ref final RRP (Joint grant cf is subject to final confirmation by CIDA.  ADB-administered grant fund.,
3,2163,CIDA,Canada,2005,2005,,2163/2164/0003,34152,,,INO,Community Water Services and Health,SERD,SESS,04/07/2005,,,,,0,4,,,4,DVA,PS,Full Administration,Bilateral,Grant,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,04/07/2005,04/12/2006,,,,Sovereign,Partly Successful,,,Aceh and Nias-North Sumatra emergency component. From multisector to water supply,
52,2227,CIDA,Canada,2006,2006,,2227/0033/0052,36252,,,AFG,Western Basin Water Resources Management,CWRD,,08/25/2006,,,,,0,8.35,,,8.35,DVA,,Full Administration,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,08/25/2006,05/31/2006,,,,Sovereign,,,,,"DR 2012. line in CWRD section, pp 8."
110,2409,CIDA,Canada,2008,2008,,2409/0110/0146/8233/8239,41657,,,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,,,,,0,10,,,10,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900,Multisector,3900,,,,,,,01/31/2008,02/19/2008,,04/20/2011,,Sovereign,Highly Successful,,,Grant #0110. Grant Agreement signed (28Mar08).,"DR 2009. para on NET cof, pp. 36."
343,2928,CIDA,Canada,2013,2013,,2928/0343,42099-013,,,INO,Polytechnic Education Development,SERD,IRM,04/12/2013,,,,,0,4.95,,,4.95,DVA,PS,Full Administration,Bilateral,Grant,,3100,Education,,Tertiary and Higher Education,03/07/2013,,,,,04/12/2013,,,,,Sovereign,,,,,
