,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
945,2007,6325,REG,Promoting Effective Water Mgt Policies and Practices 5 ,RETA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,"1,200.00",CFWS,,16-Apr-2007
946,2007,6384,REG,SSTA for Establishing a Renewable Energy & GHG Mitigation Investment Fund,RETA,E,C,Energy,Bilateral,Single Donor,150.00,Canada-Climate,,15-Jan-2007
947,2007,6386,REG,Cap Bldg for Sustainable Investment & Governance in the Pensions Industry,RETA,E,C,Finance,Bilateral,Single Donor,210.00,Swiss Cooperation Fund for Consulting Services,,06-Mar-2007
948,2007,6389,REG,Central Asia Reg Economic Coop Members Electricity Regulators Forum,RETA,E,C,Energy,Bilateral,Single Donor,500.00,PRC-PR Fund,,26-Mar-2007
949,2007,6390,REG,Transboundary Animal Disease Control for Poverty Redn in the GMS,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,PRC-PR Fund,,27-Mar-2007
950,2007,6408,REG,Support for CIQS Harmonization in BIMP EAGA,RETA,E,C,Industry and Trade,Multi-Donor Trust Fund,Multidonor,600.00,RTFSI,,20-Aug-2007
951,2007,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",RETA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,27-Aug-2007
952,2007,6410,REG,Capacity Devt for Monitoring & Evaluation,RETA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,03-Sep-2007
953,2007,6412,REG,Public Policy Training Program 2007-2010,RETA,E,C,Public Sector Management,Bilateral,Single Donor,"17,800.00",JFPPT,,13-Sep-2007
954,2007,6413,REG,Strengthening Human Resource Devt Cooperation in the GMS,RETA,E,C,Multisector,Bilateral,Single Donor,22.00,PRC-PR Fund,,07-Nov-2007
955,2007,6419,REG,SSTA Promoting Environmental Compliance & Enforcement in Asia,PPTA,E,C,Public Sector Management,Bilateral,Single Donor,150.00,EAKPF,19-Oct-2007,16-Nov-2007
956,2007,6420,REG,Promoting Climate Change Adaptation in Asia and the Pacific,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"2,800.00",UKG,,21-Nov-2007
957,2007,6422,REG,Mainstreaming Environment for Poverty Reduction,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,850.00",PEF,,29-Nov-2007
958,2007,6426,REG,Knowledge-Sharing Program Using Good Asian Practices in Innovation and Devt,RETA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,09-Jul-2007,11-Dec-2007
959,2007,6427,REG,A Regional Review of the Economics of Climate Change in Southeast Asia,RETA,E,PS,Public Sector Management,Bilateral,Single Donor,904.20,UKG,,10-Dec-2007
960,2007,6431,REG,Promoting Rural Women's Entrepreneurship in Transition Economies,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,600.00,GDCF,,12-Dec-2007
961,2007,6432,REG,Private Sector-led Integration and Free Trade Agreements in South Asia,RETA,E,C,Industry and Trade,Special Fund,ADB,750.00,RCIF,,11-Dec-2007
962,2007,6433,REG,SASEC Regional Information & Communication Technology Research & Training Network ,RETA,E,C,Transport and ICT,Special Fund,ADB,"4,400.00",RCIF,,17-Dec-2007
963,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,C,Energy,Bilateral,Single Donor,300.00,SWI,,18-Dec-2007
964,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,725.00,LUX,,18-Dec-2007
965,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,000.00",AUT,,18-Dec-2007
966,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,000.00",SPA,,18-Dec-2007
967,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,015.00",FIN,,18-Dec-2007
968,2007,6440,REG,Facilitating Regional Power Trading & Environmentally Sustainable Devt of Electricity Infrastructure in GMS,RETA,E,PS,Energy,Bilateral,Single Donor,"5,000.00",SWE,,19-Dec-2007
969,2007,6441,REG,Efficiency Improvement & Connectivity in Archipelagic Southeast Asia,RETA,J,C,Transport and ICT,Special Fund,ADB,"1,500.00",RCIF,,19-Dec-2007
970,2007,7000,INO,Strengthening Regulation and Governance,ADTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,,10-Dec-2007
971,2007,7006,PRC,Devt of Biomass Power Generation in Rural Areas,ADTA,E,C,Energy,Bilateral,Single Donor,600.00,Denmark-Energy 2,,10-Dec-2007
972,2007,7011,SRI,Building the Capacity of Sustainable Energy Authority,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,600.00,CEF-CEFPF,,12-Dec-2007
973,2007,7013,LAO,Updating the National Water Policy and Strategy ,ADTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,AUS,,12-Dec-2007
974,2007,7017,PRC,Enhancement of the Performance Audit Capacity of the China National Audit Office,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,MFDR,,12-Dec-2007
975,2007,7018,VIE,Strengthening Operations & Business Processes in Viet Nam Railways,ADTA,E,C,Transport and ICT,Bilateral,Single Donor,980.00,FRA-AFD GMS Fund,,12-Dec-2007
976,2007,7022,COO,Infrastructure Development Project,PPTA,J,PS,Multisector,Bilateral,Single Donor,200.00,NZL,,12-Dec-2007
977,2007,7024,VIE,Supporting the Energy Efficiency Program Implementation Project,ADTA,J,C,Energy,Bilateral,Single Donor,425.00,SPA,,12-Dec-2007
978,2007,7024,VIE,Supporting the Energy Efficiency Program Implementation Project,ADTA,J,C,Energy,Bilateral,Single Donor,500.00,FRA-AFD GMS Fund,,12-Dec-2007
979,2007,7029,VIE,Support for Health Systems Development Program,PPTA,J,PS,Health and Social Protection,Bilateral,Single Donor,180.00,AUS,,11-Dec-2007
980,2007,7037,CAM,Tonle Sap Poverty Reduction & Smallholder Devt Project,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,Second Finnish Technical Assistance Grant Fund,,14-Dec-2007
981,2007,7049,PRC,Implementing the National Flood Management Strategy,ADTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,NET-WFPF,,20-Dec-2007
982,2008,4293,PHI,Capacity Building for Housing Microfinance,ADTA,E,C,Finance,Bilateral,Single Donor,500.00,EAKPF,11-Apr-2008,27-Jun-2008
983,2008,4381,INO,Integrated Citarum Water Resources Management Project ,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,200.00,GEF,,12-Mar-2008
984,2008,4534,PAK,Sindh Basic Urban Services,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,80.00,CFWS,,31-Jan-2008
985,2008,4689,VIE,Developing Benefit Sharing Mechanisms for People Adversely Affected by Power Generation Projects,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,240.00,MDTF-WFPF,,22-May-2008
986,2008,4763,INO,Metropolitan Sanitation Management and Health Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,12-Mar-2008
987,2008,4902,TUV,Capacity Building for Taxation Reforms,PPTA,E,C,Public Sector Management,Bilateral,Single Donor,270.00,AUS,,12-Nov-2008
988,2008,4903,VIE,Viet Nam Water Sector Review,ADTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,550.00,NET,,11-Dec-2008
989,2008,4907,LAO,Sector-Wide Approach in Education Sector Development,ADTA,E,C,Education,Bilateral,Single Donor,477.00,AUS,,20-Jun-2008
990,2008,6092,REG,Enhancing Gender and Development Capacity in DMCs Phase 2 of RETA 5835,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"1,000.00",GDCF,,03-Mar-2008
991,2008,6143,REG,Promoting Gender Equality and Women's Empowerment,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"1,000.00",GDCF,02-Jan-2007,03-Mar-2008
992,2008,6245,REG,Strengthening Pro-Poor Policy in the Pacific ,RETA,J,C,Public Sector Management,Bilateral,Single Donor,232.00,AUS,,15-Jul-2008
993,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,PRC-PR Fund,,11-Feb-2008
994,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,NET,,11-Feb-2008
995,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"4,900.00",FIN,,11-Feb-2008
996,2008,6291,REG,Rolling Out Air Quality Management in Asia,RETA,E,PS,Transport and ICT,Bilateral,Single Donor,484.63,SWE,,07-Oct-2008
997,2008,6293,REG,Managing the Cities in Asia,RETA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",SPA,,22-Sep-2008
998,2008,6310,REG,Development Study of GMS Economic Corridors,RETA,J,C,Public Sector Management,Bilateral,Single Donor,400.00,PRC-PR Fund,,07-Jul-2008
999,2008,6321,REG,Fighting HIV/AIDS in Asia and the Pacific ,R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,300.00,HIV/AIDS Fund,,28-May-2008
1000,2008,6321,REG,Fighting HIV/AIDS in Asia and the Pacific ,R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,000.00",HIV/AIDS Fund,,28-Mar-2008
1001,2008,6325,REG,Promoting Effective Water Management Policies and Practices 5,RETA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,"1,219.00",CFWS,,30-Oct-2008
1002,2008,6337,REG,Development Partnership Program for South Asia,R-CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,288.00,SWE,,13-Feb-2008
1003,2008,6337,REG,Development Partnership Program for South Asia,R-CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,300.00,NOR,,13-Feb-2008
1004,2008,6353,REG,Private Sector Development Initiative (Supplementary 1),R-PATA,E,C,Public Sector Management,Bilateral,Single Donor,300.00,AUS,,01-Jul-2008
1005,2008,6407,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management III,CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,400.00,NZL,,18-Aug-2008
1006,2008,6407,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management III,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,07-Mar-2008
1007,2008,6416,REG,A Development Framework for Sustainable Urban Transport,RETA,J,PS,Transport and ICT,Bilateral,Single Donor,100.00,UKG,,14-Aug-2008
1008,2008,6416,REG,A Development Framework for Sustainable Urban Transport,RETA,E,PS,Transport and ICT,Bilateral,Single Donor,120.00,UKG,,11-Jun-2008
1009,2008,6422,REG,Mainstreaming Environment for Poverty Reduction,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,600.00",PEF,,08-Aug-2008
1010,2008,6424,REG,Enhancing Effective Regulation of Water and Energy Infrastructure and Utility Services,RETA,E,C,Public Sector Management,Bilateral,Single Donor,700.00,AUS,,10-Jun-2008
1011,2008,6442,REG,Implementation of the Seed Capital Assistance Facility,RETA,E,PS,Energy,Global Fund,Multidonor,"4,200.00",GEF,,21-Jan-2008
1012,2008,6443,REG,Energy for All Initiative,RETA,E,C,Energy,Bilateral,Single Donor,"1,800.00",Netherlands-Energy,11-Nov-2009,06-Feb-2008
1013,2008,6444,REG,Supporting the Boao Forum for Asia,RETA,E,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,13-Feb-2008
1014,2008,6445,REG,Support for Implementation of the Second Governance and Anticorruption Action Plan,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,600.00",GCF,,18-Feb-2008
1015,2008,6446,REG,"Strengthening Sound Environmental Management in the Brunei Darussalam, Indonesia, Malaysia & Philippines East ASEAN Growth Area",RETA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,500.00,GEF,,22-Dec-2008
1016,2008,6448,REG,"Integrating Human Trafficking and Safe Migration Concerns for Women
and Children into Regional Cooperation",RETA,E,C,Health and Social Protection,Special Fund,ADB,"1,000.00",RCIF,,17-Mar-2008
1017,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Bilateral,Single Donor,250.00,AUS,,28-Mar-2008
1018,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,28-Mar-2008
1019,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Special Fund,ADB,"1,000.00",RCIF,,28-Mar-2008
1020,2008,6451,REG,Capacity Building and Institutional Strengthening of the Free Trade Agreement Units in Selected ASEAN Member Countries,RETA,E,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,28-Mar-2008
1021,2008,6453,REG,Capacity Building forMarket Development in ASEAN+3,RETA,E,C,Finance,Special Fund,ADB,500.00,RCIF,,28-Mar-2008
1022,2008,6454,REG,"Supporting Regional Capacities for Financial Asset and Liability
and Risk Management",RETA,E,C,Finance,Special Fund,ADB,320.00,RCIF,,27-Mar-2008
1023,2008,6463,REG,Strengthening Pacific Economic Analysis and Policy Dev't.,RETA,E,C,Public Sector Management,Bilateral,Single Donor,400.00,AUS,,09-Jun-2008
1024,2008,6467,REG,HIV Prevention and Infrastructure: Mitigating Risk in the GMS,R-CDTA,E,PS,Health and Social Protection,Bilateral,Single Donor,"6,000.00",AUS,,24-Jun-2008
1025,2008,6471,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 1),RETA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,550.00,Second Finnish Technical Assistance Grant Fund,,18-Jul-2008
1026,2008,6471,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 1),RETA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,300.00,GEF,,18-Jul-2008
1027,2008,6472,REG,"Strategic Partnerships for Policy Development and Action to Foster
Regional Cooperation in South Asia",RETA,E,C,Public Sector Management,Special Fund,ADB,700.00,RCIF,,25-Jul-2008
1028,2008,6473,REG,Strengthening Southeast Asian Financial Markets,RETA,E,C,Finance,Special Fund,ADB,650.00,RCIF,,05-Aug-2008
1029,2008,6476,REG,"South Asian Regional Cooperation in 2030: The Potential Role of 
India and Pakistan",RETA,E,C,Public Sector Management,Special Fund,ADB,750.00,RCIF,,11-Aug-2008
1030,2008,6484,REG,Mekong Water Supply and Sanitation Project,RETA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,300.00,NET-WFPF,,08-Sep-2008
1031,2008,6484,REG,Mekong Water Supply and Sanitation Project,RETA,J,C,Water and Other Municipal Infrastructure and Services,Special Fund,ADB,500.00,RCIF,,08-Sep-2008
1032,2008,6485,REG,Promoting Energy Efficiency in the Pacific,R-PATA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,200.00",CEF-CEFPF,,12-Sep-2008
1033,2008,6486,REG,Improved Management of Water Resources in Central Asia,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,998.00,MDTF-WFPF,,12-Sep-2008
1034,2008,6488,REG,"Central Asia Regional Economic Cooperation Institute, 2009-2012",RETA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,24-Sep-2008
1035,2008,6488,REG,"Central Asia Regional Economic Cooperation Institute, 2009-2012",RETA,J,C,Public Sector Management,Special Fund,ADB,500.00,RCIF,,24-Sep-2008
1036,2008,6492,REG,Knowledge Sharing on Infrastructure Public-Private Partnerships in Asia,RETA,E,C,Multisector,Bilateral,Single Donor,500.00,EAKPF,05-Jun-2008,07-Oct-2008
1037,2008,6494,REG,Developing a Computable General Equilibrium Modeling Framework for Analyzing the Impacts of Power Trading Between Mongolia and the People's Republic of China,RETA,E,C,Energy,Bilateral,Single Donor,150.00,PRC-PR Fund,,16-Oct-2008
1038,2008,6496,REG,Regional Partnerships for Climate Change Adaptation and Disaster Preparedness,PPTA,E,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",RCIF,,27-Oct-2008
1039,2008,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program,R-CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,NET-WFPF,,03-Nov-2008
1040,2008,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program,R-CDTA,J,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,"1,200.00",MDTF-WFPF,,03-Nov-2008
1041,2008,6499,REG,Strengthening Governance and Accountability in Pacific Island Countries (Phase 2),RETA,J,C,Public Sector Management,Bilateral,Single Donor,400.00,AUS,,03-Nov-2008
1042,2008,6501,REG,Expanding the Implementation of the Energy Efficiency Initiative in Developing Member Countries,R-PPTA,E,C,Energy,Special Fund,ADB,"3,000.00",CCF,,10-Nov-2008
1043,2008,6502,REG,Regional Knowledge and Partnership Networks for Poverty Reduction and Inclusive Growth,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,04-Oct-2007,14-Nov-2008
1044,2008,6502,REG,Regional Knowledge and Partnership Networks for Poverty Reduction and Inclusive Growth,R-CDTA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,14-Nov-2008
1045,2008,6504,REG,Improving Connectivity and Destination Management of Cultural and Natural Resources in the South Asia Subregion,RETA,E,C,Transport and ICT,Special Fund,ADB,"2,000.00",RCIF,,08-Dec-2008
1046,2008,6505,REG,"Enhancing Financial Disclosure Standards in Armenia, Azerbaijan, and Georgia",RETA,E,C,Finance,Bilateral,Single Donor,600.00,ICFF,,10-Dec-2008
1047,2008,6509,REG,Minimizing Foreign Exchange Settlement Risk in the ASEAN+3 Region: Support for Group of Experts,R-RDTA,E,C,Finance,Bilateral,Single Donor,850.00,ICFF,,16-Dec-2008
1048,2008,6513,REG,"Rural Information and Communication Technology Policy Advocacy, Knowledge Sharing, and Capacity Building",RETA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,EAKPF,14-Jan-2008,18-Dec-2008
1049,2008,6514,REG,Harmonization of Bond Standards in ASEAN+3,RETA,J,C,Finance,Bilateral,Single Donor,450.00,ICFF,,16-Dec-2008
1050,2008,6514,REG,Harmonization of Bond Standards in ASEAN+3,RETA,J,C,Finance,Bilateral,Single Donor,500.00,EAKPF,18-Dec-2006,16-Dec-2008
1051,2008,6515,REG,Impact of Maternal and Child Health Private Expenditure on Poverty and Inequity,RETA,J,PS,Health and Social Protection,Bilateral,Single Donor,326.00,AUS,,18-Dec-2008
1052,2008,6521,REG,Accelerating the Implementation of the Core Agriculture Support Program,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,PRC-PR Fund,,23-Dec-2008
1053,2008,7058,LAO,Piloting Community e-Centers for Better Health,ADTA,E,C,Health and Social Protection,Bilateral,Single Donor,500.00,EAKPF,21-Aug-2008,29-Jan-2008
1054,2008,7064,VIE,Making Markets Work Better for the Poor Phase 2,ADTA,J,PS,Industry and Trade,Bilateral,Single Donor,"8,000.00",UKG,,18-Feb-2008
1055,2008,7078,SRI,Institutional Strengthening for Decentralized Service Delivery in the Water Sector,ADTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,50.00,CFWS,,24-Apr-2008
1056,2008,7080,TAJ,CAREC Transport Corridor III (Dushanbe-Uzbekistan Border Road) Project,PPTA,E,C,Transport and ICT,Special Fund,ADB,650.00,RCIF,,14-May-2008
1057,2008,7083,PRC,Urban Wastewater Reuse and Sludge Utilization Policy Study,ADTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,300.00,MDTF-WFPF,,26-May-2008
1058,2008,7089,VIE,Hue Water Supply Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,500.00",NET-WFPF,,13-Jun-2008
1059,2008,7091,VIE,Ho Chi Minh City Water Supply Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"1,500.00",FRA,,24-Jun-2008
1060,2008,7097,PHI,Pasuquin East Wind Farm Development Project,PPTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,200.00,CEF-CEFPF,,11-Jun-2008
1061,2008,7111,NEP,Knowledge Transfer for Public Procurement,ADTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,11-Apr-2008,31-Jul-2008
1062,2008,7122,PHI,Water District Development Sector,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,"1,200.00",MDTF-WFPF,,10-Sep-2008
