Partner,Year,Approval Numbers CoFin,Proj No,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF,Total,Grants,Loans,Commercial,Total CF
AIF,2015,3339/8297,49080-001,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,,,,,0,,25,,25
AITF,,,,,,,,,0,0,0,0,0,370.66,0,0,370.66
AITF,2011,0261-0262,44482,AFG,Transport Network Development Investment Program - Tranche 1,CWRD,CWTC,10/12/2011,,,,,0,33,,,33
AITF,2012,0244/0291,42095-033,AFG,Road Network Development Investment Program - Tranche 2,CWRD,CWTC,05/29/2012,,,,,0,30,,,30
AITF,2012,0327-0328,44482-023,AFG,Transport Network Development Investment Program - Tranche 2,CWRD,CWTC,12/10/2012,,,,,0,60,,,60
AITF,2013,0327-0328,44482-023,AFG,Transport Network Development Investment Program ﾗ Tranche 2 (Supplementary),CWRD,CWTC,06/20/2013,,,,,0,27,,,27
AITF,2013,0374/0375,46392-001,AFG,North-South Power Transmission Enhancement,CWRD,CWEN,11/25/2013,,,,,0,117,,,117
AITF,2014,0411/0412,48326-001,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,CWRD,AFRM,10/16/2014,,,,,0,16.66,,,16.66
AITF,2015,0126/0437,39370-023,AFG,Agriculture Market InfrastructureﾗAdditional Financing,CWRD,AFRM,09/25/2015,,,,,0,11,,,11
AITF,2015,0261-0262,44482,AFG,Transport Network Development Investment Program - Tranche 1 (Supplementary),CWRD,CWTC,12/08/2015,,,,,0,1,,,1
AITF,2015,0464/0465,47282-003,AFG,Energy Supply Improvement ProgramﾗTranche 1,CWRD,CWEN,12/08/2015,,,,,0,75,,,75
AsIF,,,,,,,,,0,0,0,0,0,13.7,0,0,13.7
AsIF,2015,3250/0471/8303,45041-002,LAO,Vientiane Sustainable Urban Transport,SERD,SETC,03/10/2015,,,,,0,6.9,,,6.9
AsIF,2015,3316/0455,47127-002,MYA,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0,6.8,,,6.8
Australia,,,,,,,,,0,0,0,0,0,688.87,1013.63,0,1702.5
Australia,1973,0146,41657,TON,Telecommunications,PARD,PARD,11/08/1973,,,,,0,0.78,,,0.78
Australia,1976,0289,,SOL,Beef Cattle Development,PARD,,12/21/1976,,,,,0,,1.54,,1.54
Australia,1977,0334/8009,,NEP,Sagarnath Forestry Development,SARD,SAAE,12/20/1977,,,,,0,0.46,,,0.46
Australia,1978,0372,,MAL,Trengganu Hydropower,SERD,SEID,12/05/1978,,,,,0,,4.5,,4.5
Australia,1979,0445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0,,0.89,,0.89
Australia,1980,0485,,SAM,Agricultural Development,PARD,,11/27/1980,,,,,0,,2,,2
Australia,1983,0646,,SOL,Agricultural Development,PARD,,10/29/1983,,,,,0,,2,,2
Australia,1986,0786,,KIR,Tarawa Power,PARD,PAHQ,08/21/1986,,,,,0,0.16,,,0.16
Australia,1990,1031,,COO,Outer Islands Telecommunications,PARD,,09/20/1990,,,,,0,,2.7,,2.7
Australia,1992,1183,,SRI,Participatory Forestry,SARD,SAAE,11/05/1992,,,,,0,3.87,,,3.87
Australia,1993,1225,,PNG,Population and Family Planning,PARD,,04/01/1993,,,,,0,10,,,10
Australia,1994,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0,10.55,,,10.55
Australia,1995,1367,,PHI,Regional Municipal Development,SERD,,08/30/1995,,,,,0,11.77,,,11.77
Australia,1995,1396,,PHI,Integrated Community Health,SERD,,10/17/1995,,,,,0,13.7,,,13.7
Australia,1996,1448,,VAN,Urban Infrastructure,PARD,PARD,06/27/1996,,,,,0,0.32,,,0.32
Australia,1998,1621,,LAO,Basic Education (Girls),SERD,SESS,06/25/1998,,,,,0,5,,,5
Australia,1999,1697/3398(L),28338,CAM,Primary Roads Restoration,SERD,SETC,09/21/1999,,,,,0,0.86,,,0.86
Australia,1999,1703,,PNG,Financial Management,PARD,,10/21/1999,,,,,0,12,,,12
Australia,2000,1768/3520(L),32472,PNG,Microfinance and Employment,PARD,,10/19/2000,,,,,0,0.91,,,0.91
Australia,2000,1812,,PNG,Provincial Towns Water Supply and Sanitation,PARD,,12/15/2000,,,,,0,1.8,,,1.8
Australia,2001,1706/3632(L),29637,PNG,Employment-Oriented Skills Development,PARD,,02/20/2001,,,,,0,5.49,,,5.49
Australia,2003,2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0,12,,,12
Australia,2005,2220/0031/0032,34285,SAM,Education Sector II,PARD,PAHQ,12/16/2005,,,,,0,8.6,,,8.6
Australia,2006,0042,,PNG,HIV/AIDS Prevention and Control in Rural Development Enclaves,PARD,PAHQ,04/25/2006,,,,,0,3.5,,,3.5
Australia,2006,0049/50,39581-012,SOL,Road Improvement (Sector),PARD,PLCO,08/08/2006,,,,,0,6.1,,,6.1
Australia,2006,1823/G0043/G0044,34513,SOL,Post-Conflict Emergency Rehabilitation (Supplementary),PARD,PARD,02/08/2006,,,,,0,2,,,2
Australia,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,7.4,,,7.4
Australia,2007,0082/8241,,LAO,Northern GMS Transport Network Improvement,SERD,,09/27/2007,,,,,0,14.5,,,14.5
Australia,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,8,,,8
Australia,2007,2368/0087/0101/8232,38183,SAM,Power Sector Expansion,PARD,PAHQ,11/21/2007,,,,,0,8,,,8
Australia,2007,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,,,,,0,25.5,,,25.5
Australia,2007,2373/0096,36353,CAM,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam),SERD,,11/28/2007,,,,,0,8,,,8
Australia,2008,0049/50,39581-012,SOL,Road Improvement (Sector) (Supplementary),PARD,PLCO,04/30/2008,,,,,0,0.47,,,0.47
Australia,2008,2406/0104,41123,CAM,Road Asset Management,SERD,SEID,01/21/2008,,,,,0,4.8,,,4.8
Australia,2009,0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,01/19/2009,,,,,0,0.21,,,0.21
Australia,2009,0049/50,39581-012,SOL,Road Improvement (Sector) (2nd Supplementary),PARD,PLCO,05/20/2009,,,,,0,1.87,,,1.87
Australia,2009,0143,,LAO,Small Towns Water Supply and Sanitation Sector,SERD,,02/02/2009,,,,,0,5.3,,,5.3
Australia,2009,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,,,,,0,4.5,,,4.5
Australia,2009,2168/7/13/75/0193,36601-013,SRI,North East Community Restoration and Development II (Supplementary),SARD,,12/17/2009,,,,,0,7.28,,,7.28
Australia,2009,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),SERD,,12/15/2009,,,,,0,21.5,,,21.5
Australia,2009,2521,43009,INO,Public Expenditure Support Facility Program,SERD,SEFM,06/03/2009,,,,,0,,1000,,1000
Australia,2010,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,,,,,0,0.28,,,0.28
Australia,2010,0243,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0,30,,,30
Australia,2010,2642/2643/0209,40354,VIE,Health Human Resources Sector Development Program,SERD,,06/22/2010,,,,,0,11,,,11
Australia,2010,2686/0226/0425,44304-014,PNG,Microfinance Expansion,PARD,,10/28/2010,,,,,0,6,,,6
Australia,2011,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,,,,,0,4.04,,,4.04
Australia,2011,2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0,35,,,35
Australia,2011,2785/0259/8274,41509,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,,,,,0,40,,,40
Australia,2011,2795/0263/0387,43072-013,KIR,South Tarawa Sanitation Improvement Sector,PARD,PAUS,10/17/2011,,,,,0,13.95,,,13.95
Australia,2011,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,,,,0,26.5,,,26.5
Australia,2011,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,,,,,0,4.5,,,4.5
Australia,2011,G0264-0265,4239402,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,,,,,0,6.44,,,6.44
Australia,2011,G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0,15.6,,,15.6
Australia,2012,0127/0292/0293,40263-033,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,,,,,0,4.3,,,4.3
Australia,2012,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,,,,,0,2.14,,,2.14
Australia,2012,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,,,,,0,0.96,,,0.96
Australia,2012,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction,SERD,CARM,03/27/2012,,,,,0,5.25,,,5.25
Australia,2012,G0272/0289,35174-082,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,,,,,0,3.47,,,3.47
Australia,2013,0336,45303-001,CAM,Rural Energy,SERD,SEEN,01/15/2013,,,,,0,6.11,,,6.11
Australia,2013,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,,,,,0,4.5,,,4.5
Australia,2013,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,SERD,SETC,02/11/2013,,,,,0,12.43,,,12.43
Australia,2013,3013/0353,40255-033,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,,,,,0,134,,,134
Australia,2014,3123/8280,47315,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,,,,,0,48.83,,,48.83
Australia,2015,0414/0424/0443,46455-004,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,,,,,0,4.74,,,4.74
Australia,2015,0438/0439,46346-002,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,,,,,0,4,,,4
Australia,2015,0442,47318-001,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0,1.1,,,1.1
"Australia,Australia",2012,0049/50,39581-012,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,,,,,0,0.74,,,0.74
"Australia,Australia",2012,2936-2937/G0316-0317,40190-023,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,11/06/2012,,,,,0,5.89,,,5.89
"Australia,Australia",2014,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction ﾖ Additional Financing,SERD,CARM,04/11/2014,,,,,0,6.68,,,6.68
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,42334-014,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,,,,0,6.67,,,6.67
"Australia,Australia",2015,0336,45303-001,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,,,,,0,0.36,,,0.36
"Australia,Australia",2015,0458,47320-001,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0,1.5,,,1.5
"Australia,Australia",2015,2686/0226/0425,44304-014,PNG,Microfinance Expansion ﾗ Additional Financing,PARD,PLCO,02/09/2015,,,,,0,2.85,,,2.85
"Australia,Australia",2015,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,,,,,0,11.85,,,11.85
Belgium,,,,,,,,,0,0,0,0,0,0.51,14.7,0,15.21
Belgium,1973,0168-169,,PAK,Mangla Hydropower,CWRD,,12/17/1973,,,,,0,,7.6,,7.6
Belgium,1986,0824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,,,,,0,,7.1,,7.1
Belgium,1997,1537,,VIE,Lower Secondary Education Development,SERD,SESS,09/16/1997,,,,,0,0.51,,,0.51
Canada,,,,,,,,,0,0,0,0,0,217.83,167.67,0,385.5
Canada,1976,0279-0280,,PAK,Port Qasim,CWRD,,11/18/1976,,,,,0,,6.06,,6.06
Canada,1977,0332/8010,,PAK,Tarbela Hydropower (Supplementary & Extension),CWRD,SAEN,12/15/1977,,,,,0,,35,,35
Canada,1981,0523,,BAN,Power System Rehabilitation and Expansion,SARD,,09/22/1981,,,,,0,1.26,,,1.26
Canada,1981,0541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,,,,,0,,20,,20
Canada,1982,0601,,PAK,Tarbela Hydropower Extension (Units 9 and 10),CWRD,,11/23/1982,,,,,0,,17,,17
Canada,1983,0623,,THA,Mineral Resources Development,SERD,SERD,04/14/1983,,,,,0,7.07,,,7.07
Canada,1984,0700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,,,,,0,,37.2,,37.2
Canada,1984,0701,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,,,,,0,,17.41,,17.41
Canada,1987,0869,,PAK,Oil and Gas Development,CWRD,,12/03/1987,,,,,0,0.2,,,0.2
Canada,1988,0888,,SRI,Emergency Schools Restoration,SARD,,06/30/1988,,,,,0,4,,,4
Canada,1998,1609,,NEP,Community Groundwater Irrigation Sector,SARD,SAAE,11/01/1998,,,,,0,2.8,,,2.8
Canada,2003,2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0,20,,,20
Canada,2004,2101/4559 (L),26061,BAN,Teaching Quality Improvement for Secondary Education,SARD,SASS,11/09/2004,,,,,0,18,,,18
Canada,2004,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,,,,,0,5,,,5
Canada,2005,2163/2164/0003,34152,INO,Community Water Services and Health,SERD,SESS,04/07/2005,,,,,0,4,,,4
Canada,2005,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0,5,,,5
Canada,2006,2227/0033/0052,36252,AFG,Western Basin Water Resources Management,CWRD,,08/25/2006,,,,,0,8.35,,,8.35
Canada,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,3.6,,,3.6
Canada,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,7,,,7
Canada,2007,9024/0076,,AFG,Road Employment Project for Settlement and Integration of Returning Refugees and Displaced Persons (Supplementary),CWRD,,03/28/2007,,,,,0,12.8,,,12.8
Canada,2008,2409/0110/0146/8233/8239,41657,BAN,Emergency Disaster Damage Rehabilitation (Sector),SARD,BRM,01/31/2008,,,,,0,10,,,10
Canada,2009,2015/4209(L),30216,BAN,Second Primary Education Development Program (Supplementary),SARD,SASS,01/30/2009,,,,,0,30,,,30
Canada,2010,0118/0206,,NEP,Governance Support Program (Subprogram I) (Supplementary),SARD,,04/12/2010,,,,,0,8.8,,,8.8
Canada,2011,2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0,65,,,65
Canada,2013,2928/0343,42099-013,INO,Polytechnic Education Development,SERD,IRM,04/12/2013,,,,,0,4.95,,,4.95
Canada,2014,3130/7407/8281,47919-014,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,,,,,0,,15,,15
"Canada,CCFPSA-CEFPF",2013,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,20,,20
CCFPSA-CEFPF,,,,,,,,,0,0,0,0,0,0,20,0,20
"Canada,CCFPSA-CEFPF",2013,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,20,,20
CEF-CEFPF,,,,,,,,,0,0,0,0,0,21.5,0,0,21.5
CEF-CEFPF,2008,0109,,PRC,Capacity Building for Energy Efficiency Implementation,EARD,,06/04/2008,,,,,0,0.8,,,0.8
CEF-CEFPF,2009,2587/0183,40553,NEP,Energy Access and Efficiency Improvement,SARD,SAEN,11/27/2009,,,,,0,4.2,,,4.2
CEF-CEFPF,2010,2619/0198/8245,40061,INO,Java-Bali Electricity Distribution Performance Improvement,SERD,SEEN,03/22/2010,,,,,0,1,,,1
CEF-CEFPF,2010,2628/EI7311/0201,,THA,Solar Power,PSOD,,04/16/2010,,,,,0,2,,,2
CEF-CEFPF,2010,2632/0202/0203,40682,PRC,Integrated Renewable Biomass Energy Development Sector,EARD,,04/16/2010,,,,,0,3,,,3
CEF-CEFPF,2012,0303/2892/2893,43576-013,SRI,Clean Energy and Network Efficiency Improvement,SARD,SAEN,09/18/2012,,,,,0,1.5,,,1.5
CEF-CEFPF,2013,0370/0371/0373,46044-002,SAM,Renewable Energy Development and Power Sector Rehabilitation,PARD,PATE,11/15/2013,,,,,0,1,,,1
CEF-CEFPF,2013,3015/0354/8272,41074-013,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,,,,,0,2,,,2
CEF-CEFPF,2014,2517/0384,42182-013,VIE,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,SERD,SEEN,04/09/2014,,,,,0,3,,,3
CEF-CEFPF,2015,2979/8264/0468,42361-014,CAM,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,SERD,SEEN,12/09/2015,,,,,0,1,,,1
CEF-CEFPF,2015,3309/0452/0453,46535-001,TAJ,Strengthening Technical and Vocational Education and Training,CWRD,CWPF,11/09/2015,,,,,0,2,,,2
Cities Alliance,,,,,,,,,0,0,0,0,0,0.9,0,0,0.9
Cities Alliance,ERROR: Incorrect data type for operator or @Function: Time/Date expected,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,,,,,0,0.9,,,0.9
CTF,,,,,,,,,0,0,0,0,0,5,574.8,0,579.8
CTF,2012,2875/7356/8256,45923-01,THA,Provincial Solar Power,PSOD,PSIF2,06/25/2012,,,,,0,,15,,15
CTF,2012,2945/7376/CF8260,45924-01,THA,Theppana Wind Power,PSOD,PSIF2,11/20/2012,,,,,0,,4,,4
CTF,2012,2964/0326/8261,43207-013,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,,,,,0,5,,,5
CTF,2012,2964/0326/8261,43207-013,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,,,,,0,,100,,100
CTF,2013,2992/8268/7384,46934-01,THA,Central Thailand Solar Power,PSOD,PSIF2,02/28/2013,,,,,0,,35,,35
CTF,2013,3052/8275,45224-003,IND,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,SARD,SAEN,10/22/2013,,,,,0,,88,,88
CTF,2013,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,,,,,0,,80,,80
CTF,2014,3113/8279,45200-002,VIE,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,SERD,SETC,02/20/2014,,,,,0,,48.95,,48.95
CTF,2014,3219/7435/8289,48233-001,THA,Subyai Wind Power,PSOD,PSIF2,12/04/2014,,,,,0,,30,,30
CTF,2014,3235/8291,40080-024,VIE,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,SERD,SETC,12/12/2014,,,,,0,,48.95,,48.95
CTF,2014,7409/8283,47937-001,INO,Rantau Dedap Geothermal Development (Phase 1),PSOD,PSIF2,06/26/2014,,,,,0,,50,,50
CTF,2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,50,,50
CTF,2015,3366/8301,49263-001,THA,Northeastern Thailand Wind Power,PSOD,PSIF2,12/08/2015,,,,,0,,18.9,,18.9
CTF,2015,8298,49238-001,IND,Off-Grid Prepaid Solar Leasing,PSOD,PSIF1,12/01/2015,,,,,0,,6,,6
Czechoslovakia,,,,,,,,,0,0,0,0,0,0,46,0,46
Czechoslovakia,1986,0824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,,,,,0,,46,,46
Denmark,,,,,,,,,0,0,0,0,0,134.75,16.52,0,151.27
Denmark,1984,0722,,BHU,Second Multiproject,SARD,,12/13/1984,,,,,0,,1.45,,1.45
Denmark,1987,0829,,BHU,Urban Centers Sewerage,SARD,,02/03/1987,,,,,0,,2.15,,2.15
Denmark,1994,1334,,MON,Power Rehabilitation,EARD,,11/24/1994,,,,,0,5,,,5
Denmark,1996,1443,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,,,,,0,,8.2,,8.2
Denmark,1997,1524,,BAN,Participatory Livestock,SARD,SAAE,06/19/1997,,,,,0,11.2,,,11.2
Denmark,1997,1532,,MLD,Third Power Systems Development,SARD,SAEN,09/01/1997,,,,,0,,4.72,,4.72
Denmark,2000,1746,,PHI,Pasig River Environmental Management and Rehabilitation SDP (Investment Loan),SERD,,07/20/2000,,,,,0,2.2,,,2.2
Denmark,2001,1835/3712(L),33165,PRC,Yellow River Flood Management Sector,EARD,AEFN,08/28/2001,,,,,0,0.3,,,0.3
Denmark,2002,1840/3923(L),32236,NEP,Teacher Education,SARD,NRM,09/09/2002,,,,,0,0.3,,,0.3
Denmark,2002,19173927(L),34022,NEP,Secondary Education Support,SARD,,09/20/2002,,,,,0,6.3,,,6.3
Denmark,2002,1917/3927(L),34022,NEP,Secondary Education Support,SARD,SASS,09/20/2002,,,,,0,23.7,,,23.7
Denmark,2003,2070,35228-01,BAN,Second Participatory Livestock Development,SARD,SAAE,12/19/2003,,,,,0,0.5,,,0.5
Denmark,2004,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,,,,,0,10,,,10
Denmark,2005,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0,10.8,,,10.8
Denmark,2006,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0,10.4,,,10.4
Denmark,2007,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0,11,,,11
Denmark,2008,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,,,,,0,12,,,12
Denmark,2011,0280/0281/0282,42094,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,,,,,0,12.4,,,12.4
Denmark,2011,G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0,17.9,,,17.9
Denmark,2015,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,,,,,0,0.75,,,0.75
DFID,,,,,,,,,0,0,0,0,0,72.4,0,0,72.4
"U.K.,DFID",2015,3134/0451,47281-001,PAK,National Highway Network Development in Balochistan,CWRD,CWTC,11/03/2015,,,,,0,72.4,,,72.4
DGT,,,,,,,,,0,0,0,0,0,0,93.5,0,93.5
"France,DGT",2015,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0,,93.5,,93.5
EBRD,,,,,,,,,0,0,0,0,0,10.89,464.11,0,475
EBRD,2000,1774-1775,,REG,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components),CWRD,CWID,10/31/2000,,,,,0,,28.5,,28.5
EBRD,2009,2562,41121-02,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0,,180,,180
EBRD,2010,2620,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,,,,,0,,40,,40
EBRD,2012,2916,46145-001,KAZ,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement,CWRD,CWTC,10/05/2012,,,,,0,,196.5,,196.5
EBRD,2014,3150,46416-002,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0,,19.11,,19.11
EBRD,2014,3150,46416-002,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,,,,,0,10.89,,,10.89
EC,,,,,,,,,0,0,0,0,0,521.09,216.41,0,737.5
EC,1977,0322,,AFG,Fertilizer and Agrochemical Storage,CWRD,CWID,11/29/1977,,,,,0,,1.12,,1.12
EC,1977,0330,,PAK,Chashma Right Bank Irrigation,CWRD,SAAE,12/15/1977,,,,,0,,4.48,,4.48
EC,1978,0339,,MYA,Second Fisheries Development,SERD,,02/06/1978,,,,,0,,1.12,,1.12
EC,1978,0367,,THA,Aquaculture Development,SERD,SEAE,11/27/1978,,,,,0,,1.01,,1.01
EC,1978,0387,43072-013,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,,,,,0,,3.75,,3.75
