proj_no,approval_number,partner,year,approval_numbers_cofin,loan_grant_title,coms_proj_no,coms_proj_title,coms_project_title
36601-013,0013,Norway,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO
36601-013,0075,Norway,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),34442-032,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
36601-013,0193,Norway,2007,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
39581-012,0049,Australia,2008,0049/50,Road Improvement (Sector) (Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
39581-012,0050,Australia,2008,0049/50,Road Improvement (Sector) (Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
40263-033,0127,EC,2008,0127/0292/0293,Domestic Maritime Support (Sector),40263-022,,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
40263-033,0292,EC,2008,0127/0292/0293,Domestic Maritime Support (Sector),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
40263-033,0293,EC,2008,0127/0292/0293,Domestic Maritime Support (Sector),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
40517-013,2453,IsDB,2008,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
40517-013,2454,IsDB,2008,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
40517-013,0253,IsDB,2008,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,40517-042,,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
40517-013,0254,IsDB,2008,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,40517-042,,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
39581-012,0049,Australia,2009,0049/50,Road Improvement (Sector) (2nd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
39581-012,0050,Australia,2009,0049/50,Road Improvement (Sector) (2nd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
39581-012,0049,Australia,2009,0049/50,Road Improvement (Sector) (2nd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
39581-012,0050,Australia,2009,0049/50,Road Improvement (Sector) (2nd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
36601-013,2168,Australia,2009,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
36601-013,0007,Australia,2009,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),not in CoMs,,not in CoMs
36601-013,0013,Australia,2009,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION & DEVELOPMENT PRO
36601-013,0075,Australia,2009,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),34442-032,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
36601-013,0193,Australia,2009,2168/7/13/75/0193,North East Community Restoration and Development II (Supplementary),36601-013,,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P
37269-023,2288,Australia,2009,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),not in CoMs,,not in CoMs
37269-023,2602,Australia,2009,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),not in CoMs,,not in CoMs
37269-023,0187,Australia,2009,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary),37269-023,,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA PROJ
42051-023,2552,France,2009,2552/2553/8246,Energy Efficiency Investment Program - Tranche I,not in CoMs,,not in CoMs
42051-023,2553,France,2009,2552/2553/8246,Energy Efficiency Investment Program - Tranche I,not in CoMs,,not in CoMs
42051-023,8246,France,2009,2552/2553/8246,Energy Efficiency Investment Program - Tranche I,42051-023,,MFF-ENERGY EFFICIENCY INVESTMENT PROGRAM-TRANCHE 1
38097-013,9135,Japan,2009,9135/0277/0382/0406,Establishing Women and Children Service Centers,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
38097-013,0277,Japan,2009,9135/0277/0382/0406,Establishing Women and Children Service Centers,38097-012,,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
38097-013,0382,Japan,2009,9135/0277/0382/0406,Establishing Women and Children Service Centers,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
38097-013,0406,Japan,2009,9135/0277/0382/0406,Establishing Women and Children Service Centers,38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
42382-013,2550,MDTF-WFPF,2009,2550/0159,Liaoning Small Cities and Towns Development Demonstration Sector,not in CoMs,,not in CoMs
42382-013,0159,MDTF-WFPF,2009,2550/0159,Liaoning Small Cities and Towns Development Demonstration Sector,42382-013,,LIAONING SMALL CITIES&TOWNS DEVT DEMONSTRATION SEC
42383-023,2606,MDTF-WFPF,2009,2606,Shanxi Small Cities and Towns Development Demonstration Sector,not in CoMs,,not in CoMs
44304-014,2686,Australia,2010,2686/0226/0425,Microfinance Expansion,not in CoMs,,not in CoMs
44304-014,0226,Australia,2010,2686/0226/0425,Microfinance Expansion,44304-013,,MICROFINANCE EXPANSION PROJECT
44304-014,0425,Australia,2010,2686/0226/0425,Microfinance Expansion,44304-013,,MICROFINANCE EXPANSION PROJECT - ADDL FIN
44065-013,2626,International Federation of Red Cross and Red Crescent Society,2010,2626/0246,Conflict-Affected Region Emergency,not in CoMs,,not in CoMs
44065-013,0246,International Federation of Red Cross and Red Crescent Society,2010,2626/0246,Conflict-Affected Region Emergency,44065-013,,CONFLICT-AFFECTED REGION EMERGENCY PROJECT
36353-013,2372,Korea,2010,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),not in CoMs,,not in CoMs
36353-013,0095,Korea,2010,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),36353-013,,GMS SOUTHERN COASTAL CORRIDOR PJT (VIET NAM)
36353-013,2988,Korea,2010,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),not in CoMs,,not in CoMs
36353-013,0337,Korea,2010,2372/0095/2988/0337,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary),41496-014,,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F
44281-013,2718,PRIF,2010,2718,Road Rehabilitation,not in CoMs,,not in CoMs
44281-013,2718,World Bank,2010,2718,Road Rehabilitation,not in CoMs,,not in CoMs
42122-013,2761,Australia,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
43072-013,2795,Australia,2011,2795/0263/0387,South Tarawa Sanitation Improvement Sector,not in CoMs,,not in CoMs
43072-013,0263,Australia,2011,2795/0263/0387,South Tarawa Sanitation Improvement Sector,43072-013,,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT
43072-013,0387,Australia,2011,2795/0263/0387,South Tarawa Sanitation Improvement Sector,43072-013,,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT
35174-082,0289,Australia,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
42122-013,2761,Canada,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
35174-082,0289,Denmark,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
42122-013,2761,EC,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
35174-082,0289,EC,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
40080-013,2741,EIB,2011,2741,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),not in CoMs,,not in CoMs
35174-082,0289,Finland,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
29296-013,2025,France,2011,2025/2747,Phuoc Hoa Water Resources (Supplementary),not in CoMs,,not in CoMs
29296-013,2747,France,2011,2025/2747,Phuoc Hoa Water Resources (Supplementary),not in CoMs,,not in CoMs
40080-013,2741,France,2011,2741,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),not in CoMs,,not in CoMs
40080-013,2741,France,2011,2741,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),not in CoMs,,not in CoMs
40080-013,2741,France,2011,2741,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),not in CoMs,,not in CoMs
35174-082,0289,FTI,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
39298-013,2695,Germany,2011,2695/0323,City Region Development,not in CoMs,,not in CoMs
39298-013,0323,Germany,2011,2695/0323,City Region Development,39298-013,,CITY REGION DEVELOPMENT PROJECT-ADDITIONAL FINANCI
37113-013,2769,IsDB,2011,2769,Power System Efficiency Improvement,not in CoMs,,not in CoMs
38479-034,2817,IsDB,2011,2817,Regional Roads Development,not in CoMs,,not in CoMs
40517-013,2453,Japan,2011,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
40517-013,2454,Japan,2011,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,not in CoMs,,not in CoMs
40517-013,0253,Japan,2011,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,40517-042,,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
40517-013,0254,Japan,2011,2453/2454/0253/0254,Public-Private Infrastructure Development Facility,40517-042,,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY
42171-013,2756,Japan,2011,2756,Khulna Water Supply,not in CoMs,,not in CoMs
42122-013,2761,Japan,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
41509-013,2785,Japan,2011,2785/0259/8274,Rural Primary Health Services Delivery,not in CoMs,,not in CoMs
41509-013,0259,Japan,2011,2785/0259/8274,Rural Primary Health Services Delivery,41509-013,,RURAL PRIMARY HEALTH SERVICES DELIVERY PROJECT
41509-013,8274,Japan,2011,2785/0259/8274,Rural Primary Health Services Delivery,41509-013,,Rural Primary Health Services Delivery Project
42149-012,9153,Japan,2011,9153,Institutional Support for Migrant Workers' Remittance,42149-012,,INSTITUTIONAL SUPPORT FOR MIGRANT WORKERS' REMITTA
44082-012,9154,Japan,2011,9154,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi,44082-012,,IMPRVNG CB RURAL WSS IN POST-CONFLCT AREAS OF JAFF
44134-012,9155,Japan,2011,9155,Advancing Economic Opportunities of Women and Girls,44134-012,,ADVANCING ECONOMIC OPPORTUNITIES OF WOMEN AND GIRL
44363-012,9156,Japan,2011,9156, Improving Market Access for the Poor in Central Cambodia,44363-012,,IMPROVING MARKET ACCESS FOR THE POOR IN CENTRAL CA
43103-012,9157,Japan,2011,9157,Reducing Child Malnutrition through Social Protection,43103-012,,REDUCING CHILD MALNUTRITION THROUGH SOCIAL PROTECT
44135-012,9158,Japan,2011,9158," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka",44135-012,,IMPRVNG GENDER-INCL ACCESS TO CLEAN&RENEWABLE ENER
42321-012,9159,Japan,2011,9159,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,42321-012,,SPPRT FR TARGETED & SUSTAINABLE DEV'L PROGRMS FR H
44129-012,9160,Japan,2011,9160,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle,44129-012,,DEVLPNG SUSTNBLE ALTRNTVE LVLIHDS N COASTAL FISHIN
39595-033,2610,Korea,2011,2610,Mong Duong 1 Thermal Power ﾖ Tranche 2,not in CoMs,,not in CoMs
41462-013,2826,Korea,2011,2826,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang",not in CoMs,,not in CoMs
41433-013,2789,NDF,2011,2789,Transport Connections in Northern Mountainous Provinces,not in CoMs,,not in CoMs
42392-013,2820,New Zealand,2011,2820/3249/0273/0427,Interisland Shipping Support,not in CoMs,,not in CoMs
42392-013,3249,New Zealand,2011,2820/3249/0273/0427,Interisland Shipping Support,not in CoMs,,not in CoMs
42392-013,0273,New Zealand,2011,2820/3249/0273/0427,Interisland Shipping Support,42392-013,,PART ADMIN-INTERISLAND SHIPPING SUPPORT PROJECT
42392-013,0427,New Zealand,2011,2820/3249/0273/0427,Interisland Shipping Support,42392-013,,PART ADMIN INTERISLAND SHIPPING SUPPORT PROJECT -
35174-082,0289,Norway,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
38357-013,2217,OFID,2011,2217/2767/8252,National Highways Sector,not in CoMs,,not in CoMs
38357-013,2767,OFID,2011,2217/2767/8252,National Highways Sector,not in CoMs,,not in CoMs
38357-013,8252,OFID,2011,2217/2767/8252,National Highways Sector,38357-013,,NATIONAL HIGHWAYS SECTOR PROJECT
38426-023,2796,OFID,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),not in CoMs,,not in CoMs
38426-023,0267,OFID,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),not in CoMs,,not in CoMs
38426-023,8257,OFID,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),38426-023,,DECENTRALIZED RURAL INFRASTRUCTURE & LIVELIHOOD PROJ-ADD'L FINCNG
44281-013,2718,PRIF,2011,2718,Road Rehabilitation,not in CoMs,,not in CoMs
43309-013,2839,SCF-PPCR,2011,2839/G0278/8254,Provincial Roads Improvement,not in CoMs,,not in CoMs
43309-013,8254,SCF-PPCR,2011,2839/G0278/8254,Provincial Roads Improvement,43309-013,,PROVINCIAL ROADS IMPROVEMENT PROJECT
42122-013,2761,Sweden,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
38426-023,2796,Switzerland,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),not in CoMs,,not in CoMs
38426-023,0267,Switzerland,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),not in CoMs,,not in CoMs
38426-023,8257,Switzerland,2011,2796/0267/8257,Decentralized Rural Infrastructure and Livelihood (Additional Financing),38426-023,,DECENTRALIZED RURAL INFRASTRUCTURE & LIVELIHOOD PROJ-ADD'L FINCNG
42122-013,2761,UNICEF,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
35174-082,0289,UNICEF,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
42122-013,2761,U.K.,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
38097-013,9135,U.K.,2011,9135/0277/0382/0406,Establishing Women and Children Service Centers (Supplementary),38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
38097-013,0277,U.K.,2011,9135/0277/0382/0406,Establishing Women and Children Service Centers (Supplementary),38097-012,,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT
38097-013,0382,U.K.,2011,9135/0277/0382/0406,Establishing Women and Children Service Centers (Supplementary),38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD
38097-013,0406,U.K.,2011,9135/0277/0382/0406,Establishing Women and Children Service Centers (Supplementary),38097-012,,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS
35174-082,0289,U.K.,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
41509-013,2785,WHO,2011,2785/0259/8274,Rural Primary Health Services Delivery,not in CoMs,,not in CoMs
41509-013,0259,WHO,2011,2785/0259/8274,Rural Primary Health Services Delivery,41509-013,,RURAL PRIMARY HEALTH SERVICES DELIVERY PROJECT
41509-013,8274,WHO,2011,2785/0259/8274,Rural Primary Health Services Delivery,41509-013,,Rural Primary Health Services Delivery Project
44281-013,2718,World Bank,2011,2718,Road Rehabilitation,not in CoMs,,not in CoMs
42122-013,2761,World Bank,2011,2761,Third Primary Education Development,not in CoMs,,not in CoMs
35174-082,0289,World Bank,2011,G0272/0289,School Sector Program,35174-082,,SCHOOL SECTOR PROGRAM
40540-014,2949,ADFD,2012,2949/8263,South Asia Subregional Economic Cooperation Road Connectivity,not in CoMs,,not in CoMs
40540-014,8263,ADFD,2012,2949/8263,South Asia Subregional Economic Cooperation Road Connectivity,40540-014,,SASEC ROAD CONNECTIVITY PROJECT
42095-033,0244,AITF,2012,0244/0291,Road Network Development Investment Program - Tranche 2,not in CoMs,,not in CoMs
42095-033,0291,AITF,2012,0244/0291,Road Network Development Investment Program - Tranche 2,42095-032,,MFF:ROAD NETWORK DEVELOPMENT INVESTMENT PROGRAM-TR
40263-033,0127,Australia,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT
40263-033,0292,Australia,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-
40263-033,0293,Australia,2012,0127/0292/0293,Domestic Maritime Support (Sector) (Supplementary),40263-022,,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC
37269-023,2288,Australia,2012,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),not in CoMs,,not in CoMs
37269-023,2602,Australia,2012,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),not in CoMs,,not in CoMs
37269-023,0187,Australia,2012,2288/2602/0187,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),37269-023,,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA PROJ
46009-003,2852,Australia,2012,2852/3125/0285,Flood Damage Emergency Reconstruction,not in CoMs,,not in CoMs
46009-003,3125,Australia,2012,2852/3125/0285,Flood Damage Emergency Reconstruction,not in CoMs,,not in CoMs
46009-003,0285,Australia,2012,2852/3125/0285,Flood Damage Emergency Reconstruction,46009-001,,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT
35174-082,0289,Australia,2012,G0272/0289,School Sector Program (Supplementary),35174-082,,SCHOOL SECTOR PROGRAM
39581-012,0049,"Australia,Australia",2012,0049/50,Road Improvement (Sector) (3rd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (AUS)
39581-012,0050,"Australia,Australia",2012,0049/50,Road Improvement (Sector) (3rd Supplementary),39581-012,,ROAD IMPROVEMENT (SECTOR) PROJECT (NZ)
43576-013,0303,CEF-CEFPF,2012,0303/2892/2893,Clean Energy and Network Efficiency Improvement,43576-013,,CLEAN ENERGY AND NETWORK EFFICIENCY IMPROVEMENT PR
43576-013,2892,CEF-CEFPF,2012,0303/2892/2893,Clean Energy and Network Efficiency Improvement,not in CoMs,,not in CoMs
43576-013,2893,CEF-CEFPF,2012,0303/2892/2893,Clean Energy and Network Efficiency Improvement,not in CoMs,,not in CoMs
43207-013,2964,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,not in CoMs,,not in CoMs
43207-013,0326,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,43207-013,,MARKET TRANSFORMATION THRU INTRO OF ENERGY-EFFICIE
43207-013,8261,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,43207-013,,MARKET TRANSFORMATION THRU INTRO OF ENERG-EFFI ELECT VEHICLES PRO
43207-013,2964,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,not in CoMs,,not in CoMs
43207-013,0326,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,43207-013,,MARKET TRANSFORMATION THRU INTRO OF ENERGY-EFFICIE
43207-013,8261,CTF,2012,2964/0326/8261,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,43207-013,,MARKET TRANSFORMATION THRU INTRO OF ENERG-EFFI ELECT VEHICLES PRO
46145-001,2916,EBRD,2012,2916,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement,not in CoMs,,not in CoMs
39500-033,2956,EIB,2012,2956,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,not in CoMs,,not in CoMs
42378-015,2966,EIB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,not in CoMs,,not in CoMs
42378-015,0320,EIB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,42378-015,,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM
42378-015,2966,EIB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,not in CoMs,,not in CoMs
42378-015,0320,EIB,2012,2966/0320,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,42378-015,,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM
42169-013,0287,France,2012,2862-64/0287/8270,Greater Dhaka Sustainable Urban Transport,42169-013,,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT
42169-013,8270,France,2012,2862-64/0287/8270,Greater Dhaka Sustainable Urban Transport,42169-013,,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT
42039-035,2959,France,2012,2959,Power Transmission Investment Program - Tranche 2,not in CoMs,,not in CoMs
42186-014,2455,GAFSP,2012,2455/0116/0302,Emergency Food Assistance - Additional Financing,not in CoMs,,not in CoMs
42186-014,0116,GAFSP,2012,2455/0116/0302,Emergency Food Assistance - Additional Financing,not in CoMs,,not in CoMs
42186-014,0302,GAFSP,2012,2455/0116/0302,Emergency Food Assistance - Additional Financing,42186-014,,EMERGENCY FOOD ASSISTANCE PROJECT-ADDITIONAL FINAN
40685-023,2838,GEF,2012,2838/0311,Jiangsu Yancheng Wetlands Protection - Additional Financing,not in CoMs,,not in CoMs
40685-023,0311,GEF,2012,2838/0311,Jiangsu Yancheng Wetlands Protection - Additional Financing,40685-013,,JINGSU YANCHENG WETLANDS PROTECTION PROJECT
42169-013,0287,GEF,2012,2862-64/0287/8270,Greater Dhaka Sustainable Urban Transport,42169-013,,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT
42169-013,8270,GEF,2012,2862-64/0287/8270,Greater Dhaka Sustainable Urban Transport,42169-013,,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT
39256-024,2934,GEF,2012,2934/2935/0315,Urban Transport Development Investment Program - Tranche 1,not in CoMs,,not in CoMs
39256-024,2935,GEF,2012,2934/2935/0315,Urban Transport Development Investment Program - Tranche 1,not in CoMs,,not in CoMs
39256-024,0315,GEF,2012,2934/2935/0315,Urban Transport Development Investment Program - Tranche 1,39256-024,,MFF:URBAN TRANSPORT DEVELOPMENT INVESTMENT PROGRAM
41220-013,2957,GEF,2012,2957/0324-0325/8266,Integrated Natural Resources and Environmental Management,not in CoMs,,not in CoMs
41220-013,8266,GEF,2012,2957/0324-0325/8266,Integrated Natural Resources and Environmental Management,41220-013,,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MANAGEMENT PROJECT
44037-014,2980,GEF,2012,2980/0331,Shaanxi Weinan Luyang Integrated Saline Land Management,not in CoMs,,not in CoMs
44037-014,0331,GEF,2012,2980/0331,Shaanxi Weinan Luyang Integrated Saline Land Management,44037-014,,SHAANXI WEINAN LUYANG INTEGRATED SALINE LAND MANAG
45084-002,2913,Germany,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,not in CoMs,,not in CoMs
45084-002,0310,Germany,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,8258,Germany,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
41627-053,2914,Germany,2012,2914,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,not in CoMs,,not in CoMs
39500-033,2956,Germany,2012,2956,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,not in CoMs,,not in CoMs
45084-002,2913,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,not in CoMs,,not in CoMs
45084-002,0310,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,8258,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,45084-002,,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT
45084-002,2913,IFAD,2012,2913/0310/8258,Coastal Climate-Resilient Infrastructure,not in CoMs,,not in CoMs
