Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval
1976,0176,INO,South East Sulawesi Transmigration Area Development,PPTA,E,PS,Multisector,Multilateral,Multidonor,224.87,UNDP,,26-Aug-1976
1976,0180,BAN,Second Fisheries Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,200.00,EC,,18-Nov-1976
1976,0181,BAN,Railway,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,724.50,UNDP,,16-Nov-1976
1976,0187,BAN,Jute Seed,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,905.31",UNDP,,13-Dec-1976
1977,0190,MYA,Palm Oil,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,215.00,EC,18-Dec-1980,24-Mar-1977
1977,0191,SRI,Sevanagala Sugar Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,EC,,14-Apr-1977
1977,0192,NEP,Agricultural Credit Training Institute,ADTA,E,PS,Finance,Multilateral,Multidonor,280.00,EC,,10-May-1977
1977,0194,THA,Inland Fisheries Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,146.00,EC,,19-May-1977
1977,0199,INO,Bali Irrigation,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,100.00,EC,,21-Jun-1977
1977,0203,PHI,Aerial Mapping for Second Mindanao Irrigation Study,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,200.00,EC,,01-Sep-1977
1977,0208,NEP,Sagarmatha Integrated Rural Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,330.00,EC,,27-Oct-1977
1977,0215,BAN,Pabna Irrigation and Rural Development (Phase I),PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,220.00,EC,,24-Nov-1977
1977,0216,BAN,Chittagong Hill Tracts Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,150.00,UNDP,,24-Nov-1977
1977,0220,BAN,Rural Vocational Training Institutes,PPTA,E,PS,Education,Multilateral,Multidonor,147.00,EC,,13-Dec-1977
1977,0227,NEP,Sikta Irrigation and Rural Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,620.00,UNDP,,22-Dec-1977
1978,0000,INO,South East Sulawesi Transmigration and Area Development,PPTA,E,PS,Multisector,Multilateral,Multidonor,"2,370.00",EC,,22-Dec-1978
1978,0256,THA,Kud Multi-Purpose,PPTA,J,PS,Multisector,Multilateral,Multidonor,198.17,UNDP,,14-Nov-1978
1978,0271,BAN,District Towns Water Supply,PPTA,J,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,222.61,UNDP,,18-Dec-1978
1978,0273,NEP,Second Integrated Rural Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,EC,,20-Dec-1978
1978,0281,LAO,Forestry Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,842.20,UNDP,,24-Oct-1978
1978,9999,KOR,Korea Institute of Energy and Resources,ADTA,E,PS,Education,Multilateral,Multidonor,860.00,UNDP,,01-Dec-1978
1979,0276,SRI,Integrated Tea Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,98.00,EC,,12-Feb-1979
1979,0277,LAO,Agricultural Support Facilities,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,66.00,EC,,13-Feb-1979
1979,0279,BAN,Railway Development,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,289.50,UNDP,,15-Feb-1979
1979,0282,BAN,Study of Integrated Urban Dev of Dacca Metropolitan Area,PPTA,J,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,360.13,UNDP,,06-Mar-1979
1979,0283,MYA,Mandalay Water Supply,PPTA,J,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,90.00,UNDP,,08-Mar-1979
1979,0285,BAN,Tubewell,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,315.00,EC,,22-Mar-1979
1979,0293,PHI,Smallholder Dairy Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,90.00,IFAD,,17-May-1979
1979,0296,BAN,Chittagong Hill Tracts Development,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,705.00,UNDP,,28-Jun-1979
1979,0300,SRI,Anuradhapura Dry Zone Agriculture,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,300.00,EC,,05-Jul-1979
1979,0303,MYA,Post-Harvest Rice Technology Center,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,150.00,EC,,30-Aug-1979
1979,0310,LAO,Casier Sud Pioneer Agricultural,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,860.00,UNDP,,29-Oct-1979
1979,0311,LAO,Water Resources Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,310.00,IFAD,,29-Oct-1979
1979,0313,THA,Energy Master Plan,ADTA,J,PS,Energy,Multilateral,Multidonor,910.00,UNDP,,13-Nov-1979
1979,0322,NEP,Hill Irrigation (Western Region),PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,UNDP,,12-Dec-1979
1979,0326,PHI,Palawan Integrated Area Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,300.00,UNDP,,17-Dec-1979
1979,0326,PHI,Palawan Integrated Area Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,EC,,17-Dec-1979
1979,0329,NEP,Livestock Development,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,700.00,UNDP,,19-Dec-1979
1979,0331,NEP,Second Livestock Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,170.00,EC,,19-Dec-1979
1979,0332,MYA,Pump Irrigation and Area Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,285.00,UNDP,,19-Dec-1979
1979,0333,NEP,Third Power,ADTA,E,PS,Energy,Multilateral,Multidonor,624.00,UNDP,,21-Dec-1979
1979,0334,NEP,Mulghat Hydropower,PPTA,E,PS,Energy,Multilateral,Multidonor,920.00,UNDP,,21-Dec-1979
1980,0339,PAK,Agro-Technical Education,PPTA,E,PS,Education,Multilateral,Multidonor,147.00,EC,,28-Feb-1980
1980,0340,NEP,Small Farmers Group Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,98.00,UNDP,,07-Mar-1980
1980,0341,INO,Palm Oil Processing,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,98.00,EC,,14-Mar-1980
1980,0342,LAO,Agricultural Support Facilities,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,631.58,UNDP,,20-Mar-1980
1980,0348,MYA,Yenwe Multipurpose,PPTA,E,PS,Multisector,Multilateral,Multidonor,370.00,UNDP,,08-Apr-1980
1980,0355,INO,Aceh and North Sumatra Livestock Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,170.00,EC,,26-May-1980
1980,0356,THA,Medium-Scale Irrigation Package,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,EC,,10-Jun-1980
1980,0361,BAN,Second Agricultural Credit,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,260.00,UNDP,,29-Jul-1980
1980,0365,NEP,Aquaculture Development,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,139.97",UNDP,,28-Aug-1980
1980,0368,INO,Sumatra Fisheries Development,ADTA,C,C,Agriculture and Natural Resources,Bilateral,Single Donor,200.00,SWI,09-Oct-1980,23-Oct-1980
1980,0371,SRI,Livestock Development,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,200.00,SWI,09-Oct-1980,03-Nov-1980
1980,0375,NEP,Command Area Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,UNDP,,18-Nov-1980
1980,0376,MYA,Rangoon-Prome Road Improvement,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,95.00,UNDP,,21-Nov-1980
1980,0378,NEP,Fourth Agricultural Credit,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,100.00",UNDP,,09-Dec-1980
1980,0379,NEP,Hill Irrigation,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,900.00,UNDP,,09-Dec-1980
1980,0387,SRI,Anuradhapura Dry Zone Agriculture,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,200.00,SWI,31-Oct-1980,15-Dec-1980
1980,0388,NEP,Second Hill Irrigation,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,530.00,UNDP,,09-Dec-1980
1980,0389,BAN,Small Scale Irrigation Sector,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,450.00,SWI,26-Nov-1980,18-Dec-1980
1980,0394,PNG,Rural Health Services,PPTA,E,C,Health and Social Protection,Bilateral,Single Donor,170.00,SWI,26-Nov-1980,31-Dec-1980
1981,0397,PAK,Balochistan Fisheries Development,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,350.00,SWI,22-Dec-1980,23-Jan-1981
1981,0399,NEP,Mini Hydropower,ADTA,E,PS,Energy,Multilateral,Multidonor,750.00,UNDP,,21-Apr-1981
1981,0400,THA,Agricultural Education,PPTA,E,PS,Education,Multilateral,Multidonor,230.00,EC,,22-Apr-1981
1981,0401,INO,Small Towns Kampung Improvement,PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,180.00,UNDP,,24-Apr-1981
1981,0404,MYA,Pump Irrigation and Area Development II,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,UNDP,,23-Jun-1981
1981,0405,SIN,Vocational and Industrial Training,ADTA,E,PS,Education,Multilateral,Multidonor,542.72,UNDP,,24-Feb-1981
1981,0408,NEP,Science Education,PPTA,E,C,Education,Bilateral,Single Donor,155.00,SWI,13-Jul-1981,27-Jul-1981
1981,0409,PHI,Road Improvement,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,810.00,UNDP,,29-Jul-1981
1981,0410,SRI,Second Fisheries Development,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,360.00,SWI,31-Jul-1981,20-Aug-1981
1981,0414,NEP,Feeder Roads Improvement,PPTA,E,C,Transport and ICT,Bilateral,Single Donor,250.00,SWI,13-Jul-1981,22-Sep-1981
1981,0417,NEP,Fourth Power,ADTA,E,PS,Energy,Multilateral,Multidonor,"1,000.00",UNDP,,08-Oct-1981
1981,0421,BAN,Second Tubewell Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,400.00,UNDP,,15-Oct-1981
1981,0424,INO,Sumatra Livestock Development,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,240.00,SWI,11-Nov-1981,12-Nov-1981
1981,0435,BAN,Community Forestry,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,840.00",UNDP,,03-Dec-1981
1981,0439,NEP,Command Area Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,200.00",UNDP,,15-Dec-1981
1981,0440,NEP,Second Command Area Development,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,445.00,SWI,26-Oct-1981,15-Dec-1981
1981,0442,BAN,Feeder Roads Improvement,PPTA,E,C,Transport and ICT,Bilateral,Single Donor,310.00,SWI,09-Nov-1981,22-Dec-1981
1981,0444,MAL,Public Low Cost Housing,PPTA,J,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,350.00,UNDP,,23-Dec-1981
1981,5086,REG,Fourth Regional Program on Project Implementation & Supervision,RETA,E,C,Public Sector Management,Bilateral,Single Donor,100.00,SWI,30-Apr-1981,21-Sep-1981
1982,0454,BAN,Ganges-Kobadak Rehabilitation and Improvement,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,341.00,UNDP,,30-Mar-1982
1982,0456,BAN,Energy Planning,ADTA,J,PS,Energy,Multilateral,Multidonor,"1,050.00",UNDP,,15-Apr-1982
1982,0466,MYA,Second Forestry,ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,650.00,UNDP,,29-Jun-1982
1982,0475,PHI,Sorsogon Integrated Area,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,350.00,EC,,19-Aug-1982
1982,0476,THA,Second Medium-Scale Irrigation Package,PPTA,C,C,Agriculture and Natural Resources,Bilateral,Single Donor,380.00,SWI,10-May-1982,19-Aug-1982
1982,0487,BAN,Power System Master Plan Study,ADTA,J,PS,Energy,Multilateral,Multidonor,400.00,UNDP,,21-Oct-1982
1982,0490,NEP,Second Hill Irrigation,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,370.00",UNDP,,04-Nov-1982
1982,0499,THA,Songkhla Lake Basin Planning Study,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,500.00,UNDP,,21-Dec-1982
1983,0512,SRI,Walawe Irrigation Rehabilitation and Improvement,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,248.00,EC,,09-May-1983
1983,0517,NEP,Rural Cooperatives,PPTA,E,C,Finance,Bilateral,Single Donor,250.00,SWI,06-Jun-1983,27-May-1983
1983,0526,BAN,Institutional Assessment of BSB/BSRS,ADTA,E,PS,Finance,Multilateral,Multidonor,"1,500.00",UNDP,,14-Jul-1983
1983,0537,NEP,Eastern Terai Irrigation,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,560.00,SWI,19-Jul-1983,26-Aug-1983
1983,0539,PAK,South Rohri On-Farm Water Management,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,400.00,SWI,,08-Sep-1983
1983,0543,PAK,Small Dams,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,390.00,SWI,31-Aug-1983,13-Oct-1983
1983,0548,BAN,District Towns Water Supply II,PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,520.00,UNDP,,31-Oct-1983
1983,0556,MYA,Myanma Agricultural Bank & for Agr. Mechanization,ADTA,J,PS,Finance,Multilateral,Multidonor,"1,500.00",UNDP,,01-Dec-1983
1983,0568,BAN,Ganges-Kobadak Irrigation Rehabilitation,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,400.00",UNDP,,14-Dec-1983
1983,0569,BAN,Management of Medical Supplies,ADTA,E,PS,Health and Social Protection,Multilateral,Multidonor,210.00,UNDP,,14-Dec-1983
1983,0573,BHU,Irrigation Rehabilitation,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,298.00,SWI,02-Mar-1984,20-Dec-1983
1983,5121,REG,ASEAN Coal Development,RETA,J,PS,Industry and Trade,Multilateral,Multidonor,250.00,UNDP,,24-Mar-1983
1983,5126,REG,Joint ADB/ILO (APSDEP) Reg. Sem. on the Training of Instructor Trainers,RETA,E,C,Education,Bilateral,Single Donor,200.00,SWI,06-Jun-1983,22-Jun-1983
1983,5143,REG,Regional Training Program in Vegetable Production and Research,RETA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,SWI,21-Oct-1983,20-Dec-1983
1984,0567,BAN,Inter-Modal Transport Study,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,358.00,UNDP,,09-Jan-1984
1984,0581,MYA,Oilseed Production and Processing,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,450.00,UNDP,,05-Jan-1984
1984,0596,PAK,Left Bank Outfall Drain - Stage 1,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,250.00,EC,,15-May-1984
1984,0606,NEP,Cotton Development,PPTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,100.00,UNDP,,08-Jun-1984
1984,0607,BAN,Second Railway,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,990.00,UNDP,01-Jul-1989,26-Jun-1984
1984,0625,MAL,Aquaculture Development,PPTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,330.00,EC,,04-Sep-1984
1984,0627,PNG,Rural Development,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,350.00,SWI,10-Apr-1984,26-Sep-1984
1984,0633,INO,Manpower Training,PPTA,E,PS,Public Sector Management,Multilateral,Multidonor,150.00,EC,,18-Oct-1984
1984,0637,SAM,Fifth Development Bank of Western Samoa,ADTA,J,PS,Finance,Multilateral,Multidonor,50.00,UNDP,,15-Nov-1984
1984,0639,PAK,Maintenance and Repair of Medical Equipment,ADTA,E,PS,Health and Social Protection,Multilateral,Multidonor,500.00,UNDP,,29-Nov-1984
1984,0656,LAO,Vientiane Plain Road Improvement,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,490.00,UNDP,,21-Dec-1984
1984,0657,THA,Provincial Towns Water Supply,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,SWI,10-Apr-1984,26-Dec-1984
1985,0663,BAN,Bangladesh Krishi Bank,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,300.00,UNDP,,26-Jan-1985
1985,0665,BAN,Khulna Coastal Embankment Rehabilitation,PPTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,429.00,SWI,09-Jul-1984,09-Jan-1985
1985,0668,BAN,Second Livestock Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"3,500.00",UNDP,,05-Feb-1985
1985,0670,NEP,Master Plan for Forestry Development,ADTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"1,100.00",FIN,10-Apr-1985,20-Feb-1985
1985,0675,THA,Shelter Sector (Including Mgt. Support & Urban Land Mgt.Study),ADTA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,576.00,SWI,02-Aug-1983,23-Apr-1985
1985,0689,NEP,Second Small Farmers Development (SFDP II),ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,100.00,IFAD,04-Nov-1985,22-Jul-1985
1985,0691,BAN,Road Improvement,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,"1,580.00",UNDP,,30-Jul-1985
1985,0706,BHU,Manpower Development and Training,ADTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,350.00,SWI,09-Jul-1985,17-Sep-1985
1985,0708,PAK,Master Plan for Barani Area Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,300.00",UNDP,,15-Oct-1985
1985,0709,NEP,Cotton Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,400.00",UNDP,,24-Oct-1985
1985,0710,NEP,Second Livestock Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,600.00",UNDP,,24-Oct-1985
1985,0714,BAN,East Zone Thermal Power,PPTA,E,PS,Energy,Multilateral,Multidonor,"1,355.00",UNDP,,31-Oct-1985
1985,0716,THA,Agricultural Development Information Program,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,298.00,SWI,10-Apr-1984,13-Nov-1985
1985,0717,SAM,Appraisal of Sub-projects under Multiproject,ADTA,J,PS,Multisector,Multilateral,Multidonor,250.00,UNDP,,19-Nov-1985
1985,0740,MYA,Provincial & Small Towns Water Supply,PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,270.00,UNDP,,31-Dec-1985
1986,0745,MYA,Edible Oil,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,680.00,UNDP,,04-Feb-1986
1986,0747,SRI,Subsidiary Crops Production and Processing,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,250.00,SWI,09-Jul-1985,06-Feb-1986
1986,0759,LAO,Southern Area Development Master Plan,ADTA,J,PS,Multisector,Multilateral,Multidonor,600.00,UNDP,,13-Mar-1986
1986,0787,BAN,Rail Container Transport Study,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,345.00,UNDP,,25-Jul-1986
1986,0789,THA,Samutprakarn Industrial Pollution Control & Management,ADTA,J,PS,Water and Other Municipal Infrastructure and Services,Multilateral,Multidonor,95.00,UNDP,,05-Aug-1986
1986,0797,LAO,Implementation of Second Road Improvement,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,"1,200.00",UNDP,,16-Sep-1986
1986,0800,NEP,Second Aquaculture Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,960.00,UNDP,,09-Oct-1986
1986,0801,NEP,Tea Development,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,50.00,SWI,23-Sep-1986,09-Oct-1986
1986,0812,SRI,Institution Building (Irrigation Dept & Irrigation Management),ADTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,400.00,SWI,18-Aug-1986,30-Oct-1986
1986,0812,SRI,Institution Building (Irrigation Dept & Irrigation Management),ADTA,J,PS,Agriculture and Natural Resources,Multilateral,Multidonor,150.00,UNDP,,30-Oct-1986
1986,0819,NEP,Program Budgeting & Project Monitoring Systems,ADTA,E,PS,Public Sector Management,Multilateral,Multidonor,75.00,UNDP,,24-Nov-1986
1986,0820,PHI,National Road Improvement,PPTA,J,C,Transport and ICT,Bilateral,Single Donor,500.00,SWI,21-Oct-1986,25-Nov-1986
1986,0820,PHI,National Road Improvement,PPTA,J,PS,Transport and ICT,Multilateral,Multidonor,550.00,UNDP,,25-Nov-1986
1986,0825,BHU,Highland Livestock Development,ADTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"2,800.00",NOR,23-Oct-1986,02-Dec-1986
1986,0827,PAK,Inst. Bldg for the Agricultural Dev.Bank of Pakistan,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,960.00,UNDP,,04-Dec-1986
1986,0831,BAN,Khulna Coastal Embankment Rehabilitation,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,200.00",UNDP,,11-Dec-1986
1986,0835,PAK,Tariff Study on WAPDA/KESC Integration,ADTA,E,PS,Energy,Multilateral,Multidonor,475.00,EC,,18-Dec-1986
1986,5224,REG,Regional Community Forestry Training Center at Kasetsart University,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,"1,170.00",SWI,18-Mar-1986,17-Oct-1986
1987,0716,THA,Agricultural Development Information Program ,ADTA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,40.00,SWI,14-Oct-1987,23-Sep-1987
1987,0845,BAN,Secondary Science Education Sector,ADTA,E,PS,Education,Multilateral,Multidonor,"2,020.00",UNDP,,09-Jan-1987
1987,0849,BAN,Third Natural Gas Development,PPTA,E,PS,Energy,Multilateral,Multidonor,230.00,UNDP,01-Mar-1991,22-Jan-1987
1987,0851,NEP,Improving the Prog Budgeting & Proj. Moni. System,ADTA,E,PS,Public Sector Management,Multilateral,Multidonor,"1,501.00",UNDP,,26-Jan-1987
1987,0854,BAN,Limestone Development Program,PPTA,E,PS,Industry and Trade,Multilateral,Multidonor,350.00,UNDP,22-Jan-1987,22-Jan-1987
1987,0857,INO,Telang and Saleh Drainage Improvement,PPTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,NET,23-Dec-1986,23-Feb-1987
1987,0885,BAN,Mongla Port,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,399.00,UNDP,,25-Jun-1987
1987,0886,MYA,Institutional Strengthening within the Ministry of Energy,ADTA,J,PS,Energy,Multilateral,Multidonor,300.00,UNDP,,29-Jun-1987
1987,0896,BAN,Institutional Support for Road & Road Transport Development,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,"1,200.00",UNDP,,27-Aug-1987
1987,0898,NEP,Secondary Crops Development,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,100.00,SWI,02-Sep-1987,25-Aug-1987
1987,0904,NEP,Improving Govt Financial Acctg & Auditing Procedures,ADTA,J,PS,Public Sector Management,Multilateral,Multidonor,200.00,UNDP,,05-Oct-1987
1987,0905,PRC,China Investment Bank,ADTA,E,PS,Finance,Multilateral,Multidonor,400.00,UNDP,,08-Oct-1987
1987,0908,BAN,Second Rubber Development,PPTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,179.00,NOR,11-Sep-1987,14-Oct-1987
1987,0909,LAO,Xeset Hydropower,ADTA,E,PS,Energy,Multilateral,Multidonor,"1,760.00",UNDP,,27-Oct-1987
1987,0916,PAK,Swabi Salinity Control and Reclamation,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,355.00,SWI,22-Sep-1987,04-Nov-1987
1987,0919,NEP,Hill Fruit Development,ADTA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,"1,040.00",UNDP,,10-Nov-1987
1987,0924,LAO,Implementation of Third Road Improvement,ADTA,E,PS,Transport and ICT,Multilateral,Multidonor,"1,000.00",UNDP,,24-Nov-1987
