,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
68,Norway,2007.0,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
69,Norway,2007.0,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
83,Australia,2008.0,0049/50,0049,39581-012,Road Improvement (Sector) (Supplementary)
84,Australia,2008.0,0049/50,0050,39581-012,Road Improvement (Sector) (Supplementary)
95,EC,2008.0,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector)
96,EC,2008.0,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector)
97,EC,2008.0,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector)
109,IsDB,2008.0,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
110,IsDB,2008.0,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
111,IsDB,2008.0,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
112,IsDB,2008.0,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
187,Australia,2009.0,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
188,Australia,2009.0,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
189,Australia,2009.0,0049/50,0049,39581-012,Road Improvement (Sector) (2nd Supplementary)
190,Australia,2009.0,0049/50,0050,39581-012,Road Improvement (Sector) (2nd Supplementary)
197,Australia,2009.0,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II (Supplementary)
198,Australia,2009.0,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II (Supplementary)
199,Australia,2009.0,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II (Supplementary)
200,Australia,2009.0,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II (Supplementary)
201,Australia,2009.0,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II (Supplementary)
202,Australia,2009.0,2288/2602/0187,2288,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
203,Australia,2009.0,2288/2602/0187,2602,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
204,Australia,2009.0,2288/2602/0187,0187,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (Supplementary)
222,France,2009.0,2552/2553/8246,2552,42051-023,Energy Efficiency Investment Program - Tranche I
223,France,2009.0,2552/2553/8246,2553,42051-023,Energy Efficiency Investment Program - Tranche I
224,France,2009.0,2552/2553/8246,8246,42051-023,Energy Efficiency Investment Program - Tranche I
260,Japan,2009.0,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers
261,Japan,2009.0,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers
262,Japan,2009.0,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers
263,Japan,2009.0,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers
278,MDTF-WFPF,2009.0,2550/0159,2550,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
279,MDTF-WFPF,2009.0,2550/0159,0159,42382-013,Liaoning Small Cities and Towns Development Demonstration Sector
282,MDTF-WFPF,2009.0,2606,2606,42383-023,Shanxi Small Cities and Towns Development Demonstration Sector
319,Australia,2010.0,2686/0226/0425,2686,44304-014,Microfinance Expansion
320,Australia,2010.0,2686/0226/0425,0226,44304-014,Microfinance Expansion
321,Australia,2010.0,2686/0226/0425,0425,44304-014,Microfinance Expansion
355,International Federation of Red Cross and Red Crescent Society,2010.0,2626/0246,2626,44065-013,Conflict-Affected Region Emergency
356,International Federation of Red Cross and Red Crescent Society,2010.0,2626/0246,0246,44065-013,Conflict-Affected Region Emergency
375,Korea,2010.0,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
376,Korea,2010.0,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
377,Korea,2010.0,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
378,Korea,2010.0,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor (Cambodia and Viet Nam) (Supplementary)
397,PRIF,2010.0,2718,2718,44281-013,Road Rehabilitation
400,World Bank,2010.0,2718,2718,44281-013,Road Rehabilitation
409,Australia,2011.0,2761,2761,42122-013,Third Primary Education Development
413,Australia,2011.0,2795/0263/0387,2795,43072-013,South Tarawa Sanitation Improvement Sector
414,Australia,2011.0,2795/0263/0387,0263,43072-013,South Tarawa Sanitation Improvement Sector
415,Australia,2011.0,2795/0263/0387,0387,43072-013,South Tarawa Sanitation Improvement Sector
422,Australia,2011.0,G0272/0289,0289,35174-082,School Sector Program
423,Canada,2011.0,2761,2761,42122-013,Third Primary Education Development
428,Denmark,2011.0,G0272/0289,0289,35174-082,School Sector Program
429,EC,2011.0,2761,2761,42122-013,Third Primary Education Development
431,EC,2011.0,G0272/0289,0289,35174-082,School Sector Program
432,EIB,2011.0,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
434,Finland,2011.0,G0272/0289,0289,35174-082,School Sector Program
435,France,2011.0,2025/2747,2025,29296-013,Phuoc Hoa Water Resources (Supplementary)
436,France,2011.0,2025/2747,2747,29296-013,Phuoc Hoa Water Resources (Supplementary)
437,France,2011.0,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
438,France,2011.0,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
439,France,2011.0,2741,2741,40080-013,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section)
441,FTI,2011.0,G0272/0289,0289,35174-082,School Sector Program
444,Germany,2011.0,2695/0323,2695,39298-013,City Region Development
445,Germany,2011.0,2695/0323,0323,39298-013,City Region Development
446,IsDB,2011.0,2769,2769,37113-013,Power System Efficiency Improvement
447,IsDB,2011.0,2817,2817,38479-034,Regional Roads Development
448,Japan,2011.0,2453/2454/0253/0254,2453,40517-013,Public-Private Infrastructure Development Facility
449,Japan,2011.0,2453/2454/0253/0254,2454,40517-013,Public-Private Infrastructure Development Facility
450,Japan,2011.0,2453/2454/0253/0254,0253,40517-013,Public-Private Infrastructure Development Facility
451,Japan,2011.0,2453/2454/0253/0254,0254,40517-013,Public-Private Infrastructure Development Facility
452,Japan,2011.0,2756,2756,42171-013,Khulna Water Supply
453,Japan,2011.0,2761,2761,42122-013,Third Primary Education Development
454,Japan,2011.0,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
455,Japan,2011.0,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
456,Japan,2011.0,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
457,Japan,2011.0,9153,9153,42149-012,Institutional Support for Migrant Workers' Remittance
458,Japan,2011.0,9154,9154,44082-012,Improving Community-Based Rural Water Supply and Sanitation in Post-Conflict Areas of Jaffna and Kilinochchi
459,Japan,2011.0,9155,9155,44134-012,Advancing Economic Opportunities of Women and Girls
460,Japan,2011.0,9156,9156,44363-012, Improving Market Access for the Poor in Central Cambodia
461,Japan,2011.0,9157,9157,43103-012,Reducing Child Malnutrition through Social Protection
462,Japan,2011.0,9158,9158,44135-012," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka"
463,Japan,2011.0,9159,9159,42321-012,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups
464,Japan,2011.0,9160,9160,44129-012,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle
465,Korea,2011.0,2610,2610,39595-033,Mong Duong 1 Thermal Power ﾖ Tranche 2
466,Korea,2011.0,2826,2826,41462-013,"Comprehensive Socioeconomic Urban Development in Viet Tri, Hung Yen, and Dong Dang"
467,NDF,2011.0,2789,2789,41433-013,Transport Connections in Northern Mountainous Provinces
468,New Zealand,2011.0,2820/3249/0273/0427,2820,42392-013,Interisland Shipping Support
469,New Zealand,2011.0,2820/3249/0273/0427,3249,42392-013,Interisland Shipping Support
470,New Zealand,2011.0,2820/3249/0273/0427,0273,42392-013,Interisland Shipping Support
471,New Zealand,2011.0,2820/3249/0273/0427,0427,42392-013,Interisland Shipping Support
476,Norway,2011.0,G0272/0289,0289,35174-082,School Sector Program
477,OFID,2011.0,2217/2767/8252,2217,38357-013,National Highways Sector
478,OFID,2011.0,2217/2767/8252,2767,38357-013,National Highways Sector
479,OFID,2011.0,2217/2767/8252,8252,38357-013,National Highways Sector
483,OFID,2011.0,2796/0267/8257,2796,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
484,OFID,2011.0,2796/0267/8257,0267,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
485,OFID,2011.0,2796/0267/8257,8257,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
488,PRIF,2011.0,2718,2718,44281-013,Road Rehabilitation
492,SCF-PPCR,2011.0,2839/G0278/8254,2839,43309-013,Provincial Roads Improvement
494,SCF-PPCR,2011.0,2839/G0278/8254,8254,43309-013,Provincial Roads Improvement
495,Sweden,2011.0,2761,2761,42122-013,Third Primary Education Development
496,Switzerland,2011.0,2796/0267/8257,2796,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
497,Switzerland,2011.0,2796/0267/8257,0267,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
498,Switzerland,2011.0,2796/0267/8257,8257,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
499,UNICEF,2011.0,2761,2761,42122-013,Third Primary Education Development
501,UNICEF,2011.0,G0272/0289,0289,35174-082,School Sector Program
505,U.K.,2011.0,2761,2761,42122-013,Third Primary Education Development
506,U.K.,2011.0,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers (Supplementary)
507,U.K.,2011.0,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers (Supplementary)
508,U.K.,2011.0,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers (Supplementary)
509,U.K.,2011.0,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers (Supplementary)
511,U.K.,2011.0,G0272/0289,0289,35174-082,School Sector Program
512,WHO,2011.0,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
513,WHO,2011.0,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
514,WHO,2011.0,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
515,World Bank,2011.0,2718,2718,44281-013,Road Rehabilitation
516,World Bank,2011.0,2761,2761,42122-013,Third Primary Education Development
519,World Bank,2011.0,G0272/0289,0289,35174-082,School Sector Program
520,ADFD,2012.0,2949/8263,2949,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
521,ADFD,2012.0,2949/8263,8263,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
522,AITF,2012.0,0244/0291,0244,42095-033,Road Network Development Investment Program - Tranche 2
523,AITF,2012.0,0244/0291,0291,42095-033,Road Network Development Investment Program - Tranche 2
525,Australia,2012.0,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
526,Australia,2012.0,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
527,Australia,2012.0,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
533,Australia,2012.0,2288/2602/0187,2288,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
534,Australia,2012.0,2288/2602/0187,2602,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
535,Australia,2012.0,2288/2602/0187,0187,37269-023,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary)
536,Australia,2012.0,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction
537,Australia,2012.0,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction
538,Australia,2012.0,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction
540,Australia,2012.0,G0272/0289,0289,35174-082,School Sector Program (Supplementary)
541,"Australia,Australia",2012.0,0049/50,0049,39581-012,Road Improvement (Sector) (3rd Supplementary)
542,"Australia,Australia",2012.0,0049/50,0050,39581-012,Road Improvement (Sector) (3rd Supplementary)
545,CEF-CEFPF,2012.0,0303/2892/2893,0303,43576-013,Clean Energy and Network Efficiency Improvement
546,CEF-CEFPF,2012.0,0303/2892/2893,2892,43576-013,Clean Energy and Network Efficiency Improvement
547,CEF-CEFPF,2012.0,0303/2892/2893,2893,43576-013,Clean Energy and Network Efficiency Improvement
554,CTF,2012.0,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
555,CTF,2012.0,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
556,CTF,2012.0,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
557,CTF,2012.0,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
558,CTF,2012.0,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
559,CTF,2012.0,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
560,EBRD,2012.0,2916,2916,46145-001,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement
561,EIB,2012.0,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
562,EIB,2012.0,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
563,EIB,2012.0,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
564,EIB,2012.0,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
565,EIB,2012.0,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
567,France,2012.0,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
568,France,2012.0,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
569,France,2012.0,2959,2959,42039-035,Power Transmission Investment Program - Tranche 2
570,GAFSP,2012.0,2455/0116/0302,2455,42186-014,Emergency Food Assistance - Additional Financing
571,GAFSP,2012.0,2455/0116/0302,0116,42186-014,Emergency Food Assistance - Additional Financing
572,GAFSP,2012.0,2455/0116/0302,0302,42186-014,Emergency Food Assistance - Additional Financing
573,GEF,2012.0,2838/0311,2838,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
574,GEF,2012.0,2838/0311,0311,40685-023,Jiangsu Yancheng Wetlands Protection - Additional Financing
576,GEF,2012.0,2862-64/0287/8270,0287,42169-013,Greater Dhaka Sustainable Urban Transport
577,GEF,2012.0,2862-64/0287/8270,8270,42169-013,Greater Dhaka Sustainable Urban Transport
578,GEF,2012.0,2934/2935/0315,2934,39256-024,Urban Transport Development Investment Program - Tranche 1
579,GEF,2012.0,2934/2935/0315,2935,39256-024,Urban Transport Development Investment Program - Tranche 1
580,GEF,2012.0,2934/2935/0315,0315,39256-024,Urban Transport Development Investment Program - Tranche 1
581,GEF,2012.0,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
583,GEF,2012.0,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
584,GEF,2012.0,2980/0331,2980,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
585,GEF,2012.0,2980/0331,0331,44037-014,Shaanxi Weinan Luyang Integrated Saline Land Management
586,Germany,2012.0,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
587,Germany,2012.0,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
588,Germany,2012.0,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
589,Germany,2012.0,2914,2914,41627-053,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4
590,Germany,2012.0,2956,2956,39500-033,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2
591,IFAD,2012.0,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
592,IFAD,2012.0,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
593,IFAD,2012.0,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
594,IFAD,2012.0,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
595,IFAD,2012.0,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
596,IFAD,2012.0,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
597,IFAD,2012.0,2957/0324-0325/8266,2957,41220-013,Integrated Natural Resources and Environmental Management
599,IFAD,2012.0,2957/0324-0325/8266,8266,41220-013,Integrated Natural Resources and Environmental Management
600,IsDB,2012.0,2867/0290,2867,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
601,IsDB,2012.0,2867/0290,0290,43566-013,"Inclusive Micro, Small, and Medium-sized Enterprise Development"
602,IsDB,2012.0,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
603,IsDB,2012.0,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1
604,Japan,2012.0,2857/2858,2857,45094-001,Road Network Upgrading
605,Japan,2012.0,2857/2858,2858,45094-001,Road Network Upgrading
606,Japan,2012.0,2872,2872,43396-013,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1
607,Japan,2012.0,9161,9161,45127-001,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities
608,Japan,2012.0,9162,9162,45320-001,Promoting Partnerships and Innovation in Poor and Underserved Communities
609,Japan,2012.0,9163/0288,9163,41504-024,Improved Energy Access for Rural Communities
610,Japan,2012.0,9163/0288,0288,41504-024,Improved Energy Access for Rural Communities
611,Japan,2012.0,9164,9164,45145-001,Establishment of Climate-Resilient Rural Livelihoods
612,Japan,2012.0,9165,9165,36222-013,Community-Based Irrigation Rehabilitation and Development
613,Japan,2012.0,9166,9166,45520-001,Community Sanitation
614,Japan,2012.0,9167,9167,45259-001,Enhanced Agricultural Value Chains for Sustainable Livelihoods
615,Japan,2012.0,9168,9168,43069-012,Livelihood Improvement for River Erosion Victims in Assam
616,Japan,2012.0,9169,9169,44359-012,Agribusiness Development Assistance for Smallholders in Mindanao
617,New Zealand,2012.0,0049/50,0049,39581-012,Road Improvement (Sector) (3rd Supplementary)
618,New Zealand,2012.0,0049/50,0050,39581-012,Road Improvement (Sector) (3rd Supplementary)
619,New Zealand,2012.0,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector) (Supplementary)
620,New Zealand,2012.0,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector) (Supplementary)
621,New Zealand,2012.0,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector) (Supplementary)
622,New Zealand,2012.0,9163/0288,9163,41504-024,Improved Energy Access for Rural Communities
623,New Zealand,2012.0,9163/0288,0288,41504-024,Improved Energy Access for Rural Communities
624,OFID,2012.0,0301/8259,0301,45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement
625,OFID,2012.0,0301/8259,8259,45432-002,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement
626,OFID,2012.0,2949/8263,2949,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
627,OFID,2012.0,2949/8263,8263,40540-014,South Asia Subregional Economic Cooperation Road Connectivity
628,OFID,2012.0,2979/8264/0468,2979,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
629,OFID,2012.0,2979/8264/0468,8264,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
630,OFID,2012.0,2979/8264/0468,0468,42361-014,Medium-Voltage Sub-Transmission Expansion Sector
631,P.R.C.,2012.0,2962,2962,43031-013,Hunan Xiangjiang Inland Waterway Transport
632,SCF-PPCR,2012.0,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
633,SCF-PPCR,2012.0,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
634,SCF-PPCR,2012.0,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
635,SCF-PPCR,2012.0,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
636,SCF-PPCR,2012.0,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
637,SCF-PPCR,2012.0,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
638,SCF-PPCR,2012.0,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
639,SCF-PPCR,2012.0,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
640,SCF-PPCR,2012.0,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
641,SCF-PPCR,2012.0,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
642,SCF-PPCR,2012.0,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
643,SCF-PPCR,2012.0,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
644,SCF-PPCR,2012.0,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
645,SCF-PPCR,2012.0,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
646,SCF-PPCR,2012.0,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
647,SCF-PPCR,2012.0,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
648,SCF-PPCR,2012.0,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
649,SCF-PPCR,2012.0,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
650,SCF-PPCR,2012.0,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
651,SCF-PPCR,2012.0,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
652,Sweden,2012.0,2695/0323,2695,39298-013,City Region Development - Additional Financing
653,Sweden,2012.0,2695/0323,0323,39298-013,City Region Development - Additional Financing
654,Sweden,2012.0,2878/0298,2878,42177-013,Urban Primary Health Care Services Delivery
655,Sweden,2012.0,2878/0298,0298,42177-013,Urban Primary Health Care Services Delivery
656,UFPF-UEIF,2012.0,2931/G0313-0314,2931,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
658,UFPF-UEIF,2012.0,2969/0329,2969,43319-043,Greater Mekong Subregion Corridor Towns Development
659,UFPF-UEIF,2012.0,2969/0329,0329,43319-043,Greater Mekong Subregion Corridor Towns Development
660,UFPF-UEIF,2012.0,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
661,UFPF-UEIF,2012.0,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
662,UFPF-UEIF,2012.0,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
663,UFPF-UEIF,2012.0,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
665,U.K.,2012.0,0305-0306/0368,0368,36172-063,Strengthening Public Management Program
666,WHO,2012.0,2963,2963,45009-002,Fifth Health Sector Development
667,World Bank,2012.0,2942,2942,46093-001,Inclusive Growth through Improved Connectivity Program - Subprogram 1
668,ADFD,2013.0,2990/2991,2990,43281-013,Tanahu Hydropower
669,ADFD,2013.0,2990/2991,2991,43281-013,Tanahu Hydropower
670,AIF,2013.0,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
671,AIF,2013.0,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission Crossing
673,AITF,2013.0,0374/0375,0374,46392-001,North-South Power Transmission Enhancement
674,AITF,2013.0,0374/0375,0375,46392-001,North-South Power Transmission Enhancement
675,Australia,2013.0,336,0336,45303-001,Rural Energy
676,Australia,2013.0,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable Energy
677,Australia,2013.0,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable Energy
678,Australia,2013.0,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable Energy
679,Australia,2013.0,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable Energy
680,Australia,2013.0,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable Energy
681,Australia,2013.0,2372/0095/2988/0337,2372,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
682,Australia,2013.0,2372/0095/2988/0337,0095,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
683,Australia,2013.0,2372/0095/2988/0337,2988,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
684,Australia,2013.0,2372/0095/2988/0337,0337,36353-013,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing
685,Australia,2013.0,3013/0353,3013,40255-033,Central Mekong Delta Region Connectivity 
686,Australia,2013.0,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
