,type,approval number,country,year,title,status
43,GRNT,0101,SAM,2007,POWER SECTOR EXPANSION PROJECT (GOA),ACTIVE
44,GRNT,0102,PNG,2007,LAE PORT DEVELOPMENT PROJECT,FINANCIALLY CLOSED
45,GRNT,0103,VIE,2007,PART ADMIN: INTEGRATED RURAL DEVT SECTOR PROJ IN T,FINANCIALLY CLOSED
46,GRNT,0104,CAM,2008,ROAD ASSET MANAGEMENT PROJECT,FINANCIALLY CLOSED
47,GRNT,0109,PRC,2008,MFF:CAPACITY BUILDING FOR ENERGY EFFICIENCY,FINANCIALLY CLOSED
48,GRNT,0110,BAN,2008,EMERGENCY DISASTER DAMAGE REHABILITATION (SECTOR),FINANCIALLY CLOSED
49,GRNT,0111,TAJ,2008,RURAL DEVELOPMENT PROJECT,FINANCIALLY CLOSED
50,GRNT,0112,KGZ,2008,SOUTHERN AGRICLTURE AREA DEVELOPMENT PROJECT,CANCELLED
51,GRNT,0113,PRC,2008,NINGXIA INTEGRATED ECOSYSTEM & AGRICULTURAL DEVELO,ACTIVE
52,GRNT,0127,SOL,2008,DOMESTIC MARITIME SUPPORT (SECTOR) PROJECT,ACTIVE
53,GRNT,0128,PRC,2008,DRYLAND SUSTAINABLE AGRICULTURE PROJECT,CANCELLED
54,GRNT,0130,SRI,2008,DRY ZONE URBAN WATER AND SANITATION PROJECT,ACTIVE
55,GRNT,0131,UZB,2008,SURKHANDARYA WATER SUPPLY & SANITATION PROJECT,FINANCIALLY CLOSED
56,GRNT,0140,BAN,2008,SKILLS DEVELOPMENT PROJECT,ACTIVE
57,GRNT,0141,BHU,2008,GREEN POWER DEVELOPMENT PROJECT,FINANCIALLY CLOSED
58,GRNT,0142,PHI,2009,PHILIPPINE ENERGY EFFICIENCY PROJECT,FINANCIALLY CLOSED
59,GRNT,0143,LAO,2009,SMALL TOWNS WATER SUPPLY AND SANITATION SECTOR PRO,ACTIVE
60,GRNT,0145,LAO,2009,PART-ADMIN GRANT:SUS NAT RSRCES MGMNT&PRODTVTY ENH,ACTIVE
61,GRNT,0146,BAN,2009,EMERGENCY DISASTER DAMAGE REHABILITATION(SECTOR) P,FINANCIALLY CLOSED
62,GRNT,0147,VIE,2009,THANH HOA CITY COMPREHENSIVE SOCIOECONOMIC DEVELOP,FINANCIALLY CLOSED
63,GRNT,0148,PHI,2009,ENHANCING MIDWIVES' ENTREPRENEURIAL AND FINANCIAL,FINANCIALLY CLOSED
64,GRNT,0149,SRI,2009,CLEAN ENERGY AND ACCESS IMPROVEMENT PROJECT,FINANCIALLY CLOSED
65,GRNT,0155,TAJ,2009,REGL CUSTOMS MODERNIZATION&INFRASTRUCTURE DEVT PRO,FINANCIALLY CLOSED
66,GRNT,0159,PRC,2009,LIAONING SMALL CITIES&TOWNS DEVT DEMONSTRATION SEC,FINANCIALLY CLOSED
67,GRNT,0165,SAM,2009,EARTHQUAKE AND TSUNAMI DISASTER RESPONSE PROJECT,FINANCIALLY CLOSED
68,GRNT,0168,INO,2009,WEST SUMATRA EARTHQUAKE DISASTER PROJECT,FINANCIALLY CLOSED
69,GRNT,0169,PRC,2009,SHAANXI QINLING BIODIVERSITY CONSERVATION&DEMONSTR,ACTIVE
70,GRNT,0170,AFG,2009,MFF: WATER RESOURCES DEVELOPMENT INVESTMENT PROGRA,ACTIVE
71,GRNT,0171,PRC,2009,HEBEI SMALL CITIES & TOWNS DEVELOPMENT DEMONSTRATI,FINANCIALLY CLOSED
72,GRNT,0176,SOL,2009,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT,FINANCIALLY CLOSED
73,GRNT,0177,SOL,2009,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT,FINANCIALLY CLOSED
74,GRNT,0182,NEP,2009,ENERGY ACCESS AND EFFICIENCY IMPROVEMENT PROJECT-C,ACTIVE
75,GRNT,0183,NEP,2009,ENERGY ACCESS AND EFFICIENCY IMPROVEMENT PROJECT-C,ACTIVE
76,GRNT,0187,CAM,2009,GMS:REHABILITATION OF THE RAILWAY IN CAMBODIA PROJ,ACTIVE
77,GRNT,0188,PRC,2009,CLIMATE CHANGE ADAPTATION THROUGH GROUNDWATER MANA,FINANCIALLY CLOSED
78,GRNT,0189,PRC,2009,WOMEN'S ECONOMIC EMPOWERMENT PILOT PROJECT,FINANCIALLY CLOSED
79,GRNT,0190,PRC,2009,SHANXI SMALL CITIES AND TOWNS DEVT DEMONSTRATION S,FINANCIALLY CLOSED
80,GRNT,0191,CAM,2009,TONLE SAP POVERTY REDUCTION AND SMALLHOLDERS DEVT,FINANCIALLY CLOSED
81,GRNT,0192,CAM,2009,PART ADMIN-TONLE SAP POVERTY REDN & SMALLHOLDER DE,ACTIVE
82,GRNT,0193,SRI,2009,NORTH EAST COMMUNITY RESTORATION AND DEVELOPMENT P,FINANCIALLY CLOSED
83,GRNT,0194,PRC,2009,INTEGRATED ECOSYSTEM & WATER RESOURCES MGMNT IN TH,ACTIVE
84,GRNT,0196,PRC,2010,TIANJIN INTEGRATED GASIFICATION COMBINED CYCLE POW,ACTIVE
85,GRNT,0198,INO,2010,JAVA-BALI ELECTRICITY DISTRIBUTION PERFORMANCE IMP,ACTIVE
86,GRNT,0200,MON,2010,DZUD DISASTER RESPONSE PROJECT,FINANCIALLY CLOSED
87,GRNT,0201,THA,2010,NSP: SOLAR POWER PROJECT,CANCELLED
88,GRNT,0202,PRC,2010,INTEGRATED RENEWABLE BIOMASS ENERGY DEVELOPMENT PR,ACTIVE
89,GRNT,0203,PRC,2010,INTEGRATED RENEWABLE BIOMASS ENERGY DEVELOPMENT PR,ACTIVE
90,GRNT,0206,NEP,2010,GOVERNANCE SUPPORT PROGRAM - SUBPROGRAM 1 (SUPPLEM,FINANCIALLY CLOSED
91,GRNT,0207,SOL,2010,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - SUPPLEM,FINANCIALLY CLOSED
92,GRNT,0209,VIE,2010,HEALTH HUMAN RESOURCES SECTOR DEVELOPMENT PROJECT,ACTIVE
93,GRNT,0210,SOL,2010,SECOND ROAD IMPROVEMENT (SECTOR) PROJECT - SUPPLEM,FINANCIALLY CLOSED
94,GRNT,0214,PAK,2010,NATIONAL FLOOD EMERGENCY RESPONSE,FINANCIALLY CLOSED
95,GRNT,0216,INO,2010,MFF:CITARUM WATERSHED MANAGEMENT AND BIODIVERSITY,ACTIVE
96,GRNT,0226,PNG,2010,MICROFINANCE EXPANSION PROJECT,ACTIVE
97,GRNT,0229,PRC,2010,JIANGXI SUSTAINABLE FOREST ECOSYSTEM DEVELOPMENT P,ACTIVE
98,GRNT,0237,INO,2010,MOUNT MERAPI DISASTER RESPONSE,CANCELLED
99,GRNT,0239,NEP,2010,KATHMANDU SUSTAINABLE URBAN TRANSPORT PROJECT,ACTIVE
100,GRNT,0246,SRI,2010,CONFLICT-AFFECTED REGION EMERGENCY PROJECT,FINANCIALLY CLOSED
101,GRNT,0247,SRI,2011,SRI LANKA FLOOD DISASTER,FINANCIALLY CLOSED
102,GRNT,0249,COO,2011,AVATIU PORT DEVELOPMENT PROJECT,FINANCIALLY CLOSED
103,GRNT,0250,PRC,2011,FORESTRY & ECOLOGICAL RESTORATION PROJECT IN THREE,ACTIVE
104,GRNT,0253,BAN,2011,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY,ACTIVE
105,GRNT,0254,BAN,2011,PUBLIC-PRIVATE INFRASTRUCTURE DEVELOPMENT FACILITY,FINANCIALLY CLOSED
106,GRNT,0259,PNG,2011,RURAL PRIMARY HEALTH SERVICES DELIVERY PROJECT,ACTIVE
107,GRNT,0262,AFG,2011,MFF-TRANSPRT NETWRK DEVL INVSTMENT PROGRM -TRANCHE,ACTIVE
108,GRNT,0263,KIR,2011,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT,ACTIVE
109,GRNT,0265,TON,2011,NUKU'ALOFA URBAN DEVELOPMENT SECTOR PROJECT(AUSAID,ACTIVE
110,GRNT,0266,PAK,2011,SINDH AND BALOCHISTAN FLOOD EMERGENCY RESPONSE,FINANCIALLY CLOSED
111,GRNT,0268,CAM,2011,CAMBODIA FLOODING 2011: HUMANITARIAN ASSISTANCE PR,FINANCIALLY CLOSED
112,GRNT,0269,THA,2011,THAILAND FLOODING 2011,FINANCIALLY CLOSED
113,GRNT,0271,NEP,2011,ELECTRICITY TRANSMISSION EXPANSION & SUPPLY IMPROV,ACTIVE
114,GRNT,0273,VAN,2011,PART ADMIN-INTERISLAND SHIPPING SUPPORT PROJECT,ACTIVE
115,GRNT,0275,VAN,2011,PORT VILA URBAN DEVELOPMENT PROJECT,ACTIVE
116,GRNT,0276,VAN,2011,PORT VILA URBAN DEVELOPMENT PROJECT (ATF),ACTIVE
117,GRNT,0277,NEP,2011,ESTABLISHING WOMEN & CHILDREN SERVICE CENTERS-ADDT,FINANCIALLY CLOSED
118,GRNT,0278,CAM,2011,PROVINCIAL ROADS IMPROVEMENT PROJECT,ACTIVE
119,GRNT,0279,PHI,2011,TROPICAL STORM WASHI (SENDONG),FINANCIALLY CLOSED
120,GRNT,0281,AFG,2011,MFF:ENERGY SECTOR DEVELOPMNT INVESTMENT PROG-TRNCH,ACTIVE
121,GRNT,0282,AFG,2011,MFF:ENERGY SECTOR DEVELOPMENT INVESTMENT PROG-TRNC,ACTIVE
122,GRNT,0283,FIJ,2012,FLOOD EMERGENCY RESPONSE PROJECT (APDRF),FINANCIALLY CLOSED
123,GRNT,0285,CAM,2012,FLOOD DAMAGE EMERGENCY RECONSTRUCTION PROJECT,ACTIVE
124,GRNT,0286,FIJ,2012,FIJI FLOODING REHABILITATION PROJECT,FINANCIALLY CLOSED
125,GRNT,0287,BAN,2012,GREATER DHAKA SUSTAINABLE URBAN TRANSPORT PROJECT,ACTIVE
126,GRNT,0288,PNG,2012,IMPROVED ENERGY ACCESS FOR RURAL COMMUNITIES (NEW,ACTIVE
127,GRNT,0289,NEP,2012,SCHOOL SECTOR PROGRAM,FINANCIALLY CLOSED
128,GRNT,0291,AFG,2012,MFF:ROAD NETWORK DEVELOPMENT INVESTMENT PROGRAM-TR,FINANCIALLY CLOSED
129,GRNT,0292,SOL,2012,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJ-,ACTIVE
130,GRNT,0293,SOL,2012,ADDL FIN:DOMESTIC MARITIME SUPPORT (SECTOR) PROJEC,ACTIVE
131,GRNT,0298,BAN,2012,URBAN PRIMARY HEALTH CARE SERVICES DELIVERY PROJEC,ACTIVE
132,GRNT,0302,CAM,2012,EMERGENCY FOOD ASSISTANCE PROJECT-ADDITIONAL FINAN,ACTIVE
133,GRNT,0303,SRI,2012,CLEAN ENERGY AND NETWORK EFFICIENCY IMPROVEMENT PR,ACTIVE
134,GRNT,0306,NEP,2012,STRENGTHENING PUBLIC MANAGEMENT PROGRAM,ACTIVE
135,GRNT,0310,BAN,2012,COASTAL CLIMATE-RESILIENT INFRASTRUCTURE PROJECT,ACTIVE
136,GRNT,0311,PRC,2012,JINGSU YANCHENG WETLANDS PROTECTION PROJECT,ACTIVE
137,GRNT,0314,LAO,2012,GMS EAST-WEST ECONOMIC CORRIDOR TOWNS DEVELOPMENT,ACTIVE
138,GRNT,0315,MON,2012,MFF:URBAN TRANSPORT DEVELOPMENT INVESTMENT PROGRAM,ACTIVE
139,GRNT,0317,VIE,2012,GMS FLOOD & DROUGHT RISK MANAGEMENT & MITIGATION P,ACTIVE
140,GRNT,0320,BAN,2012,MFF:POWER SYSTEM EXPANSION AND EFFICIENCY IMPROVEM,CANCELLED
141,GRNT,0323,BAN,2012,CITY REGION DEVELOPMENT PROJECT-ADDITIONAL FINANCI,ACTIVE
142,GRNT,0324,PHI,2012,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MAN,ACTIVE
143,GRNT,0325,PHI,2012,INTEGRATED NATURAL RESOURCES AND ENVIRONMENTAL MAN,ACTIVE
144,GRNT,0326,PHI,2012,MARKET TRANSFORMATION THRU INTRO OF ENERGY-EFFICIE,ACTIVE
145,GRNT,0328,AFG,2012,MFF:TRANSPORT NETWORK DEVELOPMENT INVESTMENT PROGR,ACTIVE
146,GRNT,0329,VIE,2012,GMS CORRIDOR TOWNS DEVELOPMENT PROJECT,ACTIVE
147,GRNT,0330,CAM,2012,GMS FLOOD AND DROUGHT RISK MANAGEMENT AND MITIGATI,ACTIVE
148,GRNT,0331,PRC,2012,SHAANXI WEINAN LUYANG INTEGRATED SALINE LAND MANAG,ACTIVE
149,GRNT,0333,SAM,2012,TROPICAL CYCLONE EMERGENCY RESPONSE PROJECT,FINANCIALLY CLOSED
150,GRNT,0334,CAM,2012,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P,ACTIVE
151,GRNT,0335,CAM,2012,GMS SOUTHERN ECONOMIC CORRIDOR TOWNS DEVELOPMENT P,ACTIVE
152,GRNT,0336,CAM,2013,RURAL ENERGY PROJECT,ACTIVE
153,GRNT,0337,VIE,2013,GMS SOUTHERN COASTAL CORRIDOR PROJECT-ADDITIONAL F,ACTIVE
154,GRNT,0342,NEP,2013,PART ADMIN: KATHMANDU VALLEY WASTEWASTER MANAGEMEN,CANCELLED
155,GRNT,0343,INO,2013,POLYTECHNIC EDUCATION DEVELOPMENT PROJECT,ACTIVE
156,GRNT,0344,RMI,2013,DROUGHT DISASTER RESPONSE PROJECT (APDRF),ACTIVE
157,GRNT,0348,TON,2013,OUTER ISLAND RENEWABLE ENERGY PROJECT,ACTIVE
158,GRNT,0349,CAM,2013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE,ACTIVE
159,GRNT,0350,CAM,2013,CLIMATE-RESILIENT RICE COMMERCIALIZATION SECTOR DE,ACTIVE
160,GRNT,0351,RMI,2013,SECOND DROUGHT DISASTER RESPONSE PROJECT (APDRF),ACTIVE
161,GRNT,0352,TAJ,2013,BUILDING CLIMATE RESILIENCE IN THE PYANJ RIVER BAS,ACTIVE
162,GRNT,0353,VIE,2013,CENTRAL MEKONG DELTA REGION CONNECTIVITY PROJECT,ACTIVE
163,GRNT,0354,INO,2013,WEST KALIMANTAN POWER GRID STRENGTHENING PROJECT,ACTIVE
164,GRNT,0357,NEP,2013,BUILDING CLIMATE RESILIENCE OF WATERSHEDS IN MOUNT,ACTIVE
165,GRNT,0358,NEP,2013,PART ADMIN:BLDG CLIMATE RESILIENCE OF WATERSHEDS I,ACTIVE
166,GRNT,0363,LAO,2013,WATER SUPPLY AND SANITATION_SECTOR PROJECT,ACTIVE
167,GRNT,0364,PRC,2013,HEBEI ENERGY EFFICIENCY IMPROVEMENT&EMISSION REDUC,ACTIVE
168,GRNT,0365,VIE,2013,ENERGY EFFICIENCY FOR HO CHI MINH CITY WATER SUPPL,ACTIVE
169,GRNT,0368,NEP,2013,STRENGTHENING PUBLIC MANAGEMENT PROGRAM,CANCELLED
170,GRNT,0369,PHI,2013,TYPHOON HAIYAN (YOLANDA),ACTIVE
171,GRNT,0371,SAM,2013,RENEWABLE ENERGY DEVELOPMENT & POWER SECTOR REHABI,ACTIVE
172,GRNT,0372,CAM,2013,CAMBODIA FLOODING 2013: HUMANITARIAN ASSISTANCE (A,FINANCIALLY CLOSED
173,GRNT,0375,AFG,2013,NORTH-SOUTH POWER TRANSMISSION ENHANCEMENT PROJECT,ACTIVE
174,GRNT,0378,TON,2013,CLIMATE RESILIENCE SECTOR PROJECT,ACTIVE
175,GRNT,0379,INO,2013,CORAL REEF REHAB&MANAGEMENT PROGRAM-CORAL TRIANGLE,ACTIVE
176,GRNT,0380,MON,2013,MFF:ULAANBAATAR URBAN SERVICES AND GER AREAS DEV'T,ACTIVE
177,GRNT,0381,PAL,2013,SUPER TYPHOON HAIYAN RESPONSE PROJECT,ACTIVE
178,GRNT,0382,NEP,2014,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS-AD,ACTIVE
179,GRNT,0383,NEP,2014,SOUTH ASIA TOURISM INFRASTRUCTURE DEVELOPMENT PROJ,ACTIVE
180,GRNT,0384,VIE,2014,ADDN FIN:RENEW ENERGY DEV&NET EXPANSN&REHAB FR REM,ACTIVE
181,GRNT,0385,SOL,2014,SOLOMON ISLANDS FLOOD DISASTER RESPONSE PROJECT (A,FINANCIALLY CLOSED
182,GRNT,0387,KIR,2014,SOUTH TARAWA SANITATION IMPROVEMENT SECTOR PROJECT,ACTIVE
183,GRNT,0388,PRC,2014,JIANGXI FUZHOU URBAN INTEGRATED INFRASTRUCTURE IMP,ACTIVE
184,GRNT,0390,TON,2014,CYCLONE IAN RECOVERY PROJECT,ACTIVE
185,GRNT,0391,BAN,2014,MFF: SKILLS FOR EMPLOYMENT INVESTMENT PROGRAM-TRAN,ACTIVE
186,GRNT,0394,BAN,2014,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT,ACTIVE
187,GRNT,0395,BAN,2014,COASTAL TOWNS ENVIRONMENTAL INFRASTRUCTURE PROJECT,ACTIVE
188,GRNT,0397,NEP,2014,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY,ACTIVE
189,GRNT,0398,NEP,2014,SOUTH ASIA SUBREGIONAL ECONOMIC COOPERATION PWR SY,ACTIVE
190,GRNT,0399,IND,2014,MFF:KARNATAKA INTEGRATED URBAN WATER MNGMT INVESTM,ACTIVE
191,GRNT,0401,CAM,2014,RURAL ROADS IMPROVEMENT PROJECT II,ACTIVE
192,GRNT,0402,CAM,2014,RURAL ROADS IMPROVEMENT PROJECT II,ACTIVE
193,GRNT,0406,NEP,2014,ESTABLISHING WOMEN AND CHILDREN SERVICE CENTERS,ACTIVE
194,GRNT,0413,IND,2014,RAJASTHAN URBAN SECTOR DEVELOPMENT PROGRAM,ACTIVE
195,GRNT,0415,COO,2014,RENEWABLE ENERGY SECTOR PROJECT,ACTIVE
196,GRNT,0423,AFG,2014,MFF:TRANSPORT NETWORK DEVELOPMENT INVESTMENT_PROGR,ACTIVE
197,GRNT,0424,NAU,2014,ELECTRICITY SUPPLY SECURITY AND SUSTAINABILITY PRO,ACTIVE
198,GRNT,0425,PNG,2015,MICROFINANCE EXPANSION PROJECT - ADDL FIN,ACTIVE
199,GRNT,0427,VAN,2015,PART ADMIN INTERISLAND SHIPPING SUPPORT PROJECT -,ACTIVE
200,GRNT,0439,RMI,2015,EBEYE WATER SUPPLY AND SANITATION PROJECT,ACTIVE
201,TA,0845,BAN,1987,SECONDARY SCIENCE EDUCATION SECTOR PROJECT (UNDP FINANCED),FIN COMPL
202,TA,0849,BAN,1987,THIRD NATURAL GAS DEVELOPMENT PROJECT (UNDP FINANCED),FIN COMPL
203,TA,0851,NEP,1987,IMPROVING THE PROGRAM BUDGETING & PROJECT MONITORING SYSTEM- UNDP FIN,FIN COMPL
204,TA,0854,BAN,1987,LIMESTONE DEVELOPMENT PROGRAM (UNDP FINANCED),FIN COMPL
205,TA,0857,INO,1987,TELANG AND SALEH DRAINAGE IMPROVEMENT,FIN COMPL
206,TA,0885,BAN,1987,MONGLA PORT PROJECT (UNDP FINANCED),CANCELLED
207,TA,0886,MYA,1987,INSTITUTIONAL STRENGTHENING WITHIN THE MINISTRY OF ENERGY (W/ UNDP),FIN COMPL
208,TA,0896,BAN,1987,INSTITUTIONAL SUPPORT FOR ROAD & ROAD TRANSPORT DEV. (UNDP FINANCED),FIN COMPL
209,TA,0898,NEP,1987,SECONDARY CROPS DEVELOPMENT PROJECT,FIN COMPL
210,TA,0904,NEP,1987,IMPROVING GOVERNMENT FINANCIAL ACCOUNTING AND AUDITING PROCEDURES,FIN COMPL
211,TA,0905,PRC,1987,CHINA INVESTMENT BANK (UNDP FINANCED),FIN COMPL
212,TA,0908,BAN,1987,SECOND RUBBER DEVELOPMENT PROJECT (CO-FINANCED WITH GOVT OF NORWAY),FIN COMPL
213,TA,0909,LAO,1987,XESET HYDROPOWER PROJECT (UNDP/NORWAY),FIN COMPL
214,TA,0916,PAK,1987,SWABI SALINITY CONTROL AND RECLAMATION(CO-FIN. GOV'T. OF SWITZERLAND),FIN COMPL
215,TA,0919,NEP,1987,HILL FRUIT DEVELOPMENT (UNDP-FINANCED),FIN COMPL
216,TA,0924,LAO,1987,IMPLEMENTATION OF THIRD ROAD IMPROVEMENT,FIN COMPL
217,TA,0933,BAN,1987,IMPL OF ACTION PROG TO REH BAN SHILPA BANK & BAN SHILPA RIN SANGSTHA,FIN COMPL
218,TA,0934,MYA,1987,OIL & GAS DEVELOPMENT PROJECT(BANK/UNDP),FIN COMPL
219,TA,0935,PAK,1987,FRUIT & VEGETABLE MARKETING PROJECT (UNDP FINANCED),FIN COMPL
220,TA,0938,PRC,1987,INSTITUTIONAL DEVELOPMENT OF HNPGC (UNDP FINANCED),FIN COMPL
221,TA,0971,NEP,1988,FIFTH AGRICULTURAL CREDIT PROJECT,FIN COMPL
222,TA,0983,BHU,1988,MASTER PLAN FOR FORESTRY DEVELOPMENT,FIN COMPL
223,TA,0993,PHI,1988,MASTER PLAN FOR FORESTRY DEVELOPMENT(JSF/FINNIDA),FIN COMPL
224,TA,1021,PRC,1988,INDUSTRY ENERGY CONSERVATION PROGRAM,FIN COMPL
225,TA,1030,BHU,1988,TA FOR WOMEN IN DEVELOPMENT (WID) PROFILES IN HIGHLAND LVSTC DEVT.,FIN COMPL
226,TA,1034,PAK,1988,INSTITUTIONAL BUILDING OF RDFC (UNDP FINANCED),CANCELLED
227,TA,1035,PAK,1988,PILOT ASSISTANCE PROGRAM FOR MICRO INDUSTRIES,CANCELLED
228,TA,1036,PAK,1988,INSTITUTIONALL-BUILDING FOR PROVINCIAL SMALL INDUSTRIES CORPORATION,FIN COMPL
229,TA,1037,PAK,1988,PROMOTION OF SUBCONTRACTING BETWEEN SSIS & LARGE-SCALE INDUSTRIES,CANCELLED
230,TA,1053,BAN,1988,PREPARATION OF A ROAD MASTER PLAN (UNDP),FIN COMPL
231,TA,1057,PHI,1988,MANILA METROPOLITAN REGIONAL ENVIRONMENTAL IMPROVEMENT STUDY,FIN COMPL
232,TA,1065,SAM,1989,LAND RESOURCE PLANNING,FIN COMPL
233,TA,1071,NEP,1988,INSTL SUPPORT TO DEPT OF IRRIGATION (UNDP-FINANCED),FIN COMPL
234,TA,1073,NEP,1988,"REGULATION, REGISTRATION & USE OF PESTICIDES (UNDP-FINANCED)",FIN COMPL
235,TA,1087,PHI,1988,BICOL RIVER BASIN FLOOD CONTROL AND IRRIGATION DEVT. (BANK/JSF/UNDP),FIN COMPL
236,TA,1092,PHI,1989,MICROENTERPRISE SECTOR,FIN COMPL
